DIZY - MONT ST PIERRE (HIGH)    49.7 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] barge Epernay
    0.3 km   Turn left
    0.5 km   Bear left onto bike path along river
    1.1 km   Continue straight onto Rue du Mont Suret
    1.5 km   Bear left onto Place de l'Abreuvoir (follow 4.0 km)
  ★ 5.5 km  [bar] bar at river
    5.5 km   Turn right
    5.5 km   Turn sharp left
    5.7 km   Turn sharp right onto D 22
    5.8 km   Bear left
    6.0 km   At roundabout, take exit 2 onto D 22
    6.2 km   Turn left onto Route Arty (follow 3.1 km)
  ★ 7.8 km  [note] steep hill
  ★ 8.0 km  [note] panorama
    9.3 km   Bear right
    9.7 km   Bear right onto D 1
   10.1 km   Bear left
   10.3 km   Turn right (follow 2.7 km)
   13.0 km   Bear left
   13.1 km   Bear left onto D 501
   13.4 km   Bear right
   13.9 km   Bear right onto Rue Blanche
   14.0 km   Turn left onto Rue Blanche
   14.0 km   Bear left
   14.3 km   Turn right (follow 1.6 km)
   15.9 km   At roundabout take exit 3
   16.7 km   Bear left onto Rue Pansion
   16.9 km   Turn left onto Rue Camiat
   17.0 km   Turn slight right onto Rue Camiat
   17.0 km   Turn sharp left onto Place Urbain II
   17.1 km   Turn left onto Rue de l'Église
   17.1 km   Turn right onto Rue Berthe Simonet
  ★ 17.2 km  [note] View point + statue Urbanus
   17.3 km   Turn left onto Rue de l'Église
   17.3 km   Turn right onto Rue de l'Église
   17.4 km   Turn sharp left onto Place Urbain II
  ★ 17.4 km  [bar] Bars Châtillon sur Marne
   17.5 km   Bear right onto Rue Jean Lafontaine
   17.7 km   Continue onto Place Gaucher
   17.7 km   Continue onto Rue Jean de La fontaine
   17.8 km   At roundabout, take exit 3 onto Rue de la Fontinette
   18.3 km   Turn left onto D 1
   18.4 km   Keep right onto D 23e4
   19.2 km   Turn right onto Rue des Bruyères, D 23
   19.6 km   Turn sharp right
   19.7 km   Turn left
   19.7 km   Turn slight right; river at your left (follow 2.6 km)
   22.3 km   Turn left
   22.7 km   Turn slight left (follow 6.5 km)
  ★ 22.7 km  [winery] Champagne Nowack
  ★ 27.4 km  [bar] Bar Verneuil
   29.3 km   Turn right onto Rue du Bac
   29.5 km   Turn left onto Rue de Verdun
  ★ 29.6 km  [rest_stop] picknick spot
  ★ 29.8 km  [bar] bar Vincelles
  ★ 30.0 km  [winery] Champagne Piot
   30.5 km   Turn left onto D 1e (follow 1.3 km)
   31.8 km   Turn left; cross bridge
   32.1 km   At roundabout, take exit 3 onto Rue Gambetta, D 18e1
  ★ 32.2 km  [bar] bar
   32.3 km   Turn right onto Rue du Château
   32.5 km   Turn right
  ★ 32.9 km  [note] memorial Dormans
   33.3 km   Turn left
   33.3 km   Continue onto Rue du Château
   33.4 km   Turn left onto Rue des Grands Remparts, D 18e1
  ★ 33.4 km  [stop] barge Dormans
   33.6 km   At roundabout, take exit 2 ; cross bridge (follow 2.3 km)
   35.8 km   Bear right
   36.1 km   Turn left onto Rue Pasteur (follow 8.1 km)
   44.3 km   Turn left onto Rue de Château-Thierry, D 3 (follow 3.9 km)
   48.2 km   At roundabout, take exit 2 onto Rue Léon Lhermitte, D 3 (follow 1.4 km)
   49.6 km   Turn sharp left
  ★ 49.6 km  [dock/stay] barge Château-Thierry
  ★ 49.6 km  [convenience_store] Supermarket
   49.6 km   Turn left
   49.7 km   End of ride
  ★ 49.7 km  [start] locks Mont Saint-Père
