DOESBURG - GAANDEREN - DOESBURG    53.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Ligplaats Doesburg
    0.0 km   Links halten
    0.7 km   Rechts abbiegen auf Kloostersteeg
    0.7 km   Rechts abbiegen auf Kloosterstraat
    0.8 km   Links abbiegen auf Kerkstraat
  ★ 0.9 km  [see] Grote of Martinikerk
    0.9 km   Rechts abbiegen auf Gasthuisstraat
  ★ 0.9 km  [bar] De Waag — oudste bierhuis van Nederland
    1.0 km   Rechts abbiegen auf Bergstraat
    1.3 km   Rechts abbiegen auf Meipoortstraat
    1.3 km   Leicht rechts abbiegen auf Meipoort
    1.8 km   Links abbiegen auf Kraakselaan
    2.7 km   Dem Straßenverlauf von De Drempter Dijk folgen (follow 4.1 km)
    6.8 km   Rechts abbiegen auf Roomstraat
    7.5 km   Rechts abbiegen auf Tolstraat
  ★ 7.5 km  [see] Biologische Boerderij De Pasop — open vanaf 10 uur
    8.4 km   Dem Straßenverlauf von Oude Zutphenseweg folgen (follow 1.5 km)
    9.8 km   Scharf rechts abbiegen auf Hessenweg
   10.0 km   Links halten auf Hessenweg
   10.3 km   Leicht rechts abbiegen auf Hessenweg
   10.3 km   Links abbiegen auf Hummeloseweg
   10.4 km   Im Kreisverkehr Ausfahrt 2 auf Keppelseweg nehmen
   11.0 km   Rechts abbiegen auf Dorpsstraat
  ★ 11.0 km  [coffee] De Gouden Karper — Café Restaurant, sinds 1642
   11.4 km   Rechts halten
   11.4 km   Leicht rechts abbiegen auf Zelhemseweg
   11.5 km   Links abbiegen auf Zelhemseweg
   11.5 km   Links abbiegen auf Zelhemseweg
   11.5 km   Leicht rechts abbiegen auf Sliekstraat
   11.7 km   Scharf links abbiegen auf Hessenweg
   11.8 km   Rechts abbiegen auf Sliekstraat
   12.4 km   Rechts abbiegen auf Hessenweg (follow 1.1 km)
   13.5 km   Rechts halten auf Hessenweg
   13.6 km   Dem Straßenverlauf von Loenhorsterweg folgen
   14.1 km   Rechts halten auf Loenhorsterweg (follow 1.0 km)
  ★ 14.3 km  [note] Kruisbergsche Bos — Kruisbergse bossen is een bosgebied met rivierduinen en vennen
   15.1 km   Dem Straßenverlauf von Hessenweg folgen
   15.2 km   Leicht links abbiegen auf Loenhorsterweg
   16.1 km   Rechts abbiegen auf Klootsemastraat
   16.5 km   Rechts abbiegen auf Kruisbergseweg
   16.8 km   Scharf links abbiegen auf Berglaan
