DORDRECHT (WATERBUS) - ALBLASSERDAM - SCHOONHOVEN    31.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [ferry] Haltestelle Alblasserdam
    0.2 km   Leicht rechts abbiegen auf Kraanbaan
  ★ 0.5 km  [dock/stay] Anlegestelle Dordrecht Kuipershaven — Kuipershaven
    0.5 km   Links abbiegen auf Havenplein
  ★ 0.5 km  [ferry] Waterbus Dordrecht Merwekade — Waterbus  9.35u Waterbus zu KInderdijk (direct)
oder Waterbus Alblasserdam Linien 20
  ★ 0.5 km  [dock/stay] Anlegestelle Rietdijkshaven Dordrecht
  ★ 0.5 km  [dock/stay] Anlegestelle Lange Wantijkade Dordrecht
    0.5 km   Links abbiegen
    0.7 km   Links halten auf Cortgene
    0.8 km   Dem Straßenverlauf folgen
    0.9 km   Links halten
    1.3 km   Links halten
    1.4 km   Links halten
    1.7 km   Links halten
    2.0 km   Links halten
    2.2 km   Leicht links abbiegen auf West Kinderdijk
    2.5 km   Links halten auf West Kinderdijk
    2.9 km   Dem Straßenverlauf von West Kinderdijk folgen (follow 1.6 km)
    4.5 km   Links halten
    4.7 km   Rechts abbiegen auf Veerdam
    4.7 km   Links abbiegen
    4.7 km   Leicht links abbiegen auf Lekweg
    5.0 km   Leicht links abbiegen
    5.2 km   Links abbiegen auf Molenstraat
    5.2 km   Dem Straßenverlauf von Molenstraat folgen
    5.3 km   Rechts zum Knotenpunkt 02 (follow 3.5 km)
  ★ 5.3 km  [ferry] Haltestelle Kinderdijk Wasserbus
  ★ 5.5 km  [restroom] Toilette — Bezahlen mit Karte
  ★ 5.6 km  [see] Besucherzentrrum Kinderdijk — Eintrittskarte Windmühlen, Souvenirs, Kaffee
  ★ 6.0 km  [see] Windmühle 1 Kinderdijk
  ★ 6.6 km  [see] Windmühle 2 Kinderdijk
    8.8 km   Links halten (follow 4.9 km)
   13.7 km   Links über Brücke zum Knotenpunkt 07
   13.9 km   Rechts zum Knotenpunkt 14 (follow 2.8 km)
   16.6 km   Rechts abbiegen auf Achterdijk
   16.9 km   Links abbiegen (follow 2.1 km)
   19.0 km   Links abbiegen auf Brandwijksedijk (follow 1.4 km)
   20.3 km   Leicht links abbiegen auf Brandwijksedijk (follow 2.6 km)
  ★ 20.9 km  [coffee] Riekje's Hoeve Brandwijk — Bauernhof mit Laden, Käse, Milch, Kaffee und Toiletten. (Sontag Ruhetag)
   22.9 km   Rechts abbiegen auf Boezemkade
  ★ 22.9 km  [caution] Steile Brücke !
   22.9 km   Links abbiegen
   23.5 km   Links abbiegen auf Achterland
  ★ 23.7 km  [see] 4 Windmühlen Groot Ammers
   24.3 km   Rechts halten auf Molenkade
   24.9 km   Rechts halten auf Molenkade
   25.3 km   Rechts halten auf Molenkade
   25.7 km   Rechts abbiegen auf Graafland
   26.7 km   Rechts abbiegen auf Graafland
   26.7 km   Rechts abbiegen auf Graafland
   27.1 km   Links abbiegen auf Haarsteeg
   27.9 km   Rechts abbiegen
   27.9 km   Leicht rechts abbiegen auf Wilgenweg (follow 2.1 km)
  ★ 28.4 km  [see] Störcher Dorf Liesveld
   30.0 km   Straße überqueren zum Knotenpunkt 66
   30.0 km   Rechts auf Wilgenweg zum Knotenpunkt 66
   30.2 km   Scharf links abbiegen auf Veersedijk
  ★ 30.2 km  [dock/stay] Mooring Vianen
  ★ 30.2 km  [dock/stay] Mooring Vianen
  ★ 30.2 km  [see] Fierljep Basin Jaarsveld — (pole vault long jump)
  ★ 30.2 km  [note] Walk underneath overpass Lopik
  ★ 30.2 km  [coffee] Café de Roode Leeuw Lopikerkapel — biker friendly garden terrace
  ★ 30.2 km  [restroom] Public restroom Jaarsveld — no toilet paper
  ★ 30.2 km  [coffee] Café In het Witte Paard Cabauw
   31.1 km   Rechts abbiegen auf Veerstoep
  ★ 31.1 km  [ferry] Fähre Schoonhoven
   31.2 km   Dem Straßenverlauf von Veerdienst Schoonhoven folgen
   31.5 km   Links abbiegen auf Buiten de Veerpoort
  ★ 31.5 km  [bar] Bar De Blauwe Duif Schoonhoven
  ★ 31.5 km  [atm] ATM
  ★ 31.5 km  [bike_shop] Boom Tweewielers
  ★ 31.6 km  [food] Restaurant Veerpoort Schoonhoven — Fish, Trinken, Kaffee
  ★ 31.6 km  [note] Haltestelle Pickup Schoonhoven
