DOUAI - LILLE    49.8 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Continue (follow 1.3 km)
    1.5 km   Turn left (follow 2.6 km)
    4.0 km   Turn left onto Rue de la Cloris
    4.2 km   Turn right onto Quai Desbordes
    4.3 km   Keep right onto Quai Auguste Bertin
    4.5 km   Continue onto Rue de l'Estanque
    4.6 km   At roundabout, take exit 2 onto Avenue des Potiers
    4.7 km   Continue onto Place Saint-Vaast
    4.8 km   Turn left onto Rue Saint-Vaast
    4.9 km   Turn slight right onto Rue de l'Abbaye des Prés
    5.0 km   Turn right onto Rue Martin du Nord
    5.0 km   Turn slight left onto Quai Fleurquin
    5.7 km   Turn right
    6.6 km   Turn right
    7.1 km   Turn right onto Boulevard Lahure
    7.2 km   Turn left onto Rue Jean Jaurès
    7.3 km   Keep right onto Rue Rhin et Danube
    7.3 km   Turn right
    8.3 km   Turn left onto Rue du Maréchal de Lattre de Tassigny
    8.4 km   Turn right (follow 1.1 km)
    9.6 km   Turn right
    9.6 km   Turn right onto Rue René Panhard
    9.8 km   Turn right
   10.4 km   Turn right
   10.8 km   Turn right onto D 120
   10.8 km   At roundabout, take exit 3 onto Rond-Point de la Résistance
   11.2 km   Turn right onto Rue Parmentier
   11.6 km   Turn right onto Rue Jean-Baptiste Lebas
   12.5 km   Turn slight right onto Rue Mirabeau
   12.7 km   Turn right onto Place Salvador Allende
   12.9 km   Turn right
   13.0 km   Turn right
   13.1 km   Turn left
   13.4 km   Turn sharp left
   13.7 km   Turn right
   13.8 km   Turn slight right (follow 1.2 km)
   15.0 km   Turn left onto Cimetiere Acces arriere
   15.2 km   Keep right onto Rue de la Potrie
   15.3 km   At roundabout, take exit 1 onto Rue de l'Égalité
   15.3 km   Turn left
   15.5 km   Turn left
   15.7 km   Turn sharp left
   16.3 km   Turn slight right onto Chemin des Bois (follow 1.4 km)
   17.6 km   Turn slight left onto Rue de la Libération
   18.1 km   Turn right
   18.5 km   Turn right
   18.6 km   Turn left onto Rue Florent Evrard
   19.2 km   Turn left onto Rue Jean-Baptiste Lebas
   19.2 km   Turn right onto Rue Jean-Baptiste Lebas
   19.3 km   Turn left onto Rue Jean-Baptiste Lebas
   19.3 km   Turn right onto Rue Pierre Brossolette
   20.0 km   At roundabout, take exit 2 onto Rue Pierre Brossolette
   20.3 km   Turn left
   20.7 km   Turn left onto Rue Roger Salengro
