DOUAI - LILLE (VIA LENS)    65.3 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Continue
    0.9 km   Turn sharp left onto Rue Joseph Coste
    1.0 km   Turn left
    1.7 km   Make a U-turn
    1.8 km   Turn left onto Rue de Corbehem
    1.9 km   Turn right onto Avenue André Evrard
    1.9 km   Turn right
    2.0 km   Turn left (follow 2.0 km)
    4.0 km   Turn sharp left
    4.0 km   Turn right (follow 1.7 km)
    5.7 km   Turn left onto Rue du Champ de Tir
    5.9 km   Turn left onto D 425 (follow 1.1 km)
    7.0 km   Turn left onto Rue du Salut (follow 1.2 km)
    8.2 km   Continue onto Rue du Calvaire (follow 2.6 km)
   10.8 km   Turn left onto Rue du Hanovre
   11.3 km   Turn right onto Rue de Quiéry la Motte
   11.4 km   Turn left onto Rue du Général de Gaulle
   12.0 km   Turn left onto Boulevard Charles Fontaine
   12.7 km   Keep right onto Boulevard Louis Scrève
   12.7 km   At roundabout, take exit 3 onto Chemin de Billy (follow 1.4 km)
   14.2 km   Keep right onto Rue La Fontaine
   14.7 km   Turn right
   15.4 km   Turn right
   16.4 km   Turn right (follow 2.2 km)
   18.6 km   Turn left onto Boulevard Salvador Allende
   19.4 km   Turn right
   19.5 km   Turn left
   19.6 km   Turn right
   20.5 km   Turn left (follow 2.1 km)
   22.6 km   Turn sharp left
   22.8 km   Turn right onto Rue Constant Lequeux
   23.5 km   Turn right
   24.0 km   Turn slight right onto Rue Thomas Edison
  ★ 24.1 km  [note] Lens Center
   24.7 km   Turn right onto Rue Saint-Louis
   24.8 km   Turn right onto Rue Arthur Fauqueur
   25.4 km   Turn right
   25.4 km   Turn sharp left onto Grand Cavalier (follow 1.1 km)
   26.6 km   Turn sharp right onto Allée Marc-Vivien Foé
  ★ 26.6 km  [monument] Louvre Lens
  ★ 26.6 km  [monument] Louvre Lens
  ★ 26.6 km  [monument] Louvre Lens
   27.2 km   Turn right
   27.5 km   Turn left onto Rue Mansart
   27.7 km   Turn right onto Route de Béthune
   28.1 km   Keep left onto Avenue Élie Reumaux and drive toward Lille, Centre Hospitalier
   28.3 km   Turn left onto Rue du Wetz
   28.5 km   Turn left onto Rue de Londres (follow 1.3 km)
   29.8 km   At roundabout, take exit 1 onto Rue de Londres
   30.1 km   Turn slight right onto Rue de Londres
   30.6 km   Continue onto Boulevard de la République
   30.7 km   At roundabout, take exit 2 onto Boulevard de la République (follow 1.9 km)
   32.6 km   Turn right onto Rue du 1er Mai (follow 1.1 km)
   33.7 km   Turn left onto Rue du Général de Gaulle
   34.0 km   Turn right onto Rue du Général Franchet d'Espèrey
   34.0 km   Turn right onto Rue Condorcet
   34.5 km   Keep left onto Rue de Vendin le Vieil
   34.6 km   Turn left onto Rue Leleu
   35.5 km   Turn left onto Rue Émile Plachez (follow 1.2 km)
   36.7 km   Turn left
   36.9 km   Turn left onto Rue de la Gare d'Eau
   37.2 km   Turn right onto Rue de la Gare d'Eau
   37.8 km   Keep left onto Rue Pasteur
   38.2 km   Turn left onto Rue Gambetta
   38.5 km   Keep right onto Rue Victor Hugo
   38.6 km   Turn left onto Rue Albert Thomas
   39.2 km   Turn sharp right (follow 3.6 km)
   42.9 km   Turn left onto Rue Anatole France
   43.0 km   Turn right onto Rue du 8 Mai
   43.4 km   Turn sharp right onto Chemin de Halage (follow 4.4 km)
   47.8 km   Continue onto Quai de Halage de la Deûle
   47.8 km   At roundabout, take exit 4 onto Rue Gustave Delory
   48.2 km   Turn right onto Rue de la Centrale (follow 1.5 km)
   49.7 km   Continue onto Allée de la Deûle (follow 4.0 km)
   53.7 km   Turn left
   53.8 km   Turn sharp right
   53.9 km   Turn right
   54.0 km   Turn right
   54.9 km   Turn right onto Chemin de Noyelles
   55.2 km   Turn left onto C 403 (follow 1.2 km)
   56.4 km   Turn right onto Rue Rouget de l'Isle
   56.5 km   Continue onto Rue Leboucq
   56.7 km   Continue onto Place du Général de Gaulle
   56.7 km   Turn right onto Rue Léon Gambetta
   56.8 km   Turn left onto Rue Auguste Potié
   57.1 km   Turn right onto Rue Gustave Delory
   57.8 km   Turn slight right
   57.9 km   Turn right
   58.2 km   Turn right (follow 1.5 km)
   59.7 km   Turn sharp right
   59.7 km   Turn right
   60.3 km   Turn slight right onto Rue Ambroise Paré
   60.5 km   Turn left onto Avenue de la Recherche
   61.1 km   At roundabout, take exit 3 onto Rue du Professeur Laguesse
   61.3 km   Turn left onto Avenue Oscar Lambret
   62.2 km   Turn right onto Avenue Oscar Lambret
   62.4 km   Turn slight left onto Avenue Beethoven
   62.5 km   Turn left onto Avenue Verhaeren
   62.7 km   Turn right onto Rue Babeuf
   62.9 km   Turn right onto Boulevard de la Moselle
   62.9 km   Turn left
   63.0 km   Turn left onto Boulevard de la Moselle
   63.2 km   Turn right onto Rue de la Bassée
   63.2 km   Turn left
   63.3 km   Turn right onto Boulevard de la Moselle
   64.1 km   Turn left
   64.1 km   Turn right onto Boulevard de la Moselle
   64.7 km   Keep right onto Boulevard de la Lorraine
   64.9 km   Turn slight right onto Avenue Léon Jouhaux
   65.2 km   Turn slight right onto Rue de Solférino
   65.3 km   Turn slight right onto Avenue Léon Jouhaux
