DUINRIT ALKMAAR    38.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Voormeer, Alkmaar
    0.1 km   Start fietstocht; water rechts van u (follow 2.0 km)
  ★ 0.2 km  [dock/stay] Mooring Kanaalkade, Alkmaar
    2.1 km   Links afslaan naar knooppunt 49
    2.2 km   Schuin rechts
    2.4 km   Rechtdoor weg vervolgen (follow 2.2 km)
    4.6 km   Rechts afslaan naar knooppunt 49
    5.2 km   Links afslaan naar knooppunt 49
    5.4 km   Rechts afslaan
    5.4 km   Links afslaan naar knooppunt 49
  ★ 6.1 km  [coffee] Café's / Restaurants Bergen
    6.1 km   Rechts afslaan naar knooppunt 49
    6.2 km   Rechts afslaan
    6.2 km   Links afslaan naar knooppunt 49
    6.3 km   Links afslaan naar de Breelaan
    6.4 km   Schuin rechts naar knooppunt 49
    6.6 km   Rechtdoor weg vervolgen naar knooppunt 48
    7.4 km   Rechtsaf naar knooppunt 13
  ★ 7.4 km  [food] Restaurant Duinvermaak, Bergen
    7.5 km   Blijf op Duinweg
    7.9 km   Linksaf naar knooppunt 13
    8.5 km   Blijf op Postweg naar knooppunt 13
    9.4 km   Linksaf naar Duinweg
    9.5 km   Rechtsaf naar knooppunt 13
   10.0 km   Blijf op Omloop naar knooppunt 45
   10.1 km   Linksaf naar knooppunt 45
   11.0 km   Linksaf naar knooppunt 45
   11.1 km   Blijf op Burgemeester Peecklaan
   11.2 km   Rechtsaf naar Burgemeester Peecklaan
   11.3 km   Rechtsaf naar knooppunt 45
   11.4 km   Houd links aan naar Heereweg
   11.7 km   Houd links aan naar Heereweg
   11.8 km   Rechtdoor naar knooppunt 45
   11.9 km   Linksaf naar knooppunt 45
   11.9 km   Continue onto Schoorlse Zeeweg (follow 1.7 km)
   13.7 km   Houd links aan naar knooppunt 48 (follow 1.8 km)
  ★ 13.7 km  [food] Restaurant de Berenkuil
   15.5 km   Links afslaan naar Blijdensteinsweg (follow 1.6 km)
   17.1 km   Links afslaan naar Zwarteweg
  ★ 17.8 km  [note] Entrance Dune Reserve
   17.8 km   Rechts afslaan naar Duinweg
   18.7 km   Rechts afslaan naar Vijverlaan
   18.9 km   Links aanhouden op Van Reenenpark
   18.9 km   Rechts afslaan op Van Reenenpark
   19.0 km   Links afslaan op Renbaanlaan
   19.7 km   Rechts afslaan naar Studler van Surcklaan
   20.4 km   Rechts afslaan op Mosselenbuurt
   20.5 km   Links afslaan naar Buerweg (follow 1.0 km)
   21.5 km   Links aanhouden
   21.9 km   Links afslaan (follow 2.3 km)
   24.2 km   Links afslaan Elzenlaan
   24.2 km   Op de rotonde eerste afslag (follow 1.0 km)
  ★ 24.8 km  [food] Restaurants Bergen aan Zee
  ★ 24.8 km  [see] Sea aquarium Bergen aan Zee
   25.3 km   Rechts afslaan op Woudweg (follow 3.8 km)
   29.0 km   Rechts afslaan
   29.2 km   Links afslaan
   29.9 km   Rechts afslaan op Krommedijk (follow 1.3 km)
   31.2 km   Links afslaan
   31.3 km   Links afslaan
   31.4 km   Rechts afslaan op Hoeverweg (follow 3.0 km)
   34.4 km   Links afslaan
   34.6 km   Links afslaan op Terborchlaan
   34.7 km   Rechts afslaan
   35.0 km   Schuin rechts
   35.2 km   Links afslaan naar knooppunt 73
   35.4 km   Rechtdoor weg vervolgen
   35.8 km   Schuin links
   35.9 km   Links afslaan naar knooppunt 73
   35.9 km   Rechts afslaan
   36.2 km   Rechts afslaan en direct links
   36.3 km   Links afslaan naar knooppunt 73
   36.8 km   Rechts afslaan
   36.9 km   Neem op de rotonde de 2e afslag naar de Geestersingel; water rechts van u
   37.0 km   Schuin rechts
   37.1 km   Rechtdoor weg vervolgen; vanaf hier niet meer het knooppunten netwerk volgen
   37.4 km   Rechts afslaan naar de Kanaalkade; water links van u
   38.0 km   Einde van de fietstocht
