DUISBURG-XANTEN    46.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [see] Duisburg Inner Harbour
    0.3 km   Turn sharp left onto Mercatorinsel (follow 1.0 km)
    1.3 km   Turn left onto Ruhrorter Straße, L 140
    1.5 km   Turn right
    1.6 km   Turn right onto Ruhrorter Straße, L 140
    1.8 km   Turn right towards Krausstraße
    1.8 km   Sharp left onto Krausstraße
    2.6 km   Slight left onto Dammstraße
    3.0 km   Turn left to stay on Dammstraße (follow 4.6 km)
    7.6 km   Turn right (follow 1.8 km)
    9.4 km   Turn sharp left
    9.5 km   Turn left onto Hegentweg
    9.8 km   Turn left onto Rheinstraße (follow 1.1 km)
   10.8 km   Turn left onto Hofstraße
   11.4 km   Turn right onto Steinschenstraße
   11.4 km   Continue onto Paschmannstraße
   11.8 km   Turn slight right onto Dammstraße
   12.7 km   Turn right onto Woltershofer Kirchweg (follow 1.0 km)
   13.8 km   Turn left onto Woltershofer Straße (follow 1.4 km)
   15.2 km   Turn right onto Orsoyer Straße, L 475
   15.3 km   Turn left onto Sardmannsbruchweg
   15.5 km   Turn right onto Angewangtweg
   16.4 km   Turn right onto Viehsteg
   16.6 km   Turn left
   17.3 km   Turn left onto Binsheimer Straße, L 475
   17.5 km   Turn left onto Kuhstraße, L 155
   17.9 km   Turn right onto Müschensteg
   17.9 km   Turn sharp left (follow 3.0 km)
   20.9 km   Turn right onto Rheinberger Straße, L 155
   21.4 km   Turn right (follow 2.4 km)
   23.8 km   Turn slight right onto Orsoyer Straße (follow 1.9 km)
  ★ 24.2 km  [food] Hotel am Fischmarkt
   25.7 km   Keep right onto Werftstraße
   26.2 km   Turn right onto Werftstraße (follow 1.8 km)
   27.9 km   Turn right onto Schloßstraße, K 14
   28.0 km   Turn left onto Schloßstraße
   28.5 km   Turn left onto Dammstraße
   28.7 km   Turn right onto Kirchstraße (follow 1.3 km)
   30.0 km   Turn right
   30.5 km   Turn left
   30.6 km   Turn right onto Helmtweg (follow 1.1 km)
   31.7 km   Turn right onto Römerstraße
   31.8 km   Turn left onto Drüpter Straße
   32.4 km   Turn right
   32.5 km   Turn right
   32.5 km   Turn left (follow 1.3 km)
   33.7 km   Turn right onto Burgstraße
   34.2 km   Turn right onto Ulrichstraße, K 23 (follow 1.7 km)
   35.8 km   Continue onto Ulrichstraße, K 22
   36.3 km   Turn right (follow 1.1 km)
   37.3 km   Keep left onto Reekwall (follow 3.2 km)
   40.6 km   Turn right onto Schwalbennest (follow 1.6 km)
   42.2 km   Turn right onto Römerstraße (follow 1.5 km)
   43.7 km   Turn right
   43.9 km   Turn left onto Fürstenberg (follow 1.1 km)
   45.0 km   Turn right onto Augustusring
   45.3 km   Turn left onto Rheinberger Str./​Varusring/​B57
   45.3 km   Turn right onto Bislicher Insel/​Gelderner Str. (follow 1.3 km)
   46.6 km   Slight right to stay on Gelderner Str.
  ★ 46.6 km  [note] Xanten
