DUNE TOUR ALKMAAR SHORT    37.7 km    · signs & notes only ·

Knooppunten: 6 · 7 · 49 · 48 · 47 · 46 · 8 · 46 · 8 · 5 · 6 · 73

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Voormeer, Alkmaar
    0.0 km   Start ride water on your right
  ★ 0.2 km  [dock/stay] Mooring Kanaalkade, Alkmaar
    0.5 km   Bear right
    0.5 km   Cross the street
    0.6 km   Turn left, cross the street
    1.0 km   Follow signs to junction 6 (exit right, heading NW) toward junction 7
    3.4 km   Follow signs to junction 7 (exit left, heading NW) toward junction 49
    9.0 km   Follow signs to junction 49 (exit right, heading NE) toward junction 48
  ★ 10.0 km  [note] Animal park
  ★ 10.2 km  [coffee] Café's / Restaurants Bergen
   10.3 km   Follow signs to junction 48 via Zwarteweg (exit left, heading W) toward junction 47
  ★ 11.1 km  [food] Restaurant Duinvermaak, Bergen
  ★ 11.2 km  [note] Entrance Dune Reserve
   13.5 km   Turn right to junction 47 (follow 1.8 km)
   15.3 km   Follow signs to junction 46 (exit straight, heading W) toward junction 8
  ★ 15.4 km  [food] Restaurant de Berenkuil
   17.4 km   Follow signs to junction 8 (exit left, heading SW) toward junction 46
  ★ 18.0 km  [food] Restaurant Paal 29 Schoorlse duinen
   18.2 km   Follow signs to junction 46 (exit straight, heading S) toward junction 8
  ★ 20.4 km  [see] De Kerf
   21.1 km   Follow signs to junction 8 (exit right, heading S) toward junction 5
  ★ 24.5 km  [food] Restaurants Bergen aan Zee
   24.5 km   Follow signs to junction 5 (exit straight, heading E) toward junction 6
  ★ 24.5 km  [see] Sea aquarium Bergen aan Zee
   28.8 km   Follow signs to junction 6 via bikepath, bike path (exit left, heading E) toward junction 73
   34.5 km   Follow signs to junction 73
