ENKHUIZEN - HOORN    22.4 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Blijf op Dirck Chinaplein
    0.1 km   Rechtsaf naar Dirck Chinaplein
    0.2 km   Houd rechts aan naar Stationsplein
    0.4 km   Houd links aan naar Spoorstraat
    0.6 km   Linksaf naar Dijk
    1.0 km   Linksaf naar Westerstraat
    1.7 km   Houd rechts aan (follow 2.7 km)
    4.4 km   Rechtsaf naar Rozeboomlaan
    4.7 km   Rechtsaf naar Dirk Essenlaan
    4.7 km   Linksaf
    4.7 km   Linksaf naar Dirk Essenlaan
    4.8 km   Neem afslag 1 naar Zesstedenweg op de rotonde (follow 7.1 km)
   11.9 km   Linksaf naar Doctor Wijtemalaan
   12.5 km   Rechtsaf naar Wijzenddijkje (follow 1.9 km)
   14.4 km   Houd rechts aan naar Wijzenddijkje
   15.2 km   Linksaf naar Noorderdracht
   16.0 km   Rechtsaf naar Westerblokker (follow 2.7 km)
   18.8 km   Linksaf
   19.2 km   Linksaf naar Wagenpad
   19.7 km   Linksaf naar Vredehoftunnel
   19.9 km   Rechtsaf naar Vredehofstraat
   20.0 km   Linksaf naar Koepoortsweg
   20.7 km   Houd rechts aan naar Achterstraat
   20.8 km   Ga rechtsaf naar Gedempte Turfhaven
   21.3 km   Houd rechts aan en rijd de Achterom in
   21.8 km   Sla linksaf de Wijdesteeg in
   21.8 km   Turn left onto West
   21.9 km   Ga verder naar Roode Steen
   21.9 km   Sla licht naar rechts af de Grote Oost in
   22.1 km   Turn right onto Wijdebrugsteeg
   22.3 km   Sla rechtsaf de Oude Doelenkade in
   22.3 km   Sla licht naar links af de Veermanskade in
   22.4 km   Houd links aan en sla af naar de Hoofd
