ENKHUIZEN - MEDEMBLIK (VIA COAST)    24.2 km    · signs & notes only ·

Knooppunten: 14 · 15 · 16 · 57 · 74 · 90

DIRECTIONS
    0.0 km   Continue onto Dirck Chinaplein
    0.1 km   Turn right onto Dirck Chinaplein
    0.2 km   Turn slight right onto Stationsplein
    0.4 km   Turn slight left onto Spoorstraat
    0.9 km   Left
    0.9 km   Follow signs to junction 14 via Bocht, Wierdijk, Kooizandweg, kooizandweg, bikepath along kooizandweg, Wateringpad, Waterkeringpad (exit left, heading N) toward junction 15
  ★ 1.5 km  [see] Zuiderzee Museum
    6.4 km   Follow signs to junction 15 via omringdijk (exit left, heading W) toward junction 16
  ★ 11.6 km  [coffee] Tea Garden De Libel
   11.7 km   Follow signs to junction 16 via Nieuwe Haven (exit left, heading SW) toward junction 57
  ★ 14.6 km  [coffee] 1619 Eten & Drinken
   16.0 km   Follow signs to junction 57 via Kagerbos (exit right, heading W) toward junction 74
   18.2 km   Right onto Nes to junction 74
   18.8 km   Follow signs to junction 90 via Vooroever, Oosterdijk, Oudevaartsgat, Pekelharinghaven, Hoogesteeg
  ★ 24.2 km  [dock/stay] Docking Medemblik
