ENKHUIZEN - MEDEMBLIK (VIA KUST)    24.3 km    · signs & notes only ·

Knooppunten: 90

DIRECTIONS
    0.0 km   Blijf op Dirck Chinaplein
    0.2 km   Rechtsaf naar Bosmankade
    0.4 km   Houd links aan naar Spoorstraat
    0.6 km   Rechtsaf naar Dijk
    0.7 km   Houd rechts aan naar Dijk
    0.9 km   Linksaf naar Zuiderspui
    0.9 km   Rechtsaf naar Bocht
    1.0 km   Linksaf naar Wierdijk
  ★ 1.5 km  [see] Zuiderzee Museum
    1.8 km   Rechtsaf naar Wilhelminaplantsoen
    1.8 km   Blijf op Donkerstraat
    1.9 km   Rechtsaf naar Kooizandweg
    1.9 km   Linksaf naar Kooizandweg
    2.9 km   Rechtsaf
    2.9 km   Linksaf
    3.1 km   Rechtsaf
    3.1 km   Linksaf naar Jelle Kolkpad
    4.1 km   Houd links aan naar Wateringpad
    4.7 km   Houd links aan naar Waterkeringpad (follow 1.9 km)
    6.6 km   Rechtsaf
    6.7 km   Rechtsaf naar Waterkeringpad (follow 7.6 km)
  ★ 11.7 km  [coffee] Theetuin De Libel
   14.3 km   Ga rechtsaf naar Proefpolder
   14.3 km   Linksaf naar Nieuwe Haven
   14.5 km   Linksaf naar Waterkeringpad (follow 1.1 km)
  ★ 14.7 km  [coffee] 1619 Eten & Drinken
   15.6 km   Blijf op Waterkeringpad
   15.8 km   Houd links aan naar Waterkeringpad
   16.0 km   Blijf op Waterkeringpad
   16.8 km   Houd links aan naar Omringdijk
   16.8 km   Rechtsaf naar Kagerdijk
   16.9 km   Rechtsaf naar Kagerbos (follow 1.4 km)
   18.2 km   Rechtsaf naar Nes (follow 1.7 km)
   19.9 km   Houd links aan
   20.9 km   Houd rechts aan (follow 1.1 km)
   21.9 km   Houd links aan
   22.0 km   Rechtsaf naar Vooroever
   22.5 km   Linksaf naar Vooroever
   22.7 km   Rechtsaf naar Oosterdijk
   22.8 km   Houd rechts aan naar Oudevaartsgat
   23.2 km   Houd rechts aan naar Pekelharinghaven
   23.3 km   Follow signs to junction 90 via Pekelharinghaven (exit right)
  ★ 24.3 km  [dock/stay] Ligplaats Medemblik
