EPERNAY LOOP    19.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] barge Epernay
    0.2 km   Turn left onto Rue de Reims, D 201
    0.3 km   Turn left (follow 1.4 km)
    1.7 km   Turn right
    2.1 km   Turn left
    2.3 km   At roundabout, take exit 2 onto Avenue du Général Leclerc, D 386
    2.4 km   Turn left onto La Briqueterie
    2.6 km   Turn slight right onto La Briqueterie
    2.7 km   Turn right onto Chemin des Bas Jardins
    2.7 km   Turn left onto Avenue du Général Leclerc, D 386
    3.7 km   Bear left (follow 1.8 km)
    5.5 km   Turn left onto Rue de Dessous Les Clos
    5.8 km   Turn left on Rue de la Pitance (follow 1.4 km)
    7.2 km   Turn right on Rue de Dizy
    7.3 km   Turn left on Allée de Cumières,
    7.4 km   Bear right
    7.5 km   Turn left
    8.5 km   Bear right
    9.1 km   Turn right; cross canal then turn left (follow 4.4 km)
   13.6 km   Turn left; cross bridge
   13.6 km   Turn left onto Quai du Port
   14.5 km   Turn sharp right up to the road
   14.6 km   Turn right onto Route de l' ecluse (follow 2.2 km)
   16.8 km   Bear left; cross bridge
   17.1 km   Turn left onto Rue de Verdun
   17.5 km   Turn right onto Rue d'Alsace
   17.6 km   Turn left onto Rue de Metz
   17.7 km   Bear right
   17.9 km   At roundabout, take exit 3 onto Avenue de Champagne
   18.1 km   Visit champagne house on right hand then return to roundabout
  ★ 18.1 km  [note] champagne house Mercier
   18.3 km   At roundabout, take exit 2 onto Avenue de Champagne
  ★ 18.8 km  [note] street of Champagne houses
   19.2 km   Turn right onto Rue Pupin
   19.3 km   Turn right
   19.7 km   Turn left onto Quai de la Marne
   19.9 km   End of ride
