EPERNAY (LOOP, FLAT VIA AY & MAREUIL-SUR-AY)    17.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] barge Epernay
    0.3 km   Turn left onto Rue de Reims, D 201
    0.4 km   Turn left (follow 1.5 km)
    1.9 km   Turn right
    2.1 km   Turn right onto Route de l'Écluse (follow 2.3 km)
    4.4 km   Turn right
    4.4 km   Turn left onto Route de l'Écluse, D 201
    4.8 km   At roundabout, take exit 2 onto Rue Roger Sondag (follow 2.0 km)
  ★ 5.5 km  [coffee] Ay Centre
    6.8 km   Turn left onto D 1
    6.9 km   At roundabout, take exit 1 onto Rue d'Ay, D 111
    7.7 km   Turn right onto Rue du Port
    7.8 km   Turn left onto Promenade Michel Collard
    8.3 km   Continue onto Quai du Moulin
    8.5 km   Turn right onto D 112
    8.6 km   Turn left
    8.6 km   Turn left
    8.7 km   Turn right
    8.7 km   Turn left (follow 2.5 km)
   11.2 km   Turn slight right
   11.3 km   Turn left
   11.6 km   Turn right
   11.7 km   Turn left onto Avenue Victor Hugo, D 201e1
   11.8 km   Turn left onto Rue de Villemoyer
   12.1 km   Turn right onto Rue de Villemoyer
   13.0 km   Turn slight left (follow 1.5 km)
   14.4 km   Continue onto Rue Jean de la Fontaine
   14.6 km   Turn right
   14.6 km   Turn left onto Rue Édouard Vaillant, D 201
   14.9 km   Turn slight left onto D 201
   15.1 km   Keep left onto Rue de Reims, D 201
   15.2 km   Turn sharp left onto Rue de Verdun, D 3
   15.6 km   Turn right onto Rue d'Alsace
   15.7 km   Turn left onto Rue de Metz
   15.8 km   Turn right onto Rue de Verdun, D 3
   16.0 km   Enter roundabout
   16.0 km   At roundabout, take exit 2 onto Avenue de Champagne, D 3
   16.1 km   Turn sharp right
  ★ 16.2 km  [winery] champagne house Mercier
   16.4 km   Turn left onto Avenue de Champagne, D 3
   16.4 km   At roundabout, take exit 2 onto Avenue de Champagne
  ★ 16.9 km  [note] street of Champagne houses
   17.2 km   Turn right onto Rue Pupin
   17.4 km   Turn right onto Rue de Reims, D 3
   17.5 km   Keep right onto Rue de Reims, D 201
   17.7 km   Turn left onto Quai de la Marne, D 301
