FAM: VOLENDAM - BROEK - AMSTERDAM (TOLHUIS) ENG 2024    28.7 km    · signs & notes only ·

DIRECTIONS
    0.8 km   Turn right onto Zuideinde
    1.3 km   Turn left onto Hoogedijk (follow 6.2 km)
    7.5 km   Turn right onto Kerkstraat
    7.9 km   Turn slight left onto De Zarken
    8.0 km   Turn right
    8.2 km   Turn right
    8.2 km   Turn sharp right onto Overleek (follow 2.1 km)
   10.3 km   Turn left (follow 1.4 km)
   11.7 km   Turn left onto Overlekergouw
   12.3 km   Turn right onto Keerngouw
   13.2 km   Turn right onto Drs. J. van Disweg
   13.7 km   Turn left onto Noordmeerweg
   14.1 km   Turn left onto Kerkplein
   14.2 km   Turn right onto Kerkplein
   14.5 km   Turn right
   14.6 km   Turn right
   14.6 km   Turn right
   14.7 km   Turn right onto Eilandweg
   14.8 km   Turn left onto Hellingweg
   14.9 km   Turn left
   15.8 km   Turn right (follow 1.1 km)
   16.9 km   Turn right (follow 1.7 km)
   18.6 km   Turn left onto Middenlaan Zunderdorp
   19.5 km   Turn slight left onto Zwartegouw (follow 3.2 km)
   22.7 km   Turn right
   23.2 km   Turn right onto Schellingwouderdijk (follow 1.2 km)
   24.5 km   Turn left
   24.8 km   Keep right onto Nieuwendammerdijk (follow 1.9 km)
   26.7 km   Turn left
   26.7 km   Turn right
   26.7 km   Turn right
   26.8 km   Turn left onto Adelaarsweg
   27.0 km   Turn right
   27.0 km   Turn sharp left
   27.2 km   Turn sharp right
   27.2 km   Turn left
   27.4 km   Turn left
   27.5 km   Turn left onto Buiksloterweg
   27.5 km   Turn slight right onto Buiksloterweg
   27.9 km   Turn left onto Buiksloterweg
   28.4 km   Turn left onto Buiksloterweg
   28.7 km   Turn sharp right onto Buiksloterweg
