FAM: ZANDVOORT - HAARLEM (DOCKING ZIJKANAAL C) ENG 2024    20.2 km    · signs & notes only ·

DIRECTIONS
    0.3 km   Turn left onto Oranjestraat
    0.4 km   At roundabout, take exit 1 onto Grote Krocht
    0.6 km   Turn left onto Hogeweg, N201
    0.7 km   Keep right onto Doctor C.A. Gerkestraat
    1.2 km   Turn left onto Doctor C.A. Gerkestraat
    1.8 km   Turn left
    1.8 km   Turn left onto Zandvoortselaan
    1.9 km   Turn right onto Herman Heijermansweg
    2.1 km   Turn right
    2.1 km   Turn right (follow 1.1 km)
    3.3 km   Turn left onto Blinkertpad (follow 1.6 km)
    4.9 km   Turn sharp right onto Visscherspad (follow 1.8 km)
    6.7 km   Turn right onto Rockartsduinweg
    7.1 km   Turn left
    7.8 km   Turn right
    8.0 km   Turn left onto Elswoutslaan
    8.5 km   Turn right onto Zijlweg
    8.6 km   Turn right onto Zandvoorterpad (follow 1.0 km)
    9.6 km   Turn left onto Hoofmanstraat
    9.8 km   Turn right onto Garenkokerskade
   10.1 km   Turn slight left onto Garenkokerskade
   10.2 km   Turn left onto Garenkokerskade
   10.2 km   Turn left
   10.3 km   Turn right
   10.3 km   Turn right
   10.3 km   Turn left
   10.6 km   Turn left onto Kruisstraat
   10.8 km   Turn left onto Lange Herenstraat
   11.1 km   Turn right (follow 2.0 km)
   13.0 km   Continue onto Oudeweg
   13.6 km   Turn left
   13.7 km   Turn slight right onto A. Hofmanweg, r106
   13.8 km   Turn right onto Oudeweg, r106
   14.6 km   Turn left onto Lagedijk
   14.8 km   Turn left onto Lagedijk (follow 1.1 km)
   15.9 km   Turn left onto Zijlweteringpad
   16.1 km   Turn right (follow 1.1 km)
   17.2 km   Turn right onto Kerkpad
   17.2 km   Turn left onto Kruitpad
   17.6 km   Keep left onto Spaarndammerdijk
   17.9 km   Turn slight right
   17.9 km   Turn right (follow 1.5 km)
