FREUDENBERG – ASCHAFFENBURG    49.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Freudenberg
    0.0 km   Rechts abbiegen auf Mainstraße
    0.2 km   Rechts abbiegen (follow 4.8 km)
    5.0 km   Rechts halten
    5.7 km   Dem Straßenverlauf folgen (follow 1.0 km)
    6.7 km   Links abbiegen auf Josef-Ullrich-Straße
    6.8 km   Rechts abbiegen
    6.8 km   Rechts abbiegen
    7.0 km   Links abbiegen
    7.4 km   Dem Straßenverlauf folgen
    7.8 km   Rechts abbiegen
    8.3 km   Links abbiegen
    8.3 km   Rechts abbiegen
    8.7 km   Scharf rechts abbiegen auf Mainstraße, MIL 4
  ★ 8.7 km  [see] Historic Centre Miltenberg
  ★ 8.7 km  [see] Miltenburg Castle
    8.9 km   Rechts abbiegen
    8.9 km   Links abbiegen
    9.1 km   Leicht rechts abbiegen auf Mainstraße, MIL 4
    9.3 km   Rechts abbiegen
    9.3 km   Links abbiegen
    9.3 km   Rechts abbiegen (follow 1.2 km)
   10.5 km   Links abbiegen
   10.6 km   Scharf rechts abbiegen auf Altstadtweg
   11.3 km   Dem Straßenverlauf von Im Steiner folgen
   12.1 km   Links abbiegen auf Hauptstraße
   12.2 km   Links abbiegen
   13.0 km   Rechts abbiegen
   13.1 km   Links abbiegen auf In den Seegärten
   13.6 km   Leicht rechts abbiegen auf In den Seegärten
   13.6 km   Links abbiegen auf Miltenberger Straße, St 2309
  ★ 13.8 km  [coffee] Café Bakery König
   13.9 km   Links abbiegen auf Marktplatz
   14.2 km   Rechts abbiegen auf Mainstraße (follow 5.2 km)
   19.4 km   Links abbiegen (follow 2.9 km)
  ★ 21.3 km  [coffee] Bakery Coffee Klingenberg
   22.4 km   Rechts halten
   22.4 km   Links abbiegen
   22.4 km   Links abbiegen auf Mainbrücke Klingenberg, St 3259
   22.6 km   Rechts abbiegen
   22.7 km   Links abbiegen (follow 1.2 km)
   24.0 km   Links abbiegen
   24.1 km   Rechts abbiegen auf Wiesenweg
   24.2 km   Leicht rechts abbiegen auf Wiesenweg
   24.6 km   Rechts abbiegen
   24.7 km   Links abbiegen
   25.0 km   Rechts abbiegen
   25.7 km   Dem Straßenverlauf folgen
   26.5 km   Rechts abbiegen
   27.1 km   Rechts abbiegen (follow 2.5 km)
   29.6 km   Rechts abbiegen
   29.7 km   Links abbiegen
   30.3 km   Rechts abbiegen auf Ziegelhüttenweg
   31.2 km   Links abbiegen
   31.3 km   Leicht rechts abbiegen auf Kapellengasse
   31.3 km   Rechts halten
   31.5 km   Links abbiegen auf Mainanlagen
   31.5 km   Rechts abbiegen auf Untere Wallstraße
   31.7 km   Links abbiegen auf Mainstraße
   31.7 km   Rechts abbiegen auf Pfaffengasse
   31.8 km   Dem Straßenverlauf von Frühlingstraße folgen
   31.9 km   Rechts abbiegen
   32.0 km   Links abbiegen
   32.2 km   Rechts abbiegen
   32.3 km   Links abbiegen (follow 2.1 km)
   34.4 km   Leicht links abbiegen
   35.0 km   Dem Straßenverlauf folgen
   35.5 km   Leicht rechts abbiegen auf Mainstraße (follow 1.1 km)
   36.7 km   Rechts abbiegen auf Brunhildstraße
   37.0 km   Links abbiegen auf Quellenstraße
   37.3 km   Rechts abbiegen auf Quellenstraße (follow 1.1 km)
   38.4 km   Links abbiegen
   38.9 km   Links abbiegen (follow 2.0 km)
   40.9 km   Rechts abbiegen auf Römerstraße
   41.3 km   Rechts abbiegen auf Römerstraße (follow 3.8 km)
   45.0 km   Rechts abbiegen (follow 1.6 km)
   46.7 km   Rechts halten
   46.9 km   Leicht rechts abbiegen (follow 1.2 km)
   48.1 km   Rechts halten (follow 1.1 km)
   49.3 km   Scharf links abbiegen
   49.3 km   Rechts halten
   49.3 km   Scharf rechts abbiegen
  ★ 49.7 km  [see] Castle Johannisburg Aschaffenburg
   49.7 km   Rechts halten
  ★ 49.7 km  [note] Asschaffenburg center
   49.8 km   Rechts abbiegen
   49.8 km   Links abbiegen auf Am Floßhafen
   49.8 km   Rechts abbiegen
   49.8 km   Links abbiegen
  ★ 49.9 km  [dock/stay] Docking Aschaffenburg
