FROM NJIVICE TO OMIŠALJ    40.5 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Keep left onto Postala
    0.3 km   Turn right onto Postala
    0.5 km   Turn slight right onto Kralja Tomislava, 5084
    1.1 km   Turn left onto 30. svibnja
    1.3 km   Turn sharp right onto Dr. Zdravka Kučića
    1.4 km   Turn right onto Bodulska
    1.5 km   Turn left onto Bodulska
    1.8 km   Turn left onto Kralja Tomislava, 5084
    1.8 km   Turn right onto Starca
    2.1 km   Turn left
    3.0 km   Keep left onto Rajska cesta (follow 2.1 km)
    5.0 km   Turn slight left
    6.0 km   Turn slight left onto Dubašljanska ulica
    6.4 km   At roundabout, take exit 2 onto 5086
    6.6 km   Turn right
    6.8 km   Turn left onto 5087
    7.0 km   At roundabout, take exit 2 onto 5087
    7.8 km   At roundabout, take exit 2 onto 5087 (follow 7.5 km)
   15.3 km   Continue onto 5108 (follow 1.8 km)
   17.1 km   Turn left onto Ulica Gariška, 5108 (follow 12.1 km)
  ★ 28.7 km  [food] Restaurant Zora
  ★ 29.0 km  [food] Restaurant Žal
  ★ 29.0 km  [swimming] Beach
   29.2 km   Turn slight left onto 58119
   30.2 km   Turn right onto 58067 (follow 7.5 km)
  ★ 30.8 km  [coffee] Cafe Bar
   37.7 km   Turn left onto D102 (follow 1.7 km)
   39.4 km   Turn left
   39.9 km   Turn slight right onto Beduc
   40.1 km   Continue onto Kanćinar
   40.5 km   Turn left
  ★ 40.5 km  [coffee] Cafe Bar
