GENT (CITY) - GENT (EVERGEM)    8.0 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn right onto Korenmarkt
    0.1 km   Turn left onto Korenmarkt
    0.3 km   Turn right onto Hoornstraat
    0.4 km   Turn left onto Ajuinlei
    0.9 km   Turn right onto Coupure Rechts
    1.0 km   Turn left onto Coupure Rechts
    1.1 km   Turn right onto Coupure Links (follow 1.3 km)
    2.4 km   Rechts halten auf der Unterführung
    2.6 km   Geradeaus weiterfahren
    2.7 km   Rechts halten auf der Unterführung
    2.8 km   Geradeaus weiterfahren
    3.7 km   Leicht rechts abbiegen auf Groendreef
    4.4 km   Rechts abbiegen
    4.5 km   Links abbiegen auf Brugsevaart (follow 2.8 km)
    7.3 km   Rechts abbiegen auf Wijmenstraat
    7.6 km   Links abbiegen
    7.7 km   Leicht rechts abbiegen
    7.8 km   Rechts abbiegen
    7.8 km   Links abbiegen
    8.0 km   Ende der Radtour
  ★ 8.0 km  [dock/stay] Evergem Anlegestelle
