GENT (CITY CENTER) - DENDERMONDE    39.0 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn right onto Pakhuisstraat
    0.1 km   Turn left onto Korenmarkt
    0.1 km   Turn right onto Klein Turkije
    0.2 km   Turn right onto Goudenleeuwplein
    0.3 km   Turn left onto Poeljemarkt
    0.3 km   Continue onto Stadhuissteeg
    0.4 km   Turn right onto Hoogpoort
  ★ 0.6 km  [bike_parking] Of hier ergens de fietsen parkeren
    0.8 km   Turn right onto Bisdomkaai
    0.8 km   Turn left onto Bisdomplein
  ★ 0.8 km  [bike_parking] Hier fietsen parkeren om weer gemakkelijk de stad uit te komen (naar Merelbeke)!
    0.8 km   Turn left onto Reep
    1.0 km   Turn right onto Keizer Karelstraat
    1.0 km   Turn left onto Gebroeders Van Eyckstraat
    1.2 km   Turn slight left onto Julius de Vigneplein
    1.3 km   Turn right onto Visserij (follow 1.1 km)
    2.4 km   Turn left
    2.5 km   Turn slight left onto Visserij
    2.6 km   Turn left
    2.7 km   Turn right
    2.7 km   Turn left onto Emiel Hullebroeckplein
    3.0 km   Continue onto Scheldekaai
    3.1 km   Turn left onto Sluizenweg
    3.3 km   Turn right
    4.1 km   Continue onto Nijverheidskaai (follow 1.5 km)
    5.5 km   Keep right onto Scheldekant (follow 1.2 km)
    6.7 km   Turn left onto Prikstraat
    7.1 km   Turn left onto Reinaertweg
    7.2 km   Turn right onto Damvalleistraat
    8.1 km   Turn right onto Stapsteenweg
    8.5 km   Turn right onto Lagen Heirweg
    8.9 km   Turn left onto Lagen Heirweg
    9.5 km   Turn left onto Asserij
    9.6 km   Turn right onto Assery
   10.3 km   Turn right onto Dries
   10.5 km   Keep left onto Hoekskenstraat
   10.7 km   Turn left onto Driesstraat (follow 1.2 km)
  ★ 11.8 km  [note] Laarne castle
   11.9 km   Turn left onto Kasteeldreef
   12.5 km   Turn left onto Achterstraat
   12.5 km   Turn right onto Achterstraat
  ★ 12.7 km  [restroom] Toilet in cityhall / policestation — Openingstijden:
ma: 9.00 - 13.00
di: 9.00 - 13.00 16.00 - 19.30
wo: 9.00 - 13.00 14.00 - 17.00
do: 9.00- 13.00
vrij: 9.00 - 13.00
   13.0 km   Turn right onto Achterstraat
   13.1 km   Turn left onto Lepelstraat
   13.4 km   Keep right onto Kerkstraat
   14.2 km   Turn right onto Zevensterstraat
   15.0 km   Turn right
   15.1 km   Turn slight left onto Kapellestraat
  ★ 15.7 km  [food] Lunch at the De Berre Linde
   15.7 km   Turn left onto Kapellestraat
   15.8 km   Keep right onto Berlindestraat (follow 1.1 km)
   16.9 km   Keep left onto Krimineelstraat
   16.9 km   Turn right onto Nerenweg and drive toward Kalken (follow 1.3 km)
   18.3 km   Turn left onto Kalkendorp
   18.4 km   Turn right onto Boombosstraat
   18.5 km   Continue onto Uitbergsestraat (follow 2.0 km)
   20.5 km   Turn right onto Molenstraat
   21.4 km   Turn left onto Maeydonckstraatje
   21.8 km   Turn left onto Baklerstraatje
   22.2 km   Turn right onto Maaidonk (follow 1.3 km)
   23.5 km   Turn right
   23.5 km   Turn sharp left onto Domein Nieuwdonk
  ★ 23.5 km  [restroom] Public toilets
  ★ 23.5 km  [water] Cold watertap
   23.9 km   Turn right onto Paepenbogtstraatje (follow 1.1 km)
   25.1 km   Turn right onto Donklaan
   25.4 km   Turn left onto Jachtstraat
   25.6 km   Turn slight right onto Schriekenstraat
   25.7 km   Turn left onto Olmendreef
   25.9 km   Turn right onto Zandstraat
   26.6 km   Turn left onto Bareldonkstraatje
   27.1 km   Turn right onto Damweg (follow 1.1 km)
   28.2 km   Turn sharp left onto Kamershoek and drive toward Zele
   28.4 km   Turn right onto Haststraat (follow 2.0 km)
   30.4 km   Turn left (follow 1.3 km)
  ★ 31.0 km  [ferry] Appels — Vaart ieder heel en half uur het gehele jaar overdag. 
10 Euro fooi betalen.
   31.6 km   Turn left (follow 1.4 km)
   33.1 km   Turn right onto Dijkstraat (follow 1.0 km)
   34.1 km   Turn slight right onto Dijkstraat (follow 1.6 km)
   35.7 km   Turn right onto Scheldedijk (follow 1.4 km)
   37.1 km   Turn sharp left onto Steenweg van Grembergen
   37.5 km   Turn right onto Steenweg van Grembergen
   37.5 km   Turn right
   38.4 km   Turn sharp left
