GENT STAD - CRUISE DOK    2.4 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn left onto Botermarkt
    0.1 km   Turn slight right onto Belfortstraat
    0.3 km   Turn right onto Vlasmarkt
    0.4 km   Keep right onto Bij Sint-Jacobs
    0.4 km   At roundabout, take exit 1 onto Steendam
    0.7 km   Turn slight left onto Sint-Jorisbrug
    0.8 km   Turn left onto Reke
    1.3 km   Turn right onto Kraankindersstraat
    1.6 km   Turn left onto Schipperskaai
    2.2 km   Turn slight left
    2.3 km   Turn left
    2.4 km   Keep left onto Bamboepad
