GHENT (MERELBEKE) - ST AMANDS    51.1 km    · signs & notes only ·

DIRECTIONS
    0.5 km   Rechts abbiegen auf Sluisweg
    0.7 km   Rechts abbiegen
    0.8 km   Links abbiegen
    1.4 km   Leicht rechts abbiegen
    2.1 km   Links halten
    2.2 km   Rechts abbiegen auf Fraterstraat
    2.4 km   Links abbiegen auf Guldensporenlaan, R4z
    2.4 km   Rechts abbiegen
    2.8 km   Links abbiegen (follow 1.1 km)
    3.9 km   Links abbiegen auf Gontrode Heirweg
    3.9 km   Rechts abbiegen
    4.9 km   Rechts halten auf Spoorwegel
    5.2 km   Links abbiegen auf Vossenstraat (follow 1.5 km)
    6.7 km   Scharf rechts abbiegen auf Zevengemede
    7.2 km   Links abbiegen auf D'Haenestraat
    7.2 km   Scharf links abbiegen auf D'Haenestraat
    7.6 km   Links abbiegen auf Haagstraat
    8.3 km   Leicht rechts abbiegen auf Haagstraat
    8.5 km   Rechts abbiegen auf Steenvoordestraat
    8.7 km   Dem Straßenverlauf von Bosheidestraat folgen (follow 1.1 km)
    9.8 km   Rechts abbiegen auf Magerstraat
   10.1 km   Rechts abbiegen auf Broekstraat (follow 2.7 km)
  ★ 12.1 km  [see] Castle Laarne
  ★ 12.1 km  [see] Castle Laarne
  ★ 12.2 km  [caution] Bike over cobblestone street — and not on foodpath in the middle
   12.8 km   Rechts abbiegen auf Achterstraat
  ★ 12.9 km  [restroom] restroom in town hall - police station
  ★ 13.0 km  [coffee] Café De Fonteyn Laarne — Closed on Wed
  ★ 13.0 km  [coffee] Café De Fonteyn Laarne — Closed on Wed
   13.3 km   Rechts abbiegen auf Achterstraat
   13.3 km   Links abbiegen auf Lepelstraat
   13.7 km   Rechts halten auf Kerkstraat
   14.5 km   Scharf rechts abbiegen auf Zevensterstraat
   15.2 km   Rechts abbiegen
   15.3 km   Leicht links abbiegen auf Kapellestraat
   16.0 km   Links abbiegen auf Kapellestraat
   16.0 km   Rechts halten auf Berlindestraat (follow 1.1 km)
   17.1 km   Links halten auf Krimineelstraat
   17.2 km   Rechts abbiegen auf Nerenweg (follow 1.3 km)
   18.5 km   Rechts abbiegen auf Nerenweg
   18.5 km   Links abbiegen auf Kalkendorp, N407
   18.6 km   Rechts abbiegen auf Boombosstraat (follow 1.8 km)
   20.4 km   Links abbiegen auf Molenstraat
   20.7 km   Links halten
   21.2 km   Links abbiegen auf Duivendreef
   21.5 km   Rechts abbiegen auf Kasteelwegel
   21.9 km   Rechts abbiegen auf Molenstraat, N442
   22.0 km   Links abbiegen auf Kleine Molenstraat
   22.3 km   Rechts halten auf Molenwegel
  ★ 22.3 km  [caution] small cycle path for 450m
   22.8 km   Rechts abbiegen auf Broekstraat
   23.4 km   Links abbiegen auf Paepenbogtstraatje
   23.9 km   Links abbiegen auf Paepenbogtstraatje
  ★ 23.9 km  [swimming] Lake Nieuwdonk Berlare — Lake, bar.
  ★ 23.9 km  [swimming] Lake Nieuwdonk Berlare — Lake, bar.
   23.9 km   Rechts abbiegen auf Paepenbogtstraatje
  ★ 24.6 km  [coffee] Café 't Weiken Donk — Bar at the lake.
  ★ 24.6 km  [coffee] Café 't Weiken Donk — Bar at lake
   24.9 km   Rechts abbiegen auf Donklaan, N467
  ★ 24.9 km  [food] Bakery
  ★ 24.9 km  [coffee] Café Elvira Donk
   25.4 km   Links abbiegen auf Jachtstraat
   25.6 km   Leicht rechts abbiegen auf Schriekenstraat
   25.6 km   Links abbiegen auf Olmendreef
   25.9 km   Rechts abbiegen auf Zandstraat
   26.5 km   Links abbiegen auf Bareldonkstraatje
   27.1 km   Rechts abbiegen auf Damweg (follow 1.1 km)
   28.2 km   Scharf links abbiegen auf Kamershoek
   28.3 km   Rechts abbiegen auf Haststraat (follow 1.6 km)
   29.9 km   Leicht links abbiegen auf Heirweg
   30.5 km   Leicht links abbiegen auf Waterhoek
   31.2 km   Links abbiegen
   31.3 km   Links abbiegen
   31.4 km   Achtung, auf Fähre umsteigen (Veerdienst Berlare-Appels)
   31.4 km   Fähre verlassen und rechts abbiegen
  ★ 31.4 km  [ferry] Ferry Appels — Every hour and half hour.Not operating at 12:30h
  ★ 31.4 km  [ferry] Ferry Appels — Every hour and half hour.Not operating at 12:30h
   31.5 km   Links abbiegen
   31.6 km   Dem Straßenverlauf von Hoofdstraat folgen (follow 1.5 km)
   33.1 km   Links halten auf Hoofdstraat
   33.4 km   Scharf links abbiegen auf Hoofdstraat (follow 1.6 km)
   35.0 km   Links halten
   35.4 km   Links halten
   36.1 km   Links abbiegen
   36.6 km   Leicht rechts abbiegen auf Sint-Onolfsdijk
   37.0 km   Links abbiegen
   37.1 km   Links abbiegen auf Nieuwe Tijsluis
   37.6 km   Links halten (follow 1.7 km)
  ★ 38.8 km  [note] Pick up / Drop off Dendermonde
  ★ 38.8 km  [stop] Pick up Dendermonde
  ★ 38.9 km  [see] Dendermonde center
  ★ 38.9 km  [see] Dendermonde center
   39.3 km   Links halten
   39.4 km   Leicht links abbiegen auf Killeweg
   40.2 km   Links abbiegen auf Vlassenbroek (follow 1.7 km)
   42.0 km   Links halten
   42.0 km   Rechts abbiegen
   42.0 km   Leicht links abbiegen auf Vlassenbroek
   42.1 km   Rechts abbiegen auf Vlassenbroek (follow 1.1 km)
   43.3 km   Links abbiegen auf Broekstraat
