GHENT (STADT) - EVERGEM 8,0 KM DEU 2026    8.0 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Rechts abbiegen auf Korenmarkt
    0.1 km   Rechts halten auf Korenmarkt
    0.1 km   Rechts halten auf Veldstraat
    0.3 km   Rechts abbiegen auf Hoornstraat
    0.4 km   Links abbiegen auf Ajuinlei
    1.0 km   Rechts abbiegen auf Coupure Links (follow 1.4 km)
    2.4 km   Rechts abbiegen
    2.6 km   Dem Straßenverlauf folgen
    2.7 km   Rechts abbiegen auf Phoenixonderdoorgang (follow 1.0 km)
    3.7 km   Leicht rechts abbiegen auf Groendreef
    4.4 km   Rechts abbiegen
    4.5 km   Links abbiegen auf Brugsevaart (follow 2.8 km)
    7.3 km   Rechts abbiegen auf Wijmenstraat
    7.5 km   Links abbiegen
    7.8 km   Links abbiegen
    7.8 km   Links abbiegen auf Ringvaartweg Mariakerke
  ★ 8.0 km  [dock/stay] Docking Ghent (Evergem)
