GHENT (CITY) - MERELBEKE 7,5 KM DEU 2026    7.5 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn right onto Korenmarkt
    0.1 km   Turn left onto Sint-Michielshelling
    0.1 km   Continue onto Cataloniëstraat
    0.2 km   Continue onto Emile Braunplein
    0.3 km   Continue onto Sint-Baafsplein
    0.4 km   Continue onto Limburgstraat
    0.6 km   Continue onto Vlaanderenstraat
    1.0 km   Continue onto Graaf van Vlaanderenplein
    1.2 km   Turn left to stay on Graaf van Vlaanderenplein
    1.6 km   Turn left onto Clarissenstraat
    1.8 km   Turn right onto Brusselsepoortstraat
    2.1 km   Turn left onto Visserij
    2.2 km   Slight right onto Keizerpark
    2.2 km   Turn right to stay on Keizerpark
    2.3 km   Turn right to stay on Keizerpark
    2.6 km   Rechts abbiegen auf Fransevaart
    3.0 km   Rechts halten auf Marie Popelinkaai
    3.1 km   Rechts halten auf Marie Sassepad
    3.5 km   Links halten auf Marie Sassepad
    3.5 km   Rechts halten
    3.9 km   Dem Straßenverlauf folgen
    4.0 km   Rechts abbiegen auf Meierij
    4.3 km   Rechts halten auf Verzetspad
  ★ 7.5 km  [dock/stay] Docking Ghent (Merelbeke)
