GIETHOORN - VOLLENHOVEN    53.7 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Anlegestelle Giethoorn
    0.4 km   Bleib rechts
    0.6 km   Rechts abbiegen auf Beulakerweg
    0.8 km   Links abbiegen auf Cornelisgracht
    0.8 km   Rechts abbiegen auf Cornelisgracht
    0.8 km   Rechts abbiegen auf Cornelisgracht (follow 2.1 km)
    3.0 km   Links abbiegen auf Kapelweg (follow 1.7 km)
    4.7 km   Scharf rechts abbiegen
    4.7 km   Scharf links abbiegen auf Thijssengracht (follow 1.3 km)
    6.0 km   Bleib links auf Oeverweg (follow 1.4 km)
    7.4 km   Links abbiegen auf Giethoornsemeerpad (follow 1.8 km)
    9.2 km   Links abbiegen auf Oeverweg
    9.7 km   Links abbiegen auf Blokzijlseweg
   10.2 km   Links abbiegen
   10.2 km   Links abbiegen auf Wetering West
   10.2 km   Links abbiegen auf Wetering West
   10.3 km   Rechts abbiegen (follow 1.2 km)
   11.5 km   Rechts abbiegen auf Rietweg
   11.8 km   Links abbiegen (follow 3.2 km)
   15.0 km   Links abbiegen auf A.F. Stroinkweg
   15.1 km   Bleib rechts auf Wetering-Oost
   15.2 km   Rechts abbiegen auf Hoogeweg (follow 1.1 km)
   16.3 km   Links abbiegen auf Kalenbergerpad
   16.5 km   Links abbiegen auf Hoogeweg (follow 4.0 km)
   20.6 km   Bleib rechts auf Venebosweg
   21.0 km   Links abbiegen auf Hoofdstraat
   21.1 km   Links abbiegen auf Motorkade (follow 5.5 km)
   26.6 km   Rechts abbiegen auf Kooibomenpad (follow 2.0 km)
   28.7 km   Rechts abbiegen auf Veldhuisweg (follow 1.2 km)
   29.8 km   Rechts abbiegen auf Baarlingerweg
   30.7 km   Links abbiegen auf Baarlo
   31.4 km   Bleib links auf Baarlo
   31.5 km   Bleib links auf Kuinderdijk
   32.0 km   Rechts abbiegen
   32.1 km   Links abbiegen
   32.2 km   Bleiben Sie auf Kuinderdijk
   32.8 km   Links abbiegen auf Kanaalweg
   32.8 km   Rechts abbiegen
   32.9 km   Rechts abbiegen auf Kanaalweg
   33.0 km   Links abbiegen auf Kanaalweg
   33.0 km   Rechts abbiegen
   33.1 km   Links abbiegen
   33.2 km   Bleiben Sie auf Noorderkade
   33.5 km   Rechts abbiegen auf Bierkade
   33.5 km   Rechts abbiegen
   33.7 km   Links abbiegen auf Juliana van Stolbergstraat
   33.7 km   Rechts abbiegen auf Boffersweidje
   33.7 km   Bleib rechts auf Boffersweidje
   33.8 km   Rechts abbiegen auf Slingerpad
   33.9 km   Links abbiegen auf Zuiderstraat
   33.9 km   Bleib links
   34.0 km   Bleib rechts
   34.2 km   Rechts abbiegen auf Burgemeester Van Ommerenweg
   34.2 km   Links abbiegen auf Vollenhoofsedijk (follow 2.2 km)
   36.5 km   Rechts abbiegen auf Vollenhoofsedijk
   36.5 km   Bleib rechts auf Uiterdijkenweg (follow 1.9 km)
   38.4 km   Bleib rechts auf Weg van Twee Nijenhuizen
   38.4 km   Links abbiegen auf Weg van Twee Nijenhuizen
   38.5 km   Links abbiegen auf Leeuwte (follow 3.3 km)
   41.8 km   Rechts abbiegen auf Leeuwte
   42.2 km   Rechts abbiegen auf Molenstraat
   42.9 km   Links abbiegen auf Bergkampen (follow 1.6 km)
   44.5 km   Turn right onto Heetveld (follow 1.2 km)
   45.7 km   Turn right onto Barsbeek
   46.1 km   Turn slight right onto Oppen Swolle
   46.1 km   Turn left onto Oppen Swolle
   46.1 km   Turn right onto Bentendijkpad (follow 4.8 km)
   51.0 km   Bleib links auf Bentendijkpad
   51.2 km   Bleib rechts auf Bentendijkpad
   51.2 km   Bleib rechts auf Bentendijkpad (follow 1.8 km)
   53.0 km   Links abbiegen auf De Voorst
   53.2 km   Links abbiegen auf Haven
   53.3 km   Links abbiegen
   53.3 km   Bleib rechts
   53.4 km   Links abbiegen auf Aan Zee
   53.6 km   Links abbiegen
