GOUDA MARKT NACH JULIANASLUIS VOORHAVENWAL    2.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [note] Gouda Markt
    0.1 km   Links abbiegen auf Wijdstraat
    0.1 km   Rechts abbiegen auf Wijdstraat
    0.1 km   Leicht links abbiegen auf Hoornbrug
    0.1 km   Leicht links abbiegen auf Westhaven
    0.6 km   Rechts halten auf Westhaven
    0.6 km   Rechts abbiegen auf Schielands Hoge Zeedijk
  ★ 0.6 km  [dock/stay] Gouda Anlegestelle Veerstal
    1.2 km   Links halten auf van Baerlestraat
    1.9 km   Links abbiegen auf Koningin Wilhelminaweg
    1.9 km   Rechts abbiegen auf Rotterdamseweg
    2.1 km   Rechts abbiegen auf Rotterdamseweg
    2.1 km   Links abbiegen auf Kompas
    2.1 km   Rechts abbiegen auf Kompas
    2.2 km   Rechts abbiegen auf Kompas
    2.2 km   Wenden auf Kompas
    2.2 km   Rechts abbiegen
    2.2 km   Links abbiegen auf Driestromenpad
  ★ 2.2 km  [note] Julianasluis (Schleuse)
    2.3 km   Rechts halten
  ★ 2.5 km  [dock/stay] Gouda Anlegestelle Julianasluis — Voorhavenwal
