GRAVE - GROESBEEK - NIJMEGEN    45.0 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn right onto Oliestraat
    0.3 km   Turn left onto Brugstraat
    0.4 km   Turn left onto Jan van Cuykdijk
    0.4 km   Turn right onto Jan van Cuykdijk (follow 1.8 km)
    2.2 km   Turn left
    2.2 km   Turn right onto Vegetasscheweg (follow 1.9 km)
    4.1 km   Turn right
    4.3 km   Turn left onto Lommerstraat
    4.9 km   Turn right (follow 1.8 km)
    6.7 km   Turn right onto Lommerstraat
    7.3 km   Turn sharp right onto Hardweg
    8.2 km   Turn left onto Kerkstraat
    8.8 km   Turn right
    9.5 km   Turn left onto Oostermeerweg
    9.9 km   Turn right (follow 1.9 km)
   11.7 km   Turn left onto Potbeker
   11.9 km   Turn right
   12.0 km   Turn slight right onto Zadelmakersdreef
   12.4 km   Continue onto Professor Alberdingk Thijmstraat (follow 1.3 km)
   13.6 km   Turn left onto Smidstraat
   14.2 km   Turn right onto Grotestraat
   14.4 km   Turn left onto Maasstraat
  ★ 14.6 km  [dock/stay] Aanlegplaats
   14.9 km   Turn right onto Waaistraat
   14.9 km   Attention, take ferry (Veerdienst Cuijk - Middelaar)
  ★ 15.0 km  [ferry] Veerpont Cuijk - Middelaar
   15.1 km   Leave ferry and continue onto Cuijksesteeg
   15.1 km   Turn right onto Veerstraat
   15.5 km   Turn right onto Neerveldstraat
   16.0 km   Make a U-turn onto Neerveldstraat (follow 2.9 km)
   18.9 km   Linksaf naar knooppunt 41
   19.7 km   Rechtdoor naar knooppunt 42 (follow 1.1 km)
  ★ 20.3 km  [see] Mookerplas
  ★ 20.7 km  [coffee] Cafés Plasmolen
   20.9 km   Straat oversteken; links afslaan
  ★ 20.9 km  [swimming] Strand Mookerplas Mook
   20.9 km   Links afslaan naar knooppunt 42 -61
  ★ 20.9 km  [see] Sint Jansberg
   21.1 km   Schuin rechts, begin klim
   21.4 km   Nog even doorklimmen (follow 1.8 km)
   23.3 km   Einde klim, rechts afslaan
   23.6 km   Links afslaan (follow 1.1 km)
   24.7 km   Scherp rechtsaf naar knooppunt 18 (follow 1.8 km)
  ★ 24.7 km  [coffee] Herberg Het Zwaantje Mook — zaterdag open v.a. 12 uur
  ★ 25.1 km  [see] Stevige afdaling naar Groesbeek
   26.5 km   Schuin rechts naar knooppunt 87; straat oversteken
   26.9 km   Neem op de rotonde de derde afslag naar knooppunt 88
   26.9 km   Rechts afslaan
  ★ 27.3 km  [coffee] Cafés Groesbeek
   27.4 km   Links afslaan naar knooppunt 33
   27.4 km   Voormalige Spoorbaan (follow 2.9 km)
  ★ 27.4 km  [see] Begin Zevenheuvelenweg
   30.3 km   Ga rechtsaf, fietspad langs Biesseltsebaan
   30.3 km   Straat oversteken; Rechts afslaan naar knooppunt 32
   31.2 km   Rechtdoor naar knooppunt 9 (follow 2.9 km)
   34.1 km   Rechts afslaan naar knooppunt 8
   34.9 km   Neem op de rotonde de tweede afslag naar knooppunt 58
   34.9 km   Rechts afslaan naar knooppunt 58
  ★ 35.2 km  [see] Museumpark Orientalis Heilig LandStichting — Volwassenen vanaf 8,50 euro entree
De kleurrijke wereld van het jodendom, christendom en de islam komt hier tot leven in een 30 hectare groot Rijksmonument waar beleving, architectuur en natuur samenkomen. Beleef op een leerzame en leuke manier de overeenkomsten en verschillen van de culturen en tradities van de drie religies in ons Joodse en Arabische dorp en in de Romeinse straat.
   35.6 km   Rechtdoor verder fietsen (follow 1.0 km)
   36.6 km   Scherp linksaf naar knooppunt 57
   37.2 km   Rechtdoor naar knooppunt 57
   37.6 km   Rechts afslaan
  ★ 37.6 km  [coffee] Restaurant Fletcher
   37.9 km   Rechts afslaan naar knooppunt 60
   38.6 km   Links afslaan naar knooppunt 61; straat oversteken
   38.7 km   Schuin rechts steil afdalen
   39.1 km   Rechts afslaan naar knooppunt 61
   39.6 km   Schuin rechts
   39.8 km   Links afslaan naar knooppunt 62
   40.2 km   Rechtdoor naar knooppunt 16 (follow 2.0 km)
   42.2 km   Links afslaan naar knooppunt 16
   42.6 km   Schuin rechts het fietspad op
   42.7 km   Rechtdoor naar knooppunt 16
   43.4 km   Rechts afslaan naar knooppunt 16; weg oversteken
   43.4 km   Rechts afslaan naar knooppunt 16
   44.1 km   Rechtdoor naar knooppunt 2
   44.5 km   Schuin rechts
   44.7 km   Schuin rechts naar de kade
  ★ 44.7 km  [see] Fietsmuseum Velorama Nijmegen — 6 euro p.p


In het Nationaal Fietsmuseum Velorama is de grootste en belangrijkste fietscollectie ter wereld ondergebracht. De collectie is vooral gericht op de periode van vóór 1900. Na 1900 worden uitsluitend speciale – en rijwielen van bekende mensen tentoongesteld.
  ★ 44.7 km  [see] Museum De Bastei
   45.0 km   Einde van de fietstocht
  ★ 45.0 km  [dock/stay] Ligplaats Nijmegen WaalKADE
  ★ 45.0 km  [bar] Cafés Nijmegen
  ★ 45.0 km  [dock/stay] Ligplaats Nijmegen WaalHAVEN
