HAARLEM - ZAANSE SCHANS - AMSTERDAM (TOLHUIS)    38.3 km    · signs & notes only ·

DIRECTIONS
    1.3 km   Links halten
    1.8 km   Links abbiegen
    2.0 km   Dem Straßenverlauf von Spaarndamseweg folgen (follow 2.0 km)
    4.0 km   Rechts abbiegen auf Visserseinde
    4.7 km   Links abbiegen
    5.2 km   Links halten auf Zijkanaal C
    5.5 km   Dem Straßenverlauf von Zijkanaal C folgen (follow 2.9 km)
    8.4 km   Links abbiegen auf Pontplein
    8.4 km   Achtung, auf Fähre umsteigen (F21)
    8.8 km   Fähre verlassen und rechts abbiegen auf Pontplein
    8.8 km   Rechts abbiegen auf Pontplein
    8.8 km   Links abbiegen auf Pontplein
    8.9 km   Rechts halten auf Provincialeweg
    9.0 km   Leicht rechts abbiegen auf Nauerna
    9.2 km   Rechts halten auf Nauerna
    9.2 km   Links halten auf Nauerna
    9.3 km   Leicht rechts abbiegen auf Nauerna (follow 1.2 km)
   10.5 km   Leicht rechts abbiegen auf Nauerna
   10.8 km   Rechts abbiegen auf Nauerna
   10.9 km   Rechts abbiegen
   10.9 km   Leicht links abbiegen auf Nauerna
   11.2 km   Rechts abbiegen auf Veldweg
   11.2 km   Links abbiegen auf Veldweg (follow 2.1 km)
   13.3 km   Links abbiegen
   13.3 km   Leicht rechts abbiegen auf Overtoom
   13.5 km   Links abbiegen auf Zuideinde (follow 3.7 km)
   17.2 km   Links halten auf Kerkbuurt
   17.4 km   Rechts halten
   17.4 km   Rechts abbiegen auf Provincialeweg
   18.1 km   Links abbiegen auf Middel
   19.0 km   Scharf rechts abbiegen (follow 1.3 km)
   20.2 km   Links abbiegen auf Guishof
   20.3 km   Leicht rechts abbiegen auf Doctor Jan Mulderstraat
   20.7 km   Dem Straßenverlauf von Oud Heinstraat folgen
   20.8 km   Scharf links abbiegen auf Guisweg
   21.1 km   Rechts abbiegen
   21.3 km   Rechts halten auf Guisweg
   21.7 km   Dem Straßenverlauf von Leeghwaterweg folgen
   22.0 km   Rechts halten auf Leeghwaterweg
   22.1 km   Rechts abbiegen auf Pinksterdrie
   22.1 km   Links abbiegen auf Pinksterdrie
   22.2 km   Links abbiegen auf Diederik Sonoyweg
   22.6 km   Rechts abbiegen auf Haaldersbroek
   22.8 km   Links abbiegen auf Kalf
   23.2 km   Links halten auf Kalf
   23.7 km   Links abbiegen auf Doctor H.G. Scholtenstraat
   24.3 km   Rechts abbiegen auf Doctor H.G. Scholtenstraat
   24.4 km   Rechts halten auf Doctor H.G. Scholtenstraat
   24.5 km   Rechts halten auf Paltrokstraat (follow 1.1 km)
   25.6 km   Rechts abbiegen auf Oostzijde (follow 1.3 km)
   26.9 km   Dem Straßenverlauf von Oostzijde folgen
   27.1 km   Rechts halten auf A.F. de Savornin Lohmanstraat
   27.2 km   Links abbiegen auf Zuiddijk (follow 1.5 km)
   28.6 km   Scharf links abbiegen
   28.7 km   Links abbiegen auf Zuiddijk
   29.5 km   Rechts abbiegen auf Noorder IJ- en Zeedijk (follow 1.2 km)
   30.6 km   Links abbiegen auf Noorder IJ- en Zeedijk
   30.9 km   Dem Straßenverlauf von Oostzanerdijk folgen (follow 2.7 km)
   33.6 km   Links abbiegen
   33.6 km   Links abbiegen (follow 1.3 km)
   34.9 km   Rechts abbiegen auf Klaprozenweg
   35.4 km   Rechts halten auf Klaprozenweg
   36.0 km   Rechts abbiegen
   36.1 km   Links abbiegen auf Klaprozenweg
   37.0 km   Rechts halten auf Papaverhoek
   37.3 km   Im Kreisverkehr Ausfahrt 3 nehmen
   37.9 km   Rechts abbiegen auf Ranonkelkade
   38.0 km   Rechts abbiegen auf Ranonkelkade
   38.1 km   Dem Straßenverlauf von Buiksloterweg folgen
