HAARLEM (SPAARNDAMSEWEG) - KEUKENHOF - LEIDEN    38.4 km    · signs & notes only ·

Knooppunten: 84 · 35 · 82 · 72 · 76 · 48 · 40 · 49 · 7 · 87 · 55 · 58 · 50 · 52 · 76 · 1 · 21 · 14 · 13

DIRECTIONS
    0.7 km   Turn slight left
    1.1 km   Turn right onto Koudenhorn
    1.7 km   Turn right onto Bakenessergracht
    1.9 km   Keep right onto Spaarne
    2.3 km   Turn right onto Kampervest
    2.6 km   Left over the bridge then straight ahead
    3.0 km   Follow signs to junction 84 (exit straight, heading SW) toward junction 35
    4.0 km   Follow signs to junction 35 (exit right, heading W) toward junction 82
    5.7 km   Follow signs to junction 82 (exit left, heading S) toward junction 72
    7.2 km   Follow signs to junction 72 (exit right, heading S) toward junction 76
  ★ 10.3 km  [coffee] Leijduin
   10.8 km   Follow signs to junction 76 via Bekslaan, Tweede Doodweg, Margrietenlaan, Noorder Leidsevaart (exit right, heading SW) toward junction 48
  ★ 11.7 km  [coffee] De Wachtkamer — Good apple pie!
  ★ 12.2 km  [coffee] Café Vogelenzang
  ★ 13.5 km  [coffee] Restaurant 't Pannenland
   17.1 km   Right, cross bridge, then left to junction 48 (follow 2.6 km)
  ★ 17.1 km  [coffee] The Tulip Barn
   19.8 km   Turn left to junction 40 (follow 1.0 km)
   20.8 km   Follow signs to junction 49 (exit left, heading SE) toward junction 7
   21.4 km   Turn right to junction 7 (follow 1.2 km)
  ★ 21.4 km  [bike_parking] Bike Parking Keukenhof
  ★ 21.4 km  [note] Main entrance Keukenhof
   22.6 km   Follow signs to junction 87 (exit left, heading SW) toward junction 55
   24.1 km   Left to junction 55
   25.1 km   Follow signs to junction 58 (exit right, heading SW) toward junction 50
  ★ 26.3 km  [coffee] De Tulperij — Coffe, toilet, free visit flower garden
   27.0 km   Follow signs to junction 50 via Hoofdstraat, Wasbeekerlaan, Wasbeeklaan (exit left, heading SE) toward junction 52
  ★ 28.1 km  [note] Sassenheim — Shops, restaurants
   30.2 km   Follow signs to junction 52 (exit left, heading SW) toward junction 76
   30.8 km   Follow signs to junction 76 (exit straight, heading S) toward junction 1
  ★ 32.5 km  [restroom] Toilet
  ★ 32.5 km  [bar] Bar Coazy
  ★ 32.7 km  [bar] Bar
   33.6 km   Follow signs to junction 1 (exit right, heading SE) toward junction 21
   35.4 km   Turn left to junction 21
   35.6 km   Follow signs to junction 14 (exit right, heading SW) toward junction 13
   37.2 km   Follow signs to junction 13
  ★ 37.2 km  [note] Leiden
  ★ 38.3 km  [dock/stay] Docking Leiden
