HAARLEM (SPAARNDAMSEWEG) - OUDE WETERING    36.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Anlegestelle Haarlem
    0.0 km   Start Radtour; Wasser zur linken Seite
    0.6 km   Geradeaus, Wasser zur Linken Seite (follow 1.7 km)
    2.3 km   Rechts abbiegen zum Knotenpunkt 86
    2.6 km   Links abbiegen zum Knotenpunkt 86
    3.0 km   Geradeaus weiterfahren zum Knotenpunkt 84
    3.3 km   Rechts zum Knotenpunkt 84
    3.6 km   Strasse überqueren; dan links abbiegen
    3.7 km   Rechts abbiegen zum Knotenpunkt 84
    3.9 km   Schräg rechts auf Radweg
    4.0 km   Rechts abbiegen zum Knotenpunkt 35
    4.3 km   Straßeüberqueren, links abbiegen und direkt rechts
    4.3 km   Rechts abbiegen
    4.4 km   Geradeaus weiterfahren
    4.5 km   Rechts abbiegen zum Knotenpunkt 35
    4.7 km   Links abbiegen zum Knotenpunkt 35
    4.7 km   Geradeaus zum Knotenpunkt 35
    5.0 km   Rechts abbiegen zum Knotenpunkt 35
    5.3 km   Geradeaus, Straßeüberqueren auf dem Radweg
    5.4 km   Links abbiegen und direkt rechts
    5.4 km   Rechts abbiegen, Brücke überqueren
    5.7 km   Links abbiegen zum Knotenpunkt 82
    5.7 km   Links abbiegen und direkt rechts
    5.7 km   Rechts abbiegen
    5.9 km   Rechts abbiegen
    5.9 km   Links abbiegen zum Knotenpunkt 82
    6.8 km   Schräg rechts
    6.8 km   Links abbiegen
    7.1 km   Geradeaus weiterfahren zum Knotenpunkt 72
    7.2 km   Straße überqueren
    7.2 km   Links abbiegen (follow 1.0 km)
  ★ 8.2 km  [caution] ACHTUNG: Nehmen Sie einen kleinen Radweg, linke Straßenseite, achten Sie auf den Gegenverkehr
    8.3 km   Links abbiegen zum Knotenpunkt 72 (follow 1.1 km)
    9.4 km   Links abbiegen zum Knotenpunkt 72
   10.2 km   Rechts abbiegen
   10.8 km   Rechts abbiegen zum Knotenpunkt 76
   10.9 km   Schräg links
   11.4 km   Links abbiegen zum Knotenpunkt 76
   12.0 km   Straße überqueren, dann links zum Knotenpunt 76
  ★ 12.2 km  [coffee] Restaurant De Vogelensangh — Täglich geöffnet ab 10h

tel: +31 23 743 27 12
   12.7 km   Geradeaus zum Knotenpunkt 16 (follow 1.7 km)
   14.4 km   Schräg rechts auf dem Radweg
   14.4 km   Links abbiegen, Brücke überqueren
   14.5 km   Rechts abbiegen zum Knotenpunkt 11 (follow 2.0 km)
   16.5 km   Rechts abbiegen, Brücke überqueren
   16.5 km   Links abbiegen zum Knotenpunkt 48 (follow 2.6 km)
   19.1 km   Links abbiegen zum Knotenpunkt 40 (follow 1.1 km)
  ★ 19.3 km  [coffee] Tussen Station Lisse
   20.2 km   Geradeaus weiterfahren zum Knotenpunkt 49
   20.7 km   Rechts abbiegen zum Knotenpunkt 07 (follow 1.2 km)
  ★ 20.7 km  [parking] Fahrrad Parkplatz Keukenhof
  ★ 20.7 km  [restroom] Offentliche Toiletten
  ★ 20.7 km  [note] Keukenhof Eingang
   21.9 km   Rechts abbiegen zum Knotenpunkt 87
   22.4 km   Links abbiegen zum knotenpunkt 87 (follow 1.1 km)
   23.5 km   Links abbiegen zum Knotenpunkt 55
   24.4 km   Rechts abbiegen zum Knotenpunkt 54
   24.5 km   Links abbiegen zum Knotenpunkt 54
   24.9 km   Links abbiegen
   25.1 km   Rechts abbiegen zum Knotenpunkt 54
   25.1 km   Rechts abbiegen zum Knotenpunkt 54
   25.8 km   Rechts abbiegen zum Knotenpunkt 25 (follow 1.3 km)
   27.1 km   Links abbiegen auf Radweg
   27.5 km   Links abbiegen zum Knotenpunkt 25
   28.0 km   Rechts abbiegen
   28.1 km   Links abbiegen
   28.3 km   Scharf rechts
   28.6 km   Scharf rechts
   28.8 km   Links abbiegen zum Knotenpunkt 08
   29.4 km   Rechts abbiegen zum Knotenpunkt 08
   29.6 km   Rechts abbiegen zum Knotenpunkt 09 (follow 4.2 km)
  ★ 29.6 km  [bar] Restaurant/Bar Kaagzicht
   33.8 km   Rechts und Brücke überqueren zum Knotenpunkt 09
   33.9 km   Links abbiegen
   34.6 km   Links abbiegen zum Knotenpunkt 10 (follow 1.1 km)
   35.6 km   Rechts abbiegen
   35.7 km   Rechts abbiegen zum Knotenpunkt 10
   35.8 km   Links abbiegen zum Knotenpunkt 21
   35.9 km   Rechts abbiegen
   36.7 km   Ende der Radtour
  ★ 36.8 km  [dock/stay] Anlegestelle Oude Wetering
