HAARLEM (STADT) - KEUKENHOF - LEIDEN    36.6 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Rechts abbiegen auf Bakenessergracht
    0.2 km   Rechts halten auf Spaarne
    0.6 km   Rechts abbiegen auf Kampervest
    0.9 km   Turn left onto Kleine Houtstraat
    1.0 km   Continue onto Kleine Houtweg
    1.7 km   Rechts abbiegen auf Hertenkamplaan
    1.9 km   Rechts abbiegen auf Fonteinlaan
    1.9 km   Links abbiegen auf Fonteinlaan
    2.0 km   Rechts abbiegen auf Koningin Wilhelminalaan
    2.1 km   Dem Straßenverlauf von Zandvoorterpad folgen
    2.3 km   Rechts halten auf Hendriklaan
    2.4 km   Rechts abbiegen auf Helenalaan
    2.6 km   Links abbiegen
    2.6 km   Rechts abbiegen auf Spruitenbosstraat
    2.8 km   Dem Straßenverlauf von Oranjeplein folgen
    2.8 km   Rechts abbiegen auf Berkenrodestraat
    3.0 km   Dem Straßenverlauf von Schouwtjesplein folgen
    3.0 km   Links abbiegen auf Schouwtjeslaan
    3.1 km   Leicht rechts abbiegen auf Pijlslaan
    3.4 km   Rechts abbiegen
    3.4 km   Dem Straßenverlauf von Pijlslaan folgen
    3.6 km   Rechts halten
    3.7 km   Links abbiegen
    3.8 km   Rechts abbiegen
    4.0 km   Leicht rechts abbiegen auf Sleedoornweg
    4.2 km   Rechts abbiegen auf Oosterduinweg
    4.2 km   Scharf links abbiegen auf Oosterduinweg
    5.1 km   Leicht rechts abbiegen auf Clematislaan
    5.1 km   Links abbiegen auf Oosterduinweg
    5.5 km   Rechts abbiegen
    5.5 km   Links abbiegen
    5.5 km   Links abbiegen
    5.5 km   Rechts abbiegen (follow 1.0 km)
    6.6 km   Scharf links abbiegen
    6.6 km   Rechts abbiegen (follow 1.1 km)
    7.6 km   Links abbiegen auf Vogelenzangseweg
    8.5 km   Rechts abbiegen auf 2e Leijweg
  ★ 8.5 km  [coffee] Leijduin
    9.0 km   Scharf rechts abbiegen auf Woestduinweg
    9.7 km   Links abbiegen auf Vogelenzangseweg
  ★ 9.9 km  [coffee] De Wachtkamer — Guter Apfelkuchen!
   10.2 km   Rechts halten auf Vogelenzangseweg
   10.3 km   Links abbiegen auf Vogelenzangseweg
  ★ 10.4 km  [coffee] Café Vogelenzang
   11.0 km   Rechts abbiegen auf Bekslaan
   11.4 km   Links abbiegen auf Tweede Doodweg (follow 1.6 km)
  ★ 11.7 km  [coffee] Restaurant 't Pannenland
   13.0 km   Scharf links abbiegen auf Margrietenlaan
   13.3 km   Rechts abbiegen
   13.4 km   Rechts abbiegen auf Noorder Leidsevaart (follow 2.0 km)
   15.4 km   Rechts abbiegen auf Beeklaan
  ★ 15.4 km  [coffee] The Tulip Barn
   15.4 km   Links abbiegen auf Zuider Leidsevaart (follow 2.6 km)
   18.0 km   Links abbiegen auf Stationsweg (follow 1.6 km)
   19.6 km   Rechts abbiegen auf van Lyndenweg (follow 1.2 km)
  ★ 19.6 km  [bike_parking] Keukenhof Fahrradparkplatz
  ★ 19.6 km  [note] Haupteingang Keukenhof
   20.8 km   Rechts abbiegen auf Spekkelaan (follow 1.6 km)
   22.4 km   Links abbiegen auf Essenlaan
   23.3 km   Rechts abbiegen auf Achterweg-Zuid
   24.0 km   Rechts abbiegen auf Akervoorderlaan
   24.1 km   Links abbiegen auf Oude Herenweg (follow 1.1 km)
  ★ 24.4 km  [coffee] De Tulperij — Kaffee, Toilette, kostenloser Besuch des Blumengartens
   25.3 km   Links abbiegen auf Teylingerlaan
   25.5 km   Rechts abbiegen auf Teylingerlaan
   26.1 km   Scharf rechts abbiegen auf Hoofdstraat
  ★ 26.3 km  [note] Sassenheim — Laden, Restaurants
   26.7 km   Rechts halten auf Hoofdstraat
   26.8 km   Dem Straßenverlauf von Hoofdstraat folgen
   27.3 km   Rechts halten auf Hoofdstraat
   27.7 km   Links abbiegen auf Wasbeekerlaan
   28.2 km   Leicht rechts abbiegen
   28.3 km   Rechts abbiegen
   28.3 km   Links abbiegen auf Wasbeeklaan
   29.0 km   Links halten auf Wasbeeklaan
   29.0 km   Links abbiegen auf Oosteinde
   29.4 km   Dem Straßenverlauf von Herenweg folgen
   29.9 km   Links abbiegen
   30.3 km   Rechts abbiegen auf Burgemeester Ketelaarstraat (follow 1.1 km)
  ★ 30.8 km  [bar] Bar Coazy
  ★ 30.9 km  [bar] Bar
   31.4 km   Rechts abbiegen auf Lockhorstlaan
   31.5 km   Scharf links abbiegen auf Herenweg
   31.7 km   Rechts abbiegen
   31.7 km   Links abbiegen
   31.8 km   Leicht rechts abbiegen auf Padoxlaan
   31.8 km   Rechts abbiegen auf Oranje Nassaulaan
   32.1 km   Rechts halten auf Veerpolderpad
   33.1 km   Rechts abbiegen auf Veerpolderpad
   33.1 km   Leicht links abbiegen auf Gooimeerlaan
   33.3 km   Dem Straßenverlauf von Gooimeerlaan folgen
   33.6 km   Links abbiegen auf Broekweg
   33.8 km   Scharf rechts abbiegen auf Tuinpad
   33.9 km   Dem Straßenverlauf von Ridderspoortunnel folgen
   34.9 km   Leicht rechts abbiegen auf Zwarte Padviaduct
   35.0 km   Links halten auf Driemanschapskade
   35.4 km   Links abbiegen auf Maresingel
  ★ 35.4 km  [note] Leiden
   35.9 km   Dem Straßenverlauf von Herensingel folgen
  ★ 36.5 km  [dock/stay] Liegeplatz Leiden
