HAARLEM (STADT) - LEIDEN (ÜBER CRUQUIUS)    40.0 km    · signs & notes only ·

Knooppunten: 25

DIRECTIONS
    0.1 km   Rechts abbiegen auf Bakenessergracht
    0.3 km   Rechts halten auf Spaarne
    0.8 km   Links halten
    0.8 km   Links halten
    1.6 km   Rechts abbiegen auf Schalklink
    1.7 km   Rechts abbiegen auf Noord Schalkwijkerweg (follow 3.8 km)
    5.5 km   Links abbiegen (follow 1.0 km)
  ★ 6.5 km  [monument] Cruquius
    6.5 km   Rechts halten auf Cruquiusdijk
    6.5 km   Links halten
    6.6 km   Leicht rechts abbiegen auf Bennebroekerdijk (follow 3.1 km)
    9.7 km   Links halten auf Bennebroekerdijk
   10.3 km   Links abbiegen auf Bennebroekerweg
   10.3 km   Leicht rechts abbiegen auf Bennebroekerweg
   10.4 km   Leicht rechts abbiegen auf Bennebroekerweg
   10.7 km   Rechts abbiegen auf Bennebroekerweg
   10.9 km   Im Kreisverkehr Ausfahrt 1 auf Spieringweg nehmen (follow 1.6 km)
   12.5 km   Links abbiegen auf Hillegommerdijk (follow 1.7 km)
   14.2 km   Leicht rechts abbiegen auf Meerlaan
   14.5 km   Rechts abbiegen auf Meerlaan
   14.6 km   Rechts halten auf Meerlaan
   14.6 km   Links halten
   14.6 km   Rechts halten auf Meerlaan
   15.0 km   Links abbiegen auf Jonkheer Mockkade
   15.2 km   Links abbiegen auf Van Meerbeekstraat
   15.3 km   Rechts abbiegen auf Van Meerbeekstraat
   15.5 km   Leicht links abbiegen auf Raadhuisstraat
   15.5 km   Scharf rechts abbiegen auf Hoofdstraat
   15.6 km   Links abbiegen auf Molenstraat
   15.7 km   Rechts abbiegen auf Molenstraat
   15.8 km   Leicht links abbiegen
   15.8 km   Leicht links abbiegen
   15.9 km   Rechts halten auf Van den Endelaan
   16.3 km   Leicht rechts abbiegen auf Leidsestraat
   16.3 km   Rechts abbiegen auf Veenenburgerlaan (follow 3.6 km)
   19.9 km   Links abbiegen
  ★ 19.9 km  [see] Schloss Keukenhof
   20.5 km   Rechts abbiegen auf van Lyndenweg
   21.0 km   Links abbiegen
   21.2 km   Links abbiegen auf van Lyndenweg
   21.8 km   Rechts abbiegen auf Spekkelaan (follow 1.6 km)
   23.4 km   Links abbiegen auf Essenlaan
   24.4 km   Rechts abbiegen auf Achterweg-Zuid
   24.4 km   Links abbiegen auf Catharijnelaan
   24.9 km   Links halten auf Catharijnelaan
   24.9 km   Links abbiegen auf Heereweg
   25.0 km   Rechts abbiegen auf Heereweg
   25.1 km   Rechts abbiegen auf 2e Poellaan
   25.8 km   Rechts abbiegen auf Rooversbroekdijk (follow 1.3 km)
   27.0 km   Follow signs to junction 25 via bikepath (exit right)
  ★ 33.4 km  [bar] Bar Coazy
  ★ 38.5 km  [bar] Leiden Cafes
  ★ 38.7 km  [see] Leiden Schloss
  ★ 40.0 km  [dock/stay] Liegeplatz Leiden
