HAARLEM (CITY) - LEIDEN (VIA CRUQUIUS)    39.8 km    · signs & notes only ·

Knooppunten: 90 · 85 · 89 · 74 · 53 · 52 · 56 · 52 · 57 · 61 · 14 · 13 · 28 · 40 · 49 · 7 · 55 · 54 · 25 · 51 · 52 · 76 · 1

DIRECTIONS
    0.1 km   Turn right onto Bakenessergracht
    0.3 km   Keep right onto Spaarne
    0.8 km   Turn left, cross bridge to junction 90
    0.9 km   Follow signs to junction 85 via bike path (exit right, heading SW) toward junction 89
    1.7 km   Continue to junction 89
    2.5 km   Continue straight to junction 74 (follow 1.1 km)
    3.6 km   Follow signs to junction 53 (exit left, heading E) toward junction 52
    5.7 km   Follow signs to junction 52 (exit right, heading W) toward junction 56
  ★ 6.4 km  [monument] Cruquius
    6.6 km   Continue straight to junction 56, water at your right
    6.9 km   Follow junction 52 (follow 2.8 km)
    9.7 km   Follow signs to junction 57 (exit left, heading SE) toward junction 61
   10.9 km   Follow signs to junction 61 (exit left, heading S) toward junction 14
   14.2 km   Turn right to junction 14
   14.6 km   Follow signs to junction 13 (exit right, heading NW) toward junction 28
   15.7 km   Follow signs to junction 28 (exit right, heading SW) toward junction 40
   18.7 km   Continue straight to junction 40 (follow 1.1 km)
  ★ 19.7 km  [coffee] Het Tussenstation Lisse
   19.9 km   Turn left to junction 49
  ★ 19.9 km  [see] Keukenhof Castle
   20.4 km   Turn right to junction 7 (follow 1.2 km)
   21.6 km   Follow signs to junction 55 (exit left, heading SE) toward junction 54
   24.2 km   Follow signs to junction 54 (exit right, heading SE) toward junction 25
   25.6 km   Follow signs to junction 25 via bikepath (exit right, heading SW) toward junction 51
   27.8 km   Follow signs to junction 51 (exit straight, heading W) toward junction 52
   30.3 km   Follow signs to junction 52 via bikepath (exit left, heading SW) toward junction 76
  ★ 30.6 km  [restroom] Toilet at McD.
   31.4 km   Follow signs to junction 76 via Lockhorstlaan, Herenweg, Oranje Nassaulaan (exit right, heading S) toward junction 1
  ★ 33.1 km  [bar] Bar Coazy
  ★ 33.3 km  [coffee] Grand-cafė De Oude School
   34.5 km   Follow signs to junction 1 via Veerpolderpad, Gooimeerlaan, Broekweg, Haarlemmerweg, Korte Mare, Marepoortbrug, Nieuwe Mare, Oude Singel, Lange Mare, Aalmarkt, Burgsteeg, Oude Rijn, Hooglandse Kerkgracht, Koppenhinksteeg, Kaasmarkt, Hooigracht, Havenplein, Zijlpoortsburg, Zijlsingel (exit right)
  ★ 38.3 km  [bar] Leiden Cafes
  ★ 38.6 km  [see] Leiden Fortress
  ★ 39.8 km  [dock/stay] Docking Leiden
