HANSWEERT - ZANDVLIET KUST -    32.7 km    · signs & notes only ·

DIRECTIONS
    0.7 km   Turn right onto Scheldemond
    1.1 km   Turn right onto Kanaalweg (follow 1.5 km)
    2.6 km   Turn left onto Sluisweg
    3.1 km   Turn left onto Sandeeweg
    3.9 km   Turn slight left onto Eindje de Rondte
    4.0 km   Turn right onto Eindje de Rondte
    4.1 km   Turn left onto Dirk Jan Blomstraat
    4.2 km   Turn right onto Henry Dunantstraat
    4.2 km   Turn left onto Voorhoute
    4.3 km   Turn right onto Slagveldstraat
    4.4 km   Turn right onto Blauwhoefseweg
    4.7 km   Turn right (follow 1.0 km)
    5.8 km   Turn right onto Polderweg
    6.2 km   Turn sharp left onto Inkeldijk (follow 2.0 km)
    8.2 km   Turn left onto Vroondijk
    8.3 km   Turn right onto Westveerdijk (follow 1.4 km)
    9.7 km   Turn slight left onto Westveerdijk
    9.8 km   Turn slight right onto Havenstraat
    9.8 km   Turn sharp right onto Schaarweg
   10.7 km   Turn slight right onto Nolleweg
   10.7 km   Turn slight right onto Zusterzand (follow 3.3 km)
   14.0 km   Keep right onto Buitendijks (follow 7.9 km)
   22.0 km   Turn left onto Schansweg (follow 1.2 km)
   23.1 km   Continue onto Grensweg (follow 2.9 km)
   26.1 km   Turn left onto Grensweg
   26.7 km   Turn left onto Scheldelaan (follow 4.3 km)
   30.9 km   Turn sharp left
   31.4 km   Turn sharp left onto Noordland
   32.1 km   Turn right onto Spaansemolenstraat
   32.3 km   Turn right onto De Keyserhoeve
   32.4 km   Turn right onto De Keyserhoeve
   32.4 km   Keep left onto Zuidhavendijk
