HARDERWIJK - HUIZEN (ÜBER SPAKENBURG)    51.9 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Links abbiegen auf Einsteinstraat
    0.4 km   Rechts abbiegen auf Lorentzstraat (follow 1.1 km)
    1.5 km   Leicht links abbiegen auf Burgemeester De Meesterstraat
    1.8 km   Rechts abbiegen auf Havendam
    2.2 km   Leicht rechts abbiegen auf Havendam
    2.2 km   Rechts halten auf Strandboulevard Oost
    2.2 km   Scharf links abbiegen auf Strandboulevard Oost
    2.7 km   Links halten auf Wellenpad (follow 1.4 km)
    4.1 km   Dem Straßenverlauf von Zeepad folgen (follow 1.6 km)
    5.7 km   Links abbiegen auf Muziekpad
    5.9 km   Dem Straßenverlauf von Muziekpad folgen
    6.2 km   Rechts abbiegen auf Ouverturepad
  ★ 6.5 km  [coffee] Grand café Alleman
    6.5 km   Leicht links abbiegen auf Triasplein
    6.7 km   Rechts abbiegen auf Zwartepad
    7.6 km   Links abbiegen auf Enckerkamp
    7.7 km   Leicht links abbiegen auf Enckerkamp
    8.1 km   Leicht links abbiegen auf Enckerkamp
    8.4 km   Links abbiegen auf Bongerd
    8.5 km   Links abbiegen auf Bongerd
    8.7 km   Rechts abbiegen auf Kloenenkamp
    8.8 km   Links abbiegen auf Molenkamp
    9.1 km   Leicht rechts abbiegen auf Molenkamp
    9.4 km   Rechts abbiegen auf Fokko Kortlanglaan (follow 1.4 km)
  ★ 9.6 km  [coffee] Restaria De Vos
   10.8 km   Links abbiegen auf Telgterweg
   10.9 km   Rechts halten auf Telgterweg
   10.9 km   Scharf links abbiegen auf Telgterweg
   11.2 km   Rechts abbiegen auf Telgterweg
   11.3 km   Rechts abbiegen auf Nijkerkerweg (follow 1.5 km)
   12.8 km   Links halten auf Nijkerkerweg
   13.1 km   Links halten auf Nijkerkerweg
   13.5 km   Rechts abbiegen auf Oude Telgterweg (follow 2.2 km)
  ★ 15.2 km  [see] Castle De Vanenburg — 4* hotel
   15.7 km   Dem Straßenverlauf von Zuiderzeestraatweg folgen
   15.8 km   Links abbiegen auf Zuiderzeestraatweg
   15.8 km   Links abbiegen auf Kuiterweg
   16.4 km   Rechts abbiegen auf Stenenkamerseweg
   17.2 km   Rechts abbiegen
   17.2 km   Links abbiegen auf Hoornsdam
   18.1 km   Links abbiegen auf Hoornsdam
   18.1 km   Links abbiegen auf Strandboulevard
   18.4 km   Links abbiegen auf Strandboulevard
  ★ 18.4 km  [swimming] Recreational beach
  ★ 18.4 km  [restroom] Public restrooms
   18.7 km   Rechts halten auf Putter Zeedijk (follow 4.1 km)
   22.8 km   Rechts abbiegen auf Berencamperweg
   22.8 km   Links abbiegen
   22.8 km   Links abbiegen
   22.9 km   Leicht rechts abbiegen auf Zeedijk
   23.4 km   Rechts abbiegen
  ★ 23.5 km  [food] Restaurant Strandhuys — Café Restaurant
  ★ 23.8 km  [swimming] Beach
   24.1 km   Rechts halten auf Arkemheense Zeedijk (follow 1.3 km)
   25.3 km   Links halten auf Zeedijk
   25.4 km   Links abbiegen auf Zeedijk
   25.5 km   Wenden auf Zeedijk
  ★ 25.5 km  [see] Steam pumping Station Arkemheem; visitor centre — Free entrance, coffee and toilets (donation welcome)
   25.7 km   Rechts abbiegen auf Zeedijk
   25.7 km   Scharf links abbiegen auf Arkemheense Zeedijk (follow 1.8 km)
   27.5 km   Dem Straßenverlauf von Zeedijk folgen (follow 2.7 km)
  ★ 27.7 km  [note] Broken seadike January 1916 — Severe storm. Inscriptions in cycle path
  ★ 29.6 km  [note] Overtoom — Transport system to bring small boats over the dike
   30.2 km   Links abbiegen auf Kerkemaat
   30.4 km   Rechts abbiegen auf Weikamp
   30.6 km   Leicht rechts abbiegen auf Hoekstraat
   30.7 km   Links abbiegen auf Turfwal
   30.7 km   Rechts abbiegen auf Spuiplein
  ★ 30.7 km  [food] Café's and Fishing Restaurant
   30.7 km   Rechts abbiegen auf Oude Schans
  ★ 30.7 km  [rest_stop] Benches
  ★ 30.8 km  [see] Spakenburg: Old Harbour — Wharf for building and repairing wooden fishing ships (botter)
  ★ 30.8 km  [see] Museum Spakenburg
   30.9 km   Dem Straßenverlauf von Westdijk folgen (follow 2.2 km)
   33.1 km   Rechts abbiegen
   33.6 km   Rechts abbiegen auf Eemdijk (follow 2.0 km)
  ★ 35.6 km  [food] Café Ootje Eppie
   35.7 km   Rechts abbiegen auf Wiggertsweg
  ★ 35.7 km  [ferry] Ferry Eemdijk — ca € 1,20 p.p., cash only
   35.8 km   Scharf links abbiegen (follow 2.2 km)
   38.0 km   Links abbiegen auf Eemnesser Vaartsteeg (follow 1.1 km)
   39.1 km   Rechts abbiegen auf Noord Ervenweg (follow 3.1 km)
   42.2 km   Links abbiegen (follow 1.2 km)
   43.4 km   Rechts abbiegen auf Meentweg
   43.6 km   Leicht rechts abbiegen auf Meentweg
   43.6 km   Links abbiegen auf Gooyerweg
  ★ 43.8 km  [coffee] Tea Garden Eemnes
   44.4 km   Rechts abbiegen (follow 1.1 km)
   45.6 km   Rechts halten auf Stichtseweg
   46.1 km   Dem Straßenverlauf von Deltazijde folgen
  ★ 46.2 km  [food] Restaurant Bruis
   47.0 km   Scharf links abbiegen auf Gooise Zomerkade
   47.2 km   Rechts abbiegen auf Gooise Zomerkade
   47.2 km   Rechts abbiegen auf Gooise Zomerkade
   47.6 km   Rechts abbiegen auf Gooimeerpromenade
   47.9 km   Leicht links abbiegen auf Gooimeerpromenade
   48.1 km   Rechts abbiegen auf Harderwijkerzand (follow 1.3 km)
   49.4 km   Rechts abbiegen auf Zomerkade
   49.8 km   Rechts abbiegen auf Wedekuil
   50.1 km   Links abbiegen auf Zomerkade
   50.2 km   Rechts abbiegen auf Zomerkade
   50.2 km   Rechts abbiegen
   50.9 km   Rechts abbiegen
   51.0 km   Rechts abbiegen
   51.1 km   Links halten
   51.2 km   Rechts halten
   51.4 km   Rechts abbiegen auf Havenstraat
   51.9 km   Rechts abbiegen auf Mastspoor
  ★ 51.9 km  [bar] Café Restaurant
   51.9 km   Rechts abbiegen auf Mastspoor
  ★ 51.9 km  [dock/stay] Docking Huizen
