HARDERWIJK - SPAKENBURG (VIA PUTTEN)    41.1 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn left onto Einsteinstraat
    0.4 km   Turn right onto Lorentzstraat (follow 1.1 km)
    1.5 km   Turn slight left onto Burgemeester De Meesterstraat
    1.8 km   Turn right onto Havendam
    2.2 km   Turn slight right onto Havendam
    2.2 km   Keep right onto Strandboulevard Oost
    2.2 km   Turn sharp left onto Strandboulevard Oost
    2.7 km   Schräg Rechts
    2.8 km   Links abbiegen zum Knotenpunkt 16
    2.8 km   Rechts abbiegen zum Knotenpunkt 16
    3.2 km   Rechts ab und direkt Links abbiegen
    3.6 km   Geradeaus zum Knotenpunkt 16
    4.2 km   Rechts abbiegen zum Knotenpunkt 16
    4.4 km   Links abbiegen in den Tunnel
    4.6 km   Schräg links abbiegen und über die Brücke
    4.7 km   Schräg rechts zum Knotenpunkt 16
    4.7 km   Rechts abbiegen zum Knotenpunkt 16
    5.1 km   Rechts abbiegen zum Knotenpunkt 16
    5.3 km   Rechts abbiegen zum Knotenpunkt 16
    5.7 km   Rechts abbiegen zum Knotenpunkt 16
    6.0 km   Links abbiegen zum Knotenpunkt 16
    6.1 km   Rechts abbiegen zum Knotenpunkt 48
    6.5 km   Rechts abbiegen auf Radweg zum Knotenpunkt 48
    6.7 km   3. Ausfahrt im Kreisverkehr zum Knotenpunkt 48
    7.6 km   Rechts abbiegen zum Knotenpunkt 48
    7.7 km   Geradeaus zum Knotenpunkt 58
    8.2 km   Schräg rechts zum Knotenpunkt 58
    8.6 km   Geradeaus zum Knotenpunkt 58 (follow 1.6 km)
   10.2 km   Links abbiegen zum Knotenpunkt 58
   10.4 km   Scharf rechts abbiegen zum Knotenpunkt 77
   11.0 km   Schräg links zum Knotenpunkt 77
   11.4 km   Geradeaus zum Knotenpunkt 95
   11.8 km   Rechts abbiegen zum Knotenpunkt 78
   12.0 km   Links abbiegen zum Knotenpunkt 78
   12.7 km   Schräg links zum Knotenpunkt 78
   13.0 km   Rechts abbiegen zum Knotenpunkt 39
   13.3 km   Links abbiegen zum Knotenpunkt 39
   14.0 km   Links abbiegen zum Knotenpunkt 80 (follow 2.1 km)
   16.0 km   Turn left onto Laak
   16.2 km   Keep right onto Arnhemse Karweg (follow 1.7 km)
   17.9 km   Continue onto Prins Hendrikweg
   17.9 km   Turn left onto Arnhemse Karweg
   18.7 km   Turn right onto Nieuwe Prinsenweg
   19.4 km   Turn right onto Garderenseweg (follow 1.1 km)
  ★ 19.7 km  [see] Forest Tower — 40 m high, view over the forest
ca € 4,- euro p.p. ((cards only)
  ★ 19.9 km  [see] Arboretum
   20.5 km   At roundabout, take exit 3 onto Garderenseweg
   21.2 km   At roundabout, take exit 2 onto Voorthuizerstraat
   21.6 km   Enter roundabout
   21.7 km   Rechts abbiegen
   21.8 km   Links abbiegen
   21.8 km   Links abbiegen zum Knotenpunkt 19
  ★ 21.9 km  [coffee] Putten: several cafes
  ★ 21.9 km  [note] Putten Tourist Office
   22.1 km   Geradeaus zum Knotenpunkt 19
   22.3 km   Rechts abbiegen zum Knotenpunkt 19
   22.8 km   Strasse Überqueren; links abbiegen zum Knotenpunkt 19
  ★ 22.9 km  [monument] Monument October 1944 — About a razzia in Putten
   22.9 km   3. Ausfahrt im Kreisverkehr zum Knotenpunkt 19
   23.4 km   2. Ausfahrt im Kreisverkehr zum Knotenpunkt 19
   23.9 km   Rechts abbiegen zum Knotenpunkt 60
   24.4 km   Geradeaus zum Knotenpunkt 36 (follow 3.3 km)
   27.7 km   Strasse überqueren zum Knotenpunkt 67
   28.0 km   Schräg Links zum Knotenpunkt 67 (follow 3.2 km)
  ★ 28.0 km  [swimming] Beaches
  ★ 28.0 km  [restroom] Public restrooms
   31.2 km   Geradeaus zum Knotenpunkt 67 (follow 1.9 km)
   33.1 km   Schäg links auf Radweg zum Knotenpunkt 51 (follow 1.9 km)
  ★ 33.1 km  [food] Restaurant Strandhuys
  ★ 33.4 km  [swimming] Beach
   35.0 km   Keep left onto Zeedijk
   35.0 km   Turn left onto Zeedijk
   35.2 km   Make a U-turn onto Zeedijk
  ★ 35.2 km  [see] Arkemheem steam pump station — Free entrance, coffee, toilets (donation welcome)
   35.4 km   Turn right onto Zeedijk
   35.4 km   Turn sharp left onto Arkemheense Zeedijk (follow 1.8 km)
   37.2 km   Schräg rechts zum Knotenpunkt 50
  ★ 37.3 km  [note] Broken seadike January 1916 — Severe storm. Inscriptions in cycle path.
   38.0 km   Geradeaus zum Knotenpunkt 03 (follow 1.9 km)
  ★ 39.2 km  [note] Overtoom — Transport system to bring small boats over the dike
   39.9 km   Turn left onto Oostdijk
   40.1 km   Turn right onto Weikamp
   40.2 km   Turn slight right onto Hoekstraat
   40.3 km   Turn left onto Turfwal
   40.3 km   Turn right onto Spuiplein
   40.4 km   Turn right onto Oude Schans
   40.5 km   Turn right onto Havenstraat
   41.1 km   Turn sharp right
  ★ 41.1 km  [dock/stay] Docking Spakenburg
