HASSELT - MAASTRICHT    42.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring
    0.0 km   Turn left
    0.1 km   Turn sharp right onto Scheepvaartlaan
    0.3 km   Turn right onto Gaston Bersstraat
    0.6 km   Turn right
    0.9 km   Turn left onto Manteliusstraat
    0.9 km   Turn right
    1.0 km   Turn left
    1.0 km   Turn right onto Dorpsstraat
    1.1 km   Turn right onto Dokter Willemsstraat
    1.2 km   Turn left onto Aldestraat
    1.5 km   Turn left onto Hoogstraat
    1.5 km   Turn right onto Botermarkt
    1.6 km   Turn left onto Zuivelmarkt
    1.8 km   Make a U-turn onto Zuivelmarkt
    2.0 km   Turn sharp right
    2.1 km   Turn right
    2.1 km   Turn right
    2.2 km   Turn right
    2.3 km   Turn left
    3.1 km   At roundabout, take exit 2
    3.5 km   Turn left (follow 1.8 km)
    5.3 km   At roundabout, take exit 2 (follow 1.9 km)
    7.2 km   Turn left (follow 1.1 km)
    8.3 km   Turn left
    8.4 km   Turn right
    8.8 km   Turn right
    8.8 km   Turn sharp left
    9.7 km   Turn left
    9.8 km   Turn slight left onto Molenstraat
   10.1 km   Turn left
   10.9 km   Turn right onto Sint-Gerardusdreef
   11.1 km   Turn right onto Sint-Gerardusdreef
   11.2 km   Turn right
   11.5 km   Turn right
   11.5 km   Turn left onto Onze-Lieve-Vrouwstraat
   11.6 km   Turn right
   12.5 km   Turn left onto Lutselusstraat
   12.6 km   Turn right
   13.1 km   Turn right onto Begeveldstraat
   13.8 km   Turn right onto Leenveldstraat
   13.9 km   Turn left onto Leenveldstraat
   14.1 km   Turn left onto Molenstraat
   14.8 km   Turn right onto Appelveldstraat
   15.1 km   Turn left
   15.2 km   Turn right onto Palsbosstraat
   15.5 km   Turn sharp left onto Palsbosstraat
   15.9 km   Continue onto Langheidestraat
   16.6 km   Turn left onto St-Lodewijkstraat
   16.8 km   Turn right
   17.6 km   Turn right onto Eikerveldweg
   18.4 km   Turn right onto St. Jozefstraat
   18.4 km   Turn left onto Munsterbeekweg (follow 1.2 km)
   19.6 km   Turn left onto Spurkerweg (follow 1.4 km)
   21.0 km   Continue onto Hasseltsepoort
   21.3 km   At the roundabout, take the 3rd exit onto Genutstraat/​N2
   21.4 km   Turn right to stay on Genutstraat/​N2
   21.7 km   Turn left onto Markt/​N2
   21.8 km   Turn right onto Kloosterstraat
   22.0 km   Continue onto Ridderstraat
   22.3 km   Turn sharp left onto Schureveld (follow 1.1 km)
   23.4 km   Turn right
   23.4 km   Turn slight right onto Wijngaardstraat
   23.9 km   Turn left
   23.9 km   Turn right onto Wijngaardstraat
   24.0 km   Turn slight left onto Wijngaardstraat
   24.3 km   Turn left onto Appelboomgaardstraat
   24.5 km   Turn right onto Appelboomgaardstraat
   24.6 km   Turn right onto Abdijstraat
   24.9 km   Turn right onto Waterstraat, N730
   25.0 km   Turn left onto Leroyplein
   25.1 km   Continue onto Panisstraat (follow 1.4 km)
   26.5 km   Turn sharp right onto Heiken
   27.5 km   Turn right
   27.6 km   Turn left
   28.2 km   Turn left onto Groenendaal
   28.5 km   Turn left onto Jonckholtstraat
   29.4 km   Turn right onto Hoelbeekstraat
   29.4 km   Turn left onto Rageveldstraat
   30.2 km   Turn left
   30.5 km   Turn left onto Braamstraat
   31.0 km   Turn right onto Eigenbilzerplein
   31.0 km   Turn left onto Dorpsstraat
   31.1 km   Turn right onto Winkelomstraat
   31.5 km   Turn right onto Grote Mereweg
   32.0 km   Turn sharp left onto Steenveldstraat
   32.9 km   Turn slight left onto Scheepveldweg (follow 1.9 km)
  ★ 34.7 km  [see] Hoogste punt mooi uitzicht
   34.7 km   Turn right
   35.4 km   Continue onto Sint Antoniussteeg
   35.6 km   Turn sharp left onto Strodorp
   35.8 km   Turn left onto Kiezelweg, N78
   35.8 km   Turn right onto Berenhofstraat
   36.4 km   Turn right onto Lindestraat
   37.1 km   Turn left
   37.1 km   Turn slight right
   37.2 km   Turn left
   37.2 km   Turn slight left (follow 2.1 km)
   39.2 km   Turn left
   39.4 km   Turn right onto Via Regia
   39.8 km   Turn left
   39.8 km   Turn right onto Via Regia
   40.1 km   Enter roundabout
   40.1 km   Turn left onto Sint Annadal
   40.5 km   Continue onto Hertogsingel
   41.0 km   Continue onto Tongerseplein
   41.1 km   Turn right onto Tongerseplein
   41.2 km   Turn right onto Tongerseweg
   41.4 km   Turn left onto Tongersestraat
   41.7 km   Turn slight right onto Lenculenstraat
   41.8 km   Turn right onto Kapoenstraat
   41.9 km   Turn left onto Witmakersstraat
   42.1 km   Turn slight left onto Cortenstraat
   42.1 km   Turn left onto Onze Lieve Vrouweplein
   42.2 km   Turn left onto Het Bat
  ★ 42.5 km  [caution] Walk from here
  ★ 42.9 km  [dock/stay] Docking Maastricht
