HAVRINCOURT - CAMBRAI - DOUAI    60.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Écluse 7
    0.1 km   Turn right (follow 1.1 km)
    1.2 km   Turn right onto D 15
    2.0 km   Turn left
    2.0 km   Keep right onto D 15 E2
    2.1 km   Turn left onto Rue Neuve (follow 1.2 km)
    3.3 km   Weg vervolgen naar de D92
    4.2 km   Sla rechtsaf naar Rue de la Haut/​de D92
    4.9 km   Ga rechtdoor op Rue du Calvaire/​de D89 (follow 3.7 km)
  ★ 5.4 km  [monument] Tank 1917 — In summer open every day, spring & fall only Wed, Sat & Sun 14:00-17:30
    8.6 km   Continue onto Rue de Graincourt (follow 2.4 km)
   11.0 km   Turn left onto Chemin de Halage (follow 3.7 km)
   14.7 km   Continue onto Digue du Canal
   14.8 km   Turn slight right onto Boulevard de la Liberté
   15.5 km   At roundabout, take exit 7 onto Place de la Porte de Paris
   15.7 km   Turn right onto Avenue de la Victoire
   16.0 km   Turn left onto Rue du 11 Novembre
  ★ 16.3 km  [bike_parking] Cambrai center
   16.3 km   Keep right onto Place Aristide Briand
   16.3 km   Turn left
   16.3 km   Turn left onto Rue Pasteur
   16.4 km   Keep right onto Place du 9 Octobre
   16.4 km   At roundabout, take exit 2 onto Place du 9 Octobre
   16.4 km   Turn right onto Rue Sadi Carnot
   16.6 km   Turn left onto Rue Saint-Géry
   17.1 km   Turn left onto Rue Froissart
   17.2 km   At roundabout, take exit 1 onto Rue du Château de Selles
   17.4 km   At roundabout, take exit 3 onto Rue de Douai
   17.8 km   Turn slight right onto Rue de Lille
   18.1 km   At roundabout, take exit 3 onto Rue de Lille
   18.3 km   Turn right onto Rue Touchard
   18.5 km   Turn left onto Rue Alfred Fronval (follow 4.5 km)
  ★ 20.3 km  [monument] Small Canadian Cemetery
   23.0 km   Turn left onto Rue du Couvent
   23.5 km   Turn right onto Rue Yves Defossez
   23.9 km   At roundabout, take exit 3 onto Grande Rue (follow 2.5 km)
   26.5 km   Turn left onto Rue d'Aubencheul (follow 2.3 km)
   28.8 km   Turn right onto Rue Nationale
   29.3 km   Turn left onto Rue Roger Salengro (follow 1.4 km)
   30.7 km   Turn left onto Rue Maurice Pierrache
   30.8 km   Turn right (follow 2.9 km)
   33.7 km   Turn right
   33.8 km   Turn right (follow 1.1 km)
   34.9 km   Turn left
   35.6 km   Turn right onto Rue de la Poste
   35.9 km   Continue onto Place du Monument
   36.0 km   Turn right onto Rue Georges Lefebvre
   36.0 km   At roundabout, take exit 1 onto Rue Fily
  ★ 36.1 km  [note] Smokes Garlic
   36.9 km   Turn slight left onto Rue Andre Joseph Le Glay
   37.2 km   At roundabout, take exit 3 onto Avenue de la Gare (follow 2.9 km)
   40.1 km   Turn right onto Rue du Puits à Razettes
   40.2 km   Turn left onto Rue du Puits à Razettes
   40.4 km   Turn left onto Rue de Cambrai
   40.4 km   Turn right onto Rue de Villers
   40.5 km   Continue onto Rue d'Erchin
   41.1 km   Turn left
   41.7 km   Turn sharp right onto D 135
   41.7 km   Turn right
   41.9 km   Turn slight left onto Rue Fernand Savary (follow 1.4 km)
   43.3 km   Turn right onto Rue Léon Rincheval (follow 1.8 km)
   45.1 km   Turn left onto Rue de la Mairie (follow 1.5 km)
   46.5 km   Keep right onto Rue d'Erchin
   46.6 km   Turn right
   46.7 km   Turn slight left
  ★ 46.7 km  [note] Mine Museum
   46.9 km   Turn right onto Rue d'Erchin
   47.7 km   Continue onto Rue de Monchecourt
   48.3 km   Turn slight right onto Rue de Roucourt
   48.3 km   Turn left onto Rue Pasteur
   48.9 km   At roundabout, take exit 3 onto Boulevard Ambroise Croizat (follow 1.1 km)
   50.1 km   Keep right onto Rue Jean Jaurès
   50.2 km   At roundabout, take exit 5 onto Rue Paul Éluard
   50.7 km   At roundabout, take exit 2
   50.8 km   Turn left
   51.4 km   Turn left onto Rue de la République
   51.4 km   Turn right onto Rue Pasteur
   52.0 km   At roundabout, take exit 1 onto Rue Francisco Ferrer
   52.3 km   Turn right onto Rue Maurice Mahieu
   52.8 km   At roundabout, take exit 3 onto Rue Henri Lemette
   53.3 km   Keep right onto Rue de Verdun
   53.6 km   At roundabout, take exit 2 onto Rue de Douai (follow 1.1 km)
   54.6 km   Keep right onto Rue des Frères Martel
   54.8 km   At roundabout, take exit 1 onto Rue de Sin-le-Noble
   55.5 km   At roundabout, take exit 5 onto Rue de Valenciennes
   56.0 km   Turn right onto Place d'Armes
  ★ 56.1 km  [note] Center Douai
   56.2 km   Turn left onto Rue Saint-Christophe
   56.3 km   Turn right onto Rue du Clocher Saint-Pierre
   56.5 km   Sla linksaf naar Rue Merlin de Douai
   56.7 km   Sla linksaf naar Rue de la Cloris
   56.7 km   Weg vervolgen naar Rue des Foulons (follow 2.6 km)
   59.3 km   Sla rechtsaf om op Quai Danton te blijven
   59.9 km   Weg vervolgen naar Rue Albert Delplanque
  ★ 60.8 km  [dock/stay] Mooring Douai
