HAVRINCOURT - DOUAI    46.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Écluse 7
    1.4 km   Sla rechtsaf
    1.5 km   Turn left onto D 15 (follow 1.7 km)
    3.2 km   Turn left onto C 406 (follow 2.2 km)
    5.4 km   Keep left onto Rue du Calvaire
    5.4 km   Turn left onto Rue d'Inchy (follow 3.9 km)
    9.3 km   Turn left onto D 15 (follow 4.7 km)
   14.1 km   Turn left onto D 15
   14.1 km   Turn right onto Rue Gueulette (follow 3.0 km)
   17.1 km   Turn right onto Rue Antoine Déquéant
   17.4 km   Turn left onto Rue Carolus Mollet
   17.5 km   Turn left onto Rue du Château
   17.8 km   Turn left onto Rue Louis Gilleron
   18.0 km   Turn right onto Rue Eugène Momal (follow 1.7 km)
   19.7 km   Turn right
   19.8 km   Turn left
   19.8 km   Turn right (follow 1.1 km)
   21.0 km   Turn left
   21.7 km   Turn right onto Rue de la Poste
   22.0 km   Continue onto Place du Monument
   22.1 km   Turn right onto Rue Georges Lefebvre
   22.1 km   At roundabout, take exit 1 onto Rue Fily
  ★ 22.2 km  [note] Smokes Garlic
   22.9 km   Turn slight left onto Rue Andre Joseph Le Glay
   23.3 km   At roundabout, take exit 3 onto Avenue de la Gare (follow 2.9 km)
   26.2 km   Turn right onto Rue du Puits à Razettes
   26.2 km   Turn left onto Rue du Puits à Razettes
   26.5 km   Turn left onto Rue de Cambrai
   26.5 km   Turn right onto Rue de Villers
   26.5 km   Continue onto Rue d'Erchin
   27.1 km   Turn left
   27.7 km   Turn sharp right onto D 135
   27.7 km   Turn right
   27.9 km   Turn slight left onto Rue Fernand Savary (follow 1.4 km)
   29.4 km   Turn right onto Rue Léon Rincheval (follow 1.8 km)
   31.1 km   Turn left onto Rue de la Mairie (follow 1.5 km)
   32.6 km   Keep right onto Rue d'Erchin
   32.7 km   Turn right
   32.8 km   Turn slight left
  ★ 32.8 km  [note] Mine Museum
   33.0 km   Turn right onto Rue d'Erchin
   33.8 km   Continue onto Rue de Monchecourt
   34.3 km   Turn slight right onto Rue de Roucourt
   34.4 km   Turn left onto Rue Pasteur
   35.0 km   At roundabout, take exit 3 onto Boulevard Ambroise Croizat (follow 1.1 km)
   36.1 km   Keep right onto Rue Jean Jaurès
   36.2 km   At roundabout, take exit 5 onto Rue Paul Éluard
   36.8 km   At roundabout, take exit 2
   36.9 km   Turn left
   37.5 km   Turn left onto Rue de la République
   37.5 km   Turn right onto Rue Pasteur
   38.0 km   At roundabout, take exit 1 onto Rue Francisco Ferrer
   38.4 km   Turn right onto Rue Maurice Mahieu
   38.8 km   At roundabout, take exit 3 onto Rue Henri Lemette
   39.3 km   Keep right onto Rue de Verdun
   39.6 km   At roundabout, take exit 2 onto Rue de Douai (follow 1.1 km)
   40.7 km   Keep right onto Rue des Frères Martel
   40.9 km   At roundabout, take exit 1 onto Rue de Sin-le-Noble
   41.6 km   At roundabout, take exit 5 onto Rue de Valenciennes
   42.1 km   Turn right onto Place d'Armes
  ★ 42.1 km  [note] Center Douai
   42.3 km   Turn left onto Rue Saint-Christophe
   42.4 km   Turn right onto Rue du Clocher Saint-Pierre
   42.6 km   Sla linksaf naar Rue Merlin de Douai
   42.7 km   Sla linksaf naar Rue de la Cloris
   42.8 km   Weg vervolgen naar Rue des Foulons (follow 2.6 km)
   45.4 km   Sla rechtsaf om op Quai Danton te blijven
   45.9 km   Weg vervolgen naar Rue Albert Delplanque
  ★ 46.8 km  [dock/stay] Mooring Douai
