HASSFURT - BAMBERG    41.3 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [start] Drop-off Hassfurt
    0.0 km   Turn left
    0.3 km   Turn left onto Tränkberg
    0.4 km   Turn right onto Obere Vorstadt
    0.5 km   Turn left onto Obere Vorstadt
  ★ 0.5 km  [monument] Ritterkapelle
    0.6 km   Turn right onto Heideloffplatz
    1.3 km   Continue onto Augsfelder Straße
    1.6 km   Turn left onto Am Wasserwerk
    1.8 km   Turn right
    2.5 km   Turn right
    2.6 km   Turn right (follow 3.8 km)
    6.4 km   Turn left
    7.0 km   At roundabout, take exit 2 onto Haßfurter Straße
  ★ 7.7 km  [monument] St.Michael church&St.Anna chapel
  ★ 7.7 km  [coffee] m2 Icelounge — Coffee/ice
    7.9 km   Turn right onto Sander Straße and drive toward Sand
  ★ 7.9 km  [see] Zeiler Käpelle — Chapel on a hill top near Zeil am Main
    8.5 km   Keep right onto HAS 14 and drive toward Schweinfurt, Haßfurt
    8.5 km   Turn left
    9.5 km   Turn right onto In der Au
    9.5 km   Turn left onto Seestraße
   10.2 km   Turn right onto Kirchplatz
   10.3 km   Turn left onto Kirchplatz
   10.3 km   Turn right onto Zeiler Straße
   10.4 km   Turn left onto Hauptstraße and drive toward Eltmann, Limbach (follow 2.1 km)
   12.5 km   Continue onto Zur Wallfahrtskirche
  ★ 12.6 km  [monument] Pilgerchurch Maria Limbach
   13.3 km   Turn left onto Am Knok
   14.2 km   Turn right onto Zur Schleuse
   14.3 km   Turn left onto Ringstraße
   14.3 km   Continue onto Schifferweg
   15.1 km   Turn left (follow 1.8 km)
  ★ 16.8 km  [restroom] Public Restroom
   16.8 km   Turn slight left onto Mainlände
   16.8 km   Turn left
   17.2 km   Turn left
   17.6 km   Turn right onto Bamberger Straße
   17.6 km   Turn left (follow 1.4 km)
   19.0 km   Turn slight left onto Hangleite
   19.0 km   Turn right onto Eltmanner Straße (follow 1.5 km)
   20.6 km   Turn right onto HAS 33 (follow 1.5 km)
   22.0 km   Turn right onto Frankenstraße
   22.7 km   Turn right
   23.5 km   Turn slight left
   24.0 km   Turn right (follow 1.7 km)
  ★ 25.1 km  [coffee] Grubert Konditorei
   25.6 km   Turn right onto Birkenallee (follow 1.0 km)
   26.7 km   Turn right onto Hauptstraße
   26.8 km   At roundabout, take exit 1 onto St 2262
   26.9 km   Turn right
   26.9 km   Turn right
   27.0 km   Turn slight left onto Hauptstraße
   27.5 km   Turn left onto Hauptstraße (follow 6.0 km)
   33.5 km   Continue onto Unterer Leinritt (follow 1.8 km)
   35.2 km   Turn slight left onto Am Leinritt
   35.9 km   Turn left onto Am Leinritt
  ★ 36.0 km  [see] Little Venice — On your left hand you see the beautiful houses at the waterfront.
   36.1 km   Turn right
   36.1 km   Turn left onto Sandbad
   36.2 km   Turn right onto Kasernstraße
   36.2 km   Turn left onto Dominikanerstraße
   36.2 km   Turn right onto Ringleinsgasse
   36.3 km   Turn right onto Karolinenstraße
  ★ 36.5 km  [monument] New Palace
  ★ 36.5 km  [monument] Dom Bamberg
  ★ 36.6 km  [monument] Alte Hofhaltung
   36.6 km   Continue onto Obere Karolinenstraße
  ★ 36.6 km  [park] Rosegarden — Overview Bamberg, Cafe, Restrooms
  ★ 36.6 km  [restroom] Alte Hoffhaltung or Rosegarden
   36.9 km   Turn right onto Michelsberger Straße and drive toward am Michelsberg
   37.2 km   Turn right
   37.2 km   Continue onto Michelsberg
   37.3 km   Turn left onto Michelsberg
  ★ 37.3 km  [monument] St.Michaels monastry — Beautiful view overlooking Bamberg with cafe, restroom.
   37.3 km   Turn right onto Michelsberg
   37.4 km   Turn left
   37.5 km   Turn slight left onto Michelsberg
   37.7 km   Turn left onto Obere Karolinenstraße
   38.0 km   Continue onto Domplatz
  ★ 38.4 km  [monument] Cityhal — Famous cityhal in the middle of the river
   38.4 km   Turn right
  ★ 38.5 km  [restroom] Restroom in Tourist Ofiice
   38.5 km   Turn right
   38.5 km   Turn right onto Obstmarkt
  ★ 38.5 km  [see] Bamberg Old City Center — Several cafes and shops
   38.6 km   Keep left onto Am Kranen
   39.4 km   Turn right onto Innere Löwenstraße
   39.8 km   Turn left onto Margaretendamm
   40.5 km   Turn left onto Margaretendamm and drive toward Hafen
   40.8 km   Keep left onto Regnitzstraße
   41.0 km   Turn sharp right
  ★ 41.3 km  [dock/stay] Docking Bamberg
