HELSINGBORG (LOOP)    12.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Helsingborg
    1.5 km   Rechts halten (follow 2.2 km)
  ★ 2.3 km  [note] Palsjöbaden
    3.7 km   Rechts halten
    4.5 km   Rechts abbiegen auf Fårhagevägen
    4.5 km   Rechts abbiegen
  ★ 4.8 km  [bike_parking] bike parking Sofiero
    4.8 km   Dem Straßenverlauf von A folgen
  ★ 4.9 km  [see] Sofiero Castle
    5.0 km   Rechts abbiegen
  ★ 5.0 km  [see] Kulla Windmill
  ★ 5.0 km  [note] Ancient burial mound
    5.0 km   Links halten
    5.3 km   Dem Straßenverlauf folgen (follow 1.1 km)
    6.5 km   Leicht links abbiegen auf Mariehällsvägen
    6.7 km   Leicht links abbiegen auf Mariehällsvägen
    6.7 km   Rechts abbiegen
    7.1 km   Rechts abbiegen
    7.2 km   Links abbiegen auf Gamla Kungshultsvägen
    7.7 km   Rechts halten
    8.2 km   Rechts abbiegen
    8.3 km   Links abbiegen
  ★ 8.4 km  [note] Crematorium
    8.5 km   Rechts abbiegen auf Christer Boijes väg
    8.6 km   Rechts abbiegen
    8.6 km   Links halten
    8.9 km   Links abbiegen
    9.0 km   Links halten
    9.0 km   Links halten
  ★ 9.0 km  [coffee] Pålsjöpaviljongen — Nice place for coffee and ice cream in the forrest
    9.2 km   Links abbiegen
  ★ 9.4 km  [caution] Get off bike lane to main road
    9.4 km   Leicht rechts abbiegen
    9.5 km   Scharf rechts abbiegen auf Dag Hammarskjölds väg
    9.6 km   Links abbiegen
    9.6 km   Links halten
    9.6 km   Rechts abbiegen
  ★ 9.6 km  [note] Pålsjö slott
  ★ 9.7 km  [note] hidden tunnel
    9.9 km   Scharf links abbiegen auf Landborgspromenaden
   10.4 km   Rechts abbiegen auf Dag Hammarskjölds väg
   10.4 km   Links abbiegen
   11.1 km   Dem Straßenverlauf folgen
   11.3 km   Links halten
   11.9 km   Links abbiegen auf Båthusgatan
   12.0 km   Rechts abbiegen
   12.2 km   Links abbiegen auf Henry Dunkers plats
   12.3 km   Scharf rechts abbiegen auf Henry Dunkers plats
   12.5 km   Rechts abbiegen
   12.7 km   Rechts abbiegen auf Brogatan
  ★ 12.7 km  [note] Kärnan
   12.8 km   Links abbiegen
