HEUSDEN - GORINCHEM    23.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring
    0.1 km   Turn right onto Stadshaven
  ★ 0.1 km  [coffee] City centre Heusden
    0.2 km   Turn left onto Drietrompetterstraat
    0.2 km   Turn slight right onto Wijksestraat
    0.3 km   Turn right onto Wijksestraat
    0.4 km   Turn left onto Burchtplein
    0.4 km   Turn slight left onto Burchtplein
    0.5 km   Turn right onto Hertogin Johanna van Brabantstraat
    0.8 km   Turn right onto Garnizoenstraat
    1.3 km   Turn sharp right (follow 1.0 km)
    2.3 km   Turn left onto Grotestraat
    2.6 km   At roundabout, take exit 1 onto Heesbeenseweg
    3.2 km   Turn left
    3.3 km   Keep left onto N267
    4.1 km   Turn left onto De Kromme Nol
    4.3 km   Turn left onto Hoofdstraat (follow 1.4 km)
    5.7 km   Turn right onto Hoofdstraat
    5.7 km   Turn left onto Hoofdstraat
    6.5 km   Turn right onto Kelderstraat
    6.8 km   Turn right onto Kelderstraat
    6.9 km   Turn left onto Parallelweg
    7.0 km   Turn right onto Lange Pad (follow 1.8 km)
    8.8 km   Turn left onto Klaverplak
    8.8 km   Turn right onto Dodesteeg (follow 2.4 km)
   11.2 km   Turn left onto Hoge Maasdijk
   11.4 km   Turn slight left onto Hoge Maasdijk (follow 1.7 km)
   13.1 km   Turn right onto Hoge Maasdijk (follow 1.1 km)
   14.1 km   Turn right onto Maasdijk
   14.2 km   Turn sharp right onto Wilhelminasluis (follow 1.6 km)
   15.8 km   Turn left onto Schouwendijk (follow 4.4 km)
  ★ 19.4 km  [see] Slot Loevenstein
   20.2 km   Continue onto Voet-fietsveer Woudrichem
  ★ 20.2 km  [ferry] Ferry
   20.6 km   Turn right onto Vissersdijk
   20.8 km   Turn right onto Kerkstraat
   20.9 km   Turn right onto Kerkstraat
   21.1 km   Turn left onto Gorinchem - Woudrichem (follow 2.5 km)
  ★ 21.1 km  [ferry] Ferry
  ★ 23.5 km  [dock/stay] Docking Gorinchem 1
   23.6 km   Turn left onto Buiten de Waterpoort
  ★ 23.6 km  [dock/stay] Docking Gorinchem (Fiep)
  ★ 23.6 km  [monument] Grote Kerk st. Jan
  ★ 23.9 km  [dock/stay] Docking Gorinchem 2
