HEUSDEN - LOONSE & DRUNENSE DUINEN - HEUSDEN KORT    38.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [see] Veerpoort
  ★ 0.1 km  [see] Heemtuin De Meulenwerf Heusden — Prachtige heemtuin onderhouden door vrijwilligers.
  ★ 0.1 km  [dock/stay] Ligplaats Heusden Stadshaven
    0.2 km   Turn right onto Nieuwstraat
    0.3 km   Continue onto Stadshaven
  ★ 0.3 km  [bar] Cafés Heusden
  ★ 0.3 km  [see] Molen
    0.3 km   Turn left onto Drietrompetterstraat
    0.4 km   Continue onto Wijksestraat
    0.5 km   Turn left onto Burchtplein
    0.6 km   Turn left onto Burchtplein
    0.6 km   Turn right onto Hertogin Johanna van Brabantstraat
    1.0 km   Continue onto Oudheusdensestraat
    1.0 km   Turn slight right onto Garnizoenstraat
    1.5 km   Turn right onto Vestingstraat
    2.4 km   Turn left onto Polderweg
    2.8 km   Keep right onto Elshoutseweg
    3.1 km   Turn sharp right onto Kooilaan (follow 2.4 km)
    5.5 km   Turn sharp left (follow 3.0 km)
    8.5 km   Continue onto Zeedijk
  ★ 8.5 km  [coffee] Restaurant De Korenmolen Drunen — Café restaurant in een graanmolen
    8.6 km   Turn sharp right onto Eindstraat
    9.0 km   Turn left onto Eindstraat
    9.0 km   Turn right onto Molensteeg
    9.6 km   Turn right onto Overlaatweg (follow 1.0 km)
   10.6 km   Turn left
   11.4 km   Turn right
   12.3 km   Turn left
   12.4 km   Turn left onto Akkerlaan
   13.4 km   Continue onto Burgemeester Smeelelaan
   13.4 km   Turn left onto Wielstraat
   14.4 km   Turn left
   14.4 km   Turn left onto van Haestrechtstraat
   14.4 km   Turn right onto Waalwijksebaan
   15.1 km   Turn right onto Waalwijksebaan
  ★ 15.8 km  [see] De Efteling Kaatsheuvel
   16.1 km   Turn sharp left (follow 3.3 km)
  ★ 16.7 km  [coffee] De Roestelberg Kaatsheuvel — Café Restaurant. Groot terras, grenzend aan zandvlakte.
  ★ 16.7 km  [coffee] De Roestelberg Kaatsheuvel — Café Restaurant. Groot terras, grenzend aan zandvlakte.
   19.4 km   Turn right
  ★ 19.4 km  [see] Uitkijkpunt Loonse & Drunense Duinen — Mooi uitzicht over de duinen.
   19.5 km   Turn left onto Pelgrimsweg
  ★ 19.6 km  [coffee] Landgoed Bos en Duin Udenhout — Brasserie met groot terras.
   19.7 km   Turn left (follow 2.8 km)
   22.5 km   Continue onto Oude Bosschebaan
  ★ 22.5 km  [bar] De Rustende Jager Udenhout — Café in een mooie oude boerderij voor een hapje en een drankje.
   22.6 km   Turn left (follow 2.2 km)
  ★ 24.6 km  [bar] Café Herberg de Drie Linden Giersbergen — Café met eigen bieren in het mooie plaatsje Giersbergen. Groot terras.
   24.7 km   Keep right onto Duinweg
   24.9 km   Turn left onto Duinweg
   25.0 km   Turn right onto Duinweg (follow 1.1 km)
   26.1 km   Rechtdoor naar knooppunt 71; brug oversteken (follow 2.0 km)
   28.1 km   Neem op de rotonde de derde afslag naar knooppunt 91
   28.2 km   Rechts afslaan
   28.6 km   Rechtdoor verder fietsen
   29.2 km   Rechts afslaan naar knooppunt 92
  ★ 29.2 km  [coffee] Cafés Drunen
   30.0 km   Neem op de rotonde de tweede afslag naar knooppunt 92
   30.1 km   Schuin rechts
   30.6 km   Rechtdoor naar knooppunt 92
   31.0 km   Schuin rechts naar knooppunt 88
   31.7 km   Turn right onto Heusdenseweg (follow 1.6 km)
   33.3 km   Continue onto De Hoeven
   33.4 km   Turn sharp left onto Het Zand
   34.0 km   Turn right onto Het Zand
   34.0 km   Turn left
   34.6 km   Turn left onto Veldweg (follow 1.3 km)
   36.0 km   Turn right onto Hoofdstraat
   36.4 km   Turn left
   36.5 km   Turn slight left
   37.1 km   Turn left
   37.5 km   Turn slight right onto Herptsestraat
   37.7 km   Linksaf naar Putterstraat
   37.8 km   Rechtsaf naar Zustersteeg
   37.9 km   Rechtsaf naar Waterpoort
