HOORN - MONNICKENDAM 39 ENG 2024    37.6 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Keep right onto Veermanskade
    0.2 km   Turn left onto Korenmarkt
    0.3 km   Turn left onto Grote Oost
    0.5 km   Keep left onto Roode Steen
    0.6 km   Turn slight left onto Proostensteeg
    0.6 km   Turn right onto Achterom
    1.1 km   Turn left onto Breed
    1.2 km   Turn right onto Westerdijk (follow 2.4 km)
    3.6 km   Continue onto De Hulk (follow 4.0 km)
    7.6 km   Turn left onto Schardam (follow 6.0 km)
  ★ 10.6 km  [coffee] Mill the Breek - good appelpie!
   13.6 km   Turn sharp right onto Warder (follow 1.1 km)
   14.7 km   Turn left onto Burgemeester C. Kooimanweg
   15.6 km   Turn left onto Klemweg (follow 3.7 km)
   19.3 km   Turn left onto Middelie (follow 1.6 km)
   20.9 km   Keep right onto Zijvend
   21.3 km   Turn left onto Edammerdijkje (follow 1.4 km)
   22.7 km   Turn right onto Edammerdijkje (follow 1.6 km)
   24.3 km   Turn left onto Groot Westerbuiten
   24.5 km   Turn left onto Oosthuizerweg
   24.5 km   Turn right
   24.5 km   Turn slight right onto Lingerzijde
   25.0 km   Continue onto Damplein
  ★ 25.0 km  [note] The Dam
   25.6 km   Turn right onto Oosterkade
   25.7 km   Turn sharp left onto Keetzijde (follow 2.4 km)
  ★ 26.6 km  [note] Sea lock Edam — Historical lock 1828
   28.1 km   Keep left onto Zeedijk (follow 2.5 km)
   30.6 km   Turn right onto Zuideinde
   31.1 km   Turn left onto Hoogedijk (follow 6.2 km)
   37.3 km   Turn left onto Middendam
   37.4 km   Turn left onto Gooische Kaai
   37.5 km   Turn right onto 't Prooyen
