ITHAKA AL ...2025 (TRACED)    26.5 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn right.
    0.2 km   Turn left
    1.0 km   Turn left (follow 1.8 km)
    2.8 km   Turn slight left (follow 1.6 km)
    4.4 km   Turn right
    4.8 km   Turn left onto Διακλάδωση Ανωγής (follow 1.1 km)
    5.9 km   Turn right onto Διακλάδωση Ανωγής (follow 5.0 km)
   10.8 km   Turn right
   11.1 km   Turn right onto Διακλάδωση Ανωγής
   11.2 km   Turn right
   11.2 km   Turn right
   11.4 km   Turn slight left onto Διακλάδωση Ανωγής (follow 6.2 km)
   17.6 km   Turn right onto Διακλάδωση Ανωγής
   18.2 km   Turn right onto Διακλάδωση Ανωγής
   18.7 km   Turn slight left onto Σταυρός - Βαθύ (follow 7.8 km)
   26.5 km   Turn left
   26.5 km   Turn left
