KAMPEN - HARDERWIJK (ÜBER ELBURG)    47.7 km    · signs & notes only ·

DIRECTIONS
    0.3 km   Links abbiegen auf Vispoort
    0.4 km   Rechts abbiegen auf Voorstraat
    0.5 km   Links abbiegen auf Buiten Nieuwstraat
    0.7 km   Dem Straßenverlauf von Broederbrug folgen
  ★ 0.9 km  [see] Broerderpoort — Built in 1465
    1.0 km   Links abbiegen auf Broedersingel
    1.4 km   Rechts abbiegen auf Cellesbroeksweg (follow 2.2 km)
    3.6 km   Links abbiegen auf Zwartendijk
    4.6 km   Scharf rechts abbiegen auf Bovenbroeksweg
    4.8 km   Scharf links abbiegen auf Zwartendijk (follow 1.1 km)
    5.9 km   Rechts halten
    6.1 km   Scharf links abbiegen
    6.2 km   Rechts abbiegen
    6.2 km   Scharf links abbiegen
    6.3 km   Rechts abbiegen auf Nieuwendijk
    6.6 km   Rechts abbiegen (follow 1.2 km)
    7.9 km   Rechts halten
    8.3 km   Rechts halten (follow 1.5 km)
    9.8 km   Links halten
    9.8 km   Links halten
    9.8 km   Links abbiegen
  ★ 9.8 km  [note] Reevesluis Lock
   10.1 km   Links abbiegen auf Gelderse Sluis (follow 1.0 km)
   11.1 km   Rechts abbiegen auf Buitendijks
   11.2 km   Leicht rechts abbiegen auf Zomerdijk
   11.8 km   Rechts halten auf Zomerdijk (follow 2.7 km)
   14.4 km   Rechts halten auf Zomerdijk (follow 1.1 km)
   15.5 km   Dem Straßenverlauf von Zomerdijk folgen (follow 1.3 km)
   16.8 km   Rechts abbiegen auf Kamperdijk (follow 1.9 km)
   18.7 km   Rechts halten auf Kamperweg
   19.0 km   Leicht links abbiegen auf Kamperweg
   19.3 km   Rechts abbiegen auf De Knikkermarkt
   19.4 km   Links abbiegen auf Beekstraat
  ★ 19.4 km  [see] Elburg historical centre
   19.7 km   Rechts abbiegen auf Bagijnendijkje
  ★ 19.7 km  [see] Harbour with old fishing boats — Wooden Botter Ships
   20.2 km   Links abbiegen auf Flevoweg
   20.9 km   Links abbiegen auf Gerichtenweg (follow 1.2 km)
   22.1 km   Links abbiegen auf Oude Harderwijkerweg
   22.8 km   Links abbiegen auf Broekdijk
   22.8 km   Rechts abbiegen auf Stadsweg
   22.8 km   Rechts abbiegen auf Stadsweg
   22.8 km   Rechts abbiegen auf Huisdijk (follow 1.6 km)
  ★ 22.8 km  [see] A. Vogel Gardens — Famous herb garden (free entrance)
   24.4 km   Links abbiegen auf Oude Harderwijkerweg
   24.7 km   Links abbiegen auf Zuiderzeestraatweg West
   25.1 km   Rechts halten auf Zuiderzeestraatweg West (follow 1.5 km)
   26.6 km   Rechts abbiegen auf Mezenbergerweg (follow 2.4 km)
  ★ 27.7 km  [see] Cheesefarm Van Zeeburg
   29.0 km   Links abbiegen auf Molenweg
  ★ 29.0 km  [coffee] Farm Bonestroo — Ice cream, coffee, etc. Free visit to farm. Milking at 13.00 h
   29.8 km   Rechts abbiegen auf Kolmansweg (follow 2.9 km)
  ★ 29.8 km  [coffee] Grainmill de Duif — Small farm grocery, coffee to go, in summer small terrace
   32.7 km   Rechts abbiegen auf Hoge Bijsselse-Pad
   33.1 km   Links abbiegen auf Randmeerweg (follow 2.3 km)
  ★ 33.3 km  [swimming] Beach
  ★ 33.3 km  [rest_stop] Good place for lunch stop
   35.4 km   Rechts abbiegen auf Varelseweg (follow 3.5 km)
   39.0 km   Rechts abbiegen auf Mheenbroekweg (follow 1.3 km)
   40.3 km   Links abbiegen auf Ooster Mheenpad (follow 1.8 km)
   42.0 km   Rechts abbiegen auf Archimedesstraat
   42.0 km   Links abbiegen auf Daltonstraat
   42.2 km   Dem Straßenverlauf von Newtonweg folgen
   42.5 km   Links halten auf Newtonweg
   43.5 km   Rechts abbiegen auf Newtonweg
   43.5 km   Scharf links abbiegen auf Spoorpad
   44.1 km   Links abbiegen auf Spoorpad
   44.1 km   Rechts halten auf Flevoweg
   44.1 km   Links halten auf Burgemeester De Meesterstraat
   44.1 km   Links abbiegen auf Burgemeester De Meesterstraat
   44.3 km   Leicht links abbiegen auf Burgemeester De Meesterstraat
  ★ 44.5 km  [see] Grainmill De Hoop (free entrance)
   44.6 km   Rechts abbiegen auf Havendam
   45.0 km   Leicht rechts abbiegen auf Havendam
   45.0 km   Rechts halten auf Strandboulevard Oost
   45.0 km   Scharf links abbiegen auf Strandboulevard Oost
  ★ 45.2 km  [food] Fish restaurant
   45.3 km   Scharf links abbiegen auf Vischmarkt
  ★ 45.3 km  [swimming] Beach Harderwijk
  ★ 45.3 km  [see] Vispoort
   45.4 km   Rechts abbiegen auf Vischmarkt
   45.4 km   Links abbiegen auf Hoogstraat
  ★ 45.4 km  [see] Harderwijk city centre
   45.7 km   Links abbiegen auf Scheepssingel
   46.2 km   Leicht rechts abbiegen auf Burgemeester De Meesterstraat (follow 1.1 km)
  ★ 46.6 km  [see] Eel museum and smoke house
   47.3 km   Links abbiegen auf Einsteinstraat
   47.6 km   Rechts abbiegen auf Lorentzkade
  ★ 47.7 km  [dock/stay] Docking Harderwijk
