KAMPEN - HATTEM (LOOP)    54.1 km    · signs & notes only ·

DIRECTIONS
  ★ 0.1 km  [dock/stay] Kampen Mooring IJsselkade
    0.4 km   Rechtsaf naar Koornmarktpoort
    0.6 km   Rechtsaf naar Hofstraat
    0.8 km   Linksaf naar Burgwalstraat
    0.8 km   Rechtsaf naar Boven Nieuwstraat
    1.1 km   Rechtsaf naar Broederstraat
    1.1 km   Houd links aan naar Buiten Nieuwstraat
    1.1 km   Turn right onto Gasthuisstraat
    1.3 km   Turn left onto Vispoort
    1.3 km   Keep right onto IJsselbrug
    1.6 km   Turn slight right onto Stationsplein
    2.3 km   Make a U-turn onto Burgemeester van Engelenweg
    2.9 km   Turn right onto Burgemeester van Engelenweg
    3.1 km   Turn sharp left onto Zwolseweg
    4.0 km   Keep right onto Uiterwijkseweg
    4.5 km   Turn slight right onto IJsseldijk (follow 1.9 km)
    6.3 km   Turn slight right onto Uiterwijkseweg (follow 1.1 km)
    7.4 km   Turn slight right onto Dorpsweg (follow 2.1 km)
    9.5 km   Continue onto Harsenhorsterweg (follow 2.3 km)
   11.8 km   Keep right onto Veecaterdijk
   12.5 km   Turn sharp right onto Veecaterdijk
   12.5 km   Houd rechts aan naar Zalker voetveer (follow 1.3 km)
   13.8 km   Rechtsaf naar van Dijksweg
   14.1 km   Linksaf naar Brinkweg
   14.3 km   Houd rechts aan naar Kerkplein
   14.4 km   Rechtsaf naar Zalkerdijk (follow 4.4 km)
   18.8 km   Rechtsaf naar Geldersedijk
   18.8 km   Linksaf naar Geldersedijk (follow 1.1 km)
   19.9 km   Blijf op Geldersedijk (follow 1.3 km)
   21.2 km   Rechtsaf naar Geldersedijk
   21.4 km   Houd rechts aan naar Geldersedijk
   21.4 km   Rechtsaf naar Noordwal
  ★ 21.4 km  [coffee] Coffee — Savor artisanal brews crafted from locally sourced beans.
   21.6 km   Rechtsaf naar Dorpsweg
   21.8 km   Rechtsaf naar Stadslaan
   21.9 km   Blijf op Stadslaan
   22.1 km   Linksaf naar Stationslaan
   22.1 km   Linksaf naar Roseboomspoor
   22.4 km   Rechtsaf
   22.4 km   Linksaf naar Verlengde Parklaan
   22.5 km   Rechtsaf naar Eijerdijk
   22.8 km   Blijf op Hollewand
   23.3 km   Rechtsaf
   23.3 km   Linksaf naar Geldersedijk
   23.9 km   Blijf op Geldersedijk
   24.1 km   Rechtsaf naar Gapersweg
   24.7 km   Houd rechts aan naar Weerdpad (follow 1.7 km)
   26.4 km   Rechtsaf naar Schellerdijk
   27.1 km   Houd rechts aan naar Schellerdijk
   27.2 km   Ga linksaf naar Schellerenkweg
   27.3 km   Rechtsaf naar Schellerenkweg (follow 1.7 km)
   29.0 km   Turn sharp right onto Schellerweg
   29.2 km   Keep right onto Van Karnebeekpad
   29.7 km   Turn left onto Van Karnebeekstraat
   29.8 km   Turn left onto Van Karnebeekstraat
   29.8 km   Turn right onto Oosterlaan
   30.2 km   Turn right onto Stationsweg
   30.4 km   Turn left onto Burgemeester van Roijensingel
   30.7 km   Turn right onto Nieuwe Havenbrug
   30.8 km   Keep right onto Luttekestraat
   31.0 km   Turn left onto Grote Markt
   31.0 km   Turn left onto Grote Markt
   31.3 km   Turn right onto Rodetorenplein
   31.3 km   Turn left onto Rodetorenbrug
   31.5 km   Turn sharp right onto Pannekoekendijk
   32.3 km   Keep right onto Industrieweg
   32.3 km   Turn sharp left onto Industrieweg
   32.5 km   Houd rechts aan naar Industrieweg
   32.5 km   Linksaf naar Obrechtstraat
   33.0 km   Linksaf naar Holtenbroekerdijk
   33.1 km   Houd rechts aan naar Holtenbroekerdijk
   33.3 km   Linksaf naar Twistvlietweg
   33.9 km   Rechtsaf naar Twistvlietpad
   33.9 km   Blijf op Twistvlietpad (follow 3.0 km)
   37.0 km   Rechtsaf naar Oude Wetering
   37.0 km   Houd rechts aan naar Oude Wetering (follow 3.1 km)
   40.1 km   Linksaf naar Kerkwetering
   40.1 km   Linksaf naar Kerk Wetering (follow 2.2 km)
   42.3 km   Linksaf naar Bisschopswetering
   42.4 km   Rechtsaf naar Bisschopswetering (follow 2.6 km)
   45.0 km   Rechtsaf naar Sonnenbergweg
   45.5 km   Blijf op Oosterholtseweg
   46.0 km   Houd links aan naar Oosterholtseweg
   46.6 km   Houd rechts aan naar Oosterholtseweg
   46.7 km   Linksaf naar Oosterlandenweg
   46.7 km   Rechtsaf naar Oosterholtseweg
   47.2 km   Linksaf naar Burgemeester van Engelenweg
   48.0 km   Rechtsaf naar Burgemeester van Engelenweg
   48.1 km   Houd rechts aan naar IJsselbrug
   48.4 km   Linksaf naar IJsselkade
   48.9 km   Turn sharp right onto IJsselbrug
   49.2 km   Turn slight right onto Stationsplein
   50.1 km   Turn right onto Oosterholtseweg
   50.6 km   Turn right onto Oosterholtseweg
   50.6 km   Turn left onto Oosterholtseweg
   50.7 km   Turn right onto Oosterholtseweg
   51.3 km   Turn right onto Veilingweg
   51.3 km   Turn left onto Oosterholtseweg
   51.3 km   Turn right onto Oosterholtseweg
   51.8 km   Turn slight right onto Sonnenbergweg
   52.3 km   Turn left onto Kamper Wetering
   53.1 km   Turn right onto Bosjessteeg
