KAMPEN IJSEL LOOP    27.6 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Ga rechtsaf naar IJsselkade
    0.6 km   Linksaf
    0.9 km   Rechtsaf naar Zwolseweg
    1.2 km   Houd rechts aan naar Zwolseweg
    1.8 km   Houd rechts aan naar Uiterwijkseweg
    2.3 km   Blijf op IJsseldijk (follow 1.9 km)
    4.1 km   Houd rechts aan naar Uiterwijkseweg
    5.1 km   Houd rechts aan naar Uiterwijkseweg
    5.2 km   Houd rechts aan naar Dorpsweg (follow 1.9 km)
    7.1 km   Blijf op Dorpsweg (follow 2.5 km)
    9.6 km   Houd rechts aan naar Veecaterdijk
   10.3 km   Houd rechts aan naar Zalker voetveer
   10.3 km   Rechtsaf naar Zalker voetveer
   10.5 km   Leave ferry and houd rechts aan naar Veerpad (follow 1.3 km)
   11.8 km   Rechtsaf naar Brinkweg
   12.7 km   Houd links aan naar Zalkerdijk (follow 3.2 km)
   15.9 km   Blijf op de Zande
   16.5 km   Linksaf naar de Zande
   16.6 km   Rechtsaf naar Kamperstraatweg (follow 1.6 km)
   18.1 km   Blijf op Kamperstraatweg
   18.3 km   Linksaf
   18.4 km   Houd rechts aan (follow 1.3 km)
   19.7 km   Houd links aan (follow 1.3 km)
   21.0 km   Houd links aan naar Nieuwendijk
   21.2 km   Rechtsaf naar Nieuwendijk
   21.2 km   Linksaf naar Nieuwendijk
   21.2 km   Rechtsaf
   21.3 km   Ga rechtsaf (follow 1.3 km)
   22.6 km   Ga rechtsaf naar Bovenbroeksweg
   22.8 km   Blijf op Bovenbroeksweg
   22.9 km   Ga linksaf naar Zwartendijk
   23.8 km   Rechtsaf naar Cellesbroeksweg (follow 2.3 km)
   26.1 km   Rechtsaf
   26.2 km   Houd rechts aan naar Cellebroedersweg
   26.3 km   Linksaf naar Burgwal
   26.7 km   Rechtsaf naar Broederstraat
   26.8 km   Houd links aan naar Buiten Nieuwstraat
   26.8 km   Rechtsaf naar Torenstraat
   26.9 km   Linksaf naar Oudestraat
   26.9 km   Ga rechtsaf naar Voorstraat
   27.0 km   Houd links aan
   27.2 km   Linksaf naar Lampetpoort
   27.5 km   Ga linksaf
