KARLSTADT - WÜRZBURG -    30.4 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [start] Drop off Karlstadt
    0.0 km   Rechts abbiegen
    0.2 km   Leicht rechts abbiegen auf Mainpromenade
    0.2 km   Dem Straßenverlauf folgen
  ★ 0.2 km  [note] Karlstadt Old City Centre
  ★ 0.2 km  [see] Old tower part of Fortification
    0.5 km   Links abbiegen auf Baggertsweg
    0.7 km   Links abbiegen auf Obere Torstraße, St 2435
  ★ 0.8 km  [see] Old City Hall
    1.2 km   Scharf rechts abbiegen
    1.3 km   Rechts abbiegen
    1.3 km   Rechts halten
    2.2 km   Links halten
    2.4 km   Links abbiegen
    2.8 km   Links abbiegen auf Bandwörthstraße
    3.0 km   Leicht links abbiegen
    3.4 km   Leicht links abbiegen
    3.6 km   Dem Straßenverlauf folgen (follow 3.2 km)
    6.7 km   Links abbiegen
    7.2 km   Links abbiegen
    7.2 km   Rechts halten
    7.4 km   Leicht links abbiegen (follow 3.2 km)
   10.6 km   Leicht links abbiegen auf Mainau
  ★ 10.8 km  [coffee] Café Bistro
   11.2 km   Links halten
   11.5 km   Links abbiegen auf Badstraße
   11.7 km   Rechts abbiegen auf Badstraße
   11.8 km   Links abbiegen auf Gassenwiese
   12.0 km   Rechts halten (follow 4.7 km)
   16.7 km   Rechts abbiegen
   16.7 km   Links abbiegen (follow 2.0 km)
   18.7 km   Dem Straßenverlauf von Leo-Kuchenbrod-Weg folgen
   19.2 km   Rechts abbiegen
   19.2 km   Links abbiegen auf Mainstraße
   19.6 km   Rechts halten auf Zur Mainfähre
   19.8 km   Scharf rechts abbiegen auf Fahrweg
  ★ 19.8 km  [coffee] Dela Suerte
   19.9 km   Links abbiegen auf Am Sportplatz (follow 6.1 km)
   26.1 km   Scharf rechts abbiegen
   26.2 km   Scharf links abbiegen
   26.9 km   Rechts halten
   27.1 km   Links halten
   27.2 km   Links halten
   27.3 km   Leicht links abbiegen
   27.3 km   Leicht rechts abbiegen
   27.4 km   Links halten
   27.4 km   Scharf links abbiegen
   27.4 km   Rechts abbiegen auf Leonhard-Frank-Promenade
   28.0 km   Rechts abbiegen
   28.1 km   Rechts abbiegen auf Saalgasse
  ★ 28.1 km  [see] Marienburg Fortress
   28.2 km   Rechts abbiegen auf Alte Mainbrücke
  ★ 28.3 km  [see] Old Main Bridge
  ★ 28.4 km  [bike_parking] Option for bicycle parking, stroll through town.
   28.4 km   Leicht rechts abbiegen auf Beim Grafeneckart
   28.4 km   Dem Straßenverlauf von Beim Grafeneckart folgen
  ★ 28.5 km  [note] Market Square
  ★ 28.5 km  [bar] Cafes and Restaurants
   28.6 km   Links abbiegen auf Kürschnerhof
  ★ 28.6 km  [see] Residenz Palace
   28.7 km   Links halten auf Marktplatz
   29.1 km   Links abbiegen auf Juliuspromenade
   29.1 km   Dem Straßenverlauf von Koellikerstraße folgen
   29.5 km   Links abbiegen
   29.7 km   Rechts abbiegen
   29.7 km   Rechts abbiegen auf Veitshöchheimer Straße, B 27
   30.2 km   Links abbiegen
   30.4 km   Links halten
  ★ 30.4 km  [dock/stay] Docking Würzburg
