KEUKENHOF - BEVERWIJK    34.2 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Rechts halten
    0.1 km   Rechts abbiegen auf Stationsweg
    0.2 km   Scharf links abbiegen auf Loosterweg Noord (follow 3.5 km)
    3.7 km   Rechts abbiegen auf Leidsestraat
    3.8 km   Links abbiegen auf Olympiaweg
    3.8 km   Rechts abbiegen auf Leidsestraat
    3.9 km   Links halten auf Hoofdstraat
    3.9 km   Rechts halten auf Van den Endelaan
    4.2 km   Links abbiegen auf Beekkade (follow 1.0 km)
    5.2 km   Rechts abbiegen auf 3e Loosterweg
    5.2 km   Rechts halten auf 3e Loosterweg
    5.3 km   Links abbiegen
    5.3 km   Rechts halten auf Beeklaan
    5.9 km   Rechts abbiegen auf Noorder Leidsevaart (follow 2.0 km)
    7.9 km   Links abbiegen auf Margrietenlaan
    7.9 km   Rechts abbiegen auf Bartenweg
    7.9 km   Links abbiegen auf Bartenweg, N206 (follow 1.2 km)
    9.1 km   Rechts abbiegen auf Vogelenzangseweg (follow 1.6 km)
   10.7 km   Rechts abbiegen auf Vogelenzangseweg
   11.5 km   Rechts halten auf Vogelenzangseweg (follow 2.0 km)
   13.6 km   Links abbiegen
   13.6 km   Rechts abbiegen auf Boekenroodeweg
   13.8 km   Rechts abbiegen
   13.8 km   Links abbiegen auf Boekenroodeweg
   14.0 km   Links abbiegen
   14.1 km   Rechts abbiegen auf Oosterduinweg (follow 1.8 km)
   15.9 km   Turn slight right onto Elswoutslaan (follow 1.1 km)
   17.0 km   Turn left onto Duinlustweg
   17.9 km   Turn right
   18.2 km   Turn left
   18.3 km   Turn left onto Zeeweg
   18.7 km   Turn right (follow 3.2 km)
   21.9 km   Turn right
   22.3 km   Turn slight right onto Bergweg
   22.4 km   Turn sharp left onto Bergweg (follow 1.6 km)
   24.0 km   Turn left onto Middenduinerweg
   24.4 km   Turn left onto Duin- en Kruidbergerweg
   24.9 km   Keep right onto Kennemergaardeweg
   25.1 km   Turn left onto Duin- en Kruidbergerweg
   25.2 km   Turn right onto 't Princenboschpad (follow 2.0 km)
   27.2 km   Turn right onto Zeeweg
   27.2 km   At roundabout, take exit 2 onto Minister van Houtenlaan
   27.8 km   Turn right onto Ver Loren van Themaatlaan
   28.2 km   Turn sharp left
   28.6 km   Turn left
   28.8 km   Dem Straßenverlauf von Velserbeek folgen
   28.9 km   Rechts halten auf Van Tuyllweg
   29.0 km   Leicht links abbiegen auf Doctor Kuyperlaan
   29.3 km   Rechts abbiegen auf Minister van Houtenlaan
   29.4 km   Links halten
   29.5 km   Links halten
   29.6 km   Rechts abbiegen auf Pontplein
   30.0 km   Rechts abbiegen auf Pontweg
   30.8 km   Links abbiegen auf Grote Hout- of Koningsweg
   31.2 km   Rechts halten auf Grote Hout- of Koningsweg
   31.2 km   Links abbiegen auf Grote Hout- of Koningsweg
   31.3 km   Rechts halten auf Breedbandweg
   31.4 km   Rechts abbiegen auf Wenckebachstraat
   32.0 km   Rechts abbiegen auf Holland op zijn smalst
   32.4 km   Links abbiegen auf Velserweg
   32.6 km   Dem Straßenverlauf von Halve Maan folgen
   33.2 km   Rechts halten auf Viaductweg
   33.4 km   Links abbiegen auf Viaductweg
   33.4 km   Links abbiegen auf Parallelweg
   33.5 km   Rechts abbiegen auf Havenstraat
