KOBLENZ (SCHLEIFE)    22.3 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Rechts abbiegen auf Peter-Altmeier-Ufer
    0.1 km   Links abbiegen auf Kornpfortstraße
  ★ 0.1 km  [dock/stay] Mooring Koblenz
    0.2 km   Rechts abbiegen auf Auf der Danne
  ★ 0.2 km  [see] Old town
    0.6 km   Rechts abbiegen auf An der Moselbrücke
    1.1 km   Rechts halten
    1.1 km   Leicht rechts abbiegen auf Gartenstraße, K 1
    1.3 km   Rechts abbiegen auf Brenderweg
    1.5 km   Rechts abbiegen auf Straßburger Straße
    1.6 km   Scharf links abbiegen auf Neuendorfer Straße
    1.7 km   Rechts abbiegen auf Neuendorfer Straße
    1.8 km   Rechts abbiegen auf Schartwiesenweg (follow 1.7 km)
    3.5 km   Links abbiegen auf Jakobstraße
    3.6 km   Rechts abbiegen auf Hochstraße
    4.3 km   Rechts abbiegen auf St.-Bernhard-Straße
    4.7 km   Rechts halten (follow 1.6 km)
    6.4 km   Leicht rechts abbiegen auf Carl-Spaeter-Straße
    6.4 km   Links abbiegen auf Hintermark
    6.5 km   Rechts abbiegen
    6.6 km   Rechts halten (follow 1.5 km)
    8.1 km   Rechts halten
    8.7 km   Links halten
    8.8 km   Rechts abbiegen auf Kesselheimer Straße, L 126
    8.9 km   Links abbiegen auf Brückenstraße
    9.1 km   Links abbiegen auf Koblenzer Straße (follow 1.2 km)
   10.2 km   Links abbiegen auf Eisenbahnstraße
   11.0 km   Rechts halten (follow 1.4 km)
   12.5 km   Rechts abbiegen auf Rheinstraße, B 42
   12.9 km   Im Kreisverkehr Ausfahrt 2 auf Rheinstraße, B 42 nehmen
   13.3 km   Rechts halten auf Rheinwerft
   13.3 km   Links abbiegen
   13.4 km   Rechts abbiegen auf Rheinufer
   13.6 km   Links abbiegen auf Rheinufer
   13.6 km   Leicht rechts abbiegen
   13.7 km   Rechts abbiegen auf Leinpfad
   14.3 km   Rechts abbiegen (follow 4.1 km)
  ★ 16.9 km  [see] Festung Ehrenbreitstein
  ★ 18.0 km  [see] Rheinburg
   18.4 km   Rechts abbiegen auf Emser Straße
   18.9 km   Rechts abbiegen
   18.9 km   Links abbiegen
   18.9 km   Scharf links abbiegen
   19.6 km   Rechts abbiegen
   19.7 km   Leicht rechts abbiegen
   19.9 km   Links abbiegen auf Rizzastraße
   19.9 km   Rechts halten auf Südallee
   20.0 km   Rechts abbiegen auf Casinostraße
   20.3 km   Rechts abbiegen auf Schloßstraße
   20.5 km   Links abbiegen
   20.7 km   Rechts abbiegen auf Stresemannstraße
   21.0 km   Links halten auf Konrad-Adenauer-Ufer
   21.3 km   Rechts abbiegen auf Konrad-Adenauer-Ufer
   21.3 km   Links abbiegen auf Konrad-Adenauer-Ufer
   21.6 km   Rechts halten auf Konrad-Adenauer-Ufer
   21.7 km   Links abbiegen auf Konrad-Adenauer-Ufer
   21.7 km   Dem Straßenverlauf von Am Deutschen Eck folgen
  ★ 21.8 km  [see] Deutsches Eck
   21.9 km   Links halten auf Peter-Altmeier-Ufer
