KÖNIGSWINTER - ANDERNACH    33.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [note] Königswinter
    0.2 km   Keep right (follow 1.1 km)
    1.3 km   Turn left
    1.4 km   Turn right onto Zum Steinchen
    1.8 km   Turn slight right onto Karl-Broel-Straße
    2.3 km   Turn left (follow 1.2 km)
    3.5 km   Turn right
    3.5 km   Turn right
    3.5 km   Turn slight left onto Rheinpromenade
    3.9 km   Turn right onto Lohfelder Straße
    4.4 km   Turn right
    4.9 km   Turn left onto Rheinstraße
    5.1 km   Turn right onto Lohfelder Straße
    5.6 km   Turn right onto Lohfelder Straße (follow 2.5 km)
    8.0 km   Turn right onto Siebengebirgsstraße
    8.5 km   Turn right onto Bahnhofstraße
    8.7 km   Turn slight right onto Bahnhofstraße
    8.7 km   Continue onto Frankfurter Straße
    8.9 km   Turn slight right onto Frankfurter Straße
    9.0 km   Turn slight left onto Frankfurter Straße
    9.0 km   Turn right onto Lehngasse
    9.1 km   Turn right onto St. Pantaleonstraße
    9.2 km   Turn left onto Am Turm
    9.3 km   Keep left onto Nachtigallenweg
    9.5 km   Continue onto Auf dem Rheinbüchel
   10.3 km   Turn right onto Backesweg
   10.3 km   Turn left
   10.4 km   Turn left (follow 1.2 km)
   11.6 km   Turn left
   11.6 km   Turn right onto Rheinallee
   11.9 km   Turn right
   12.0 km   Attention, take ferry (Rheinfähre Erpel-Remagen)
   12.3 km   Leave ferry and turn slight left
   12.3 km   Turn left onto Rheinpromenade (follow 4.4 km)
   16.6 km   Turn left (follow 6.6 km)
   23.2 km   Turn slight right onto L 87
   23.3 km   Turn left
   23.3 km   Turn right
   23.6 km   Turn left onto Artilleriestraße (follow 1.4 km)
   25.0 km   Turn left
   25.2 km   Turn right onto Koblenzer Straße (follow 8.0 km)
   33.2 km   Turn right
   33.3 km   Turn left
   33.4 km   Turn left onto Charles Bukowski Ufer
