KØGE - COPENHAGEN KASTELLET 59.3KM DEU 2024    59.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.1 km  [dock/stay] Pick up Nordre Kajgade
    0.2 km   Rechts abbiegen
    0.4 km   Scharf rechts
    0.4 km   Links abbiegen
    0.5 km   Rechts abbiegen
    1.0 km   Am Kreisverkehr nehmen Sie die Ausfahrt 1
    1.0 km   Links abbiegen
    1.1 km   Rechts abbiegen
    1.3 km   Links abbiegen
    1.3 km   Geradeaus weiterfahren (follow 4.4 km)
    5.7 km   Links abbiegen
    5.7 km   Links abbiegen (follow 1.1 km)
    6.9 km   Links abbiegen (follow 1.0 km)
    7.9 km   Rechts abbiegen (follow 1.2 km)
    9.1 km   Geradeaus weiterfahren
    9.5 km   Links abbiegen
    9.9 km   Rechts abbiegen
   10.3 km   Geradeaus weiterfahren
   10.6 km   Links abbiegen (follow 1.1 km)
   11.6 km   Strasse überqueren, Links abbiegen (follow 1.3 km)
   12.9 km   Rechts abbiegen
   13.1 km   Geradeaus weiterfahren
   13.9 km   Rechts abbiegen
   14.2 km   Links abbiegen
   14.3 km   Schräg rechts
   15.2 km   Rechts abbiegen
   15.3 km   Rechts abbiegen
   15.5 km   Rechts abbiegen
   15.5 km   Rechts abbiegen
   15.8 km   Links abbiegen
   15.8 km   Rechts abbiegen (follow 3.0 km)
   18.8 km   Schräg rechts
   18.9 km   Schräg links (follow 2.2 km)
   21.1 km   Schräg rechts
   21.5 km   Rechts abbiegen
   22.3 km   Rechts abbiegen
   22.8 km   Links abbiegen, Strasse überqueren (follow 2.1 km)
   24.8 km   Am Kreisverkehr nehmen Sie die Ausfahrt 4 (follow 6.7 km)
  ★ 25.2 km  [coffee] Coffee
   31.6 km   Schräg rechts
   31.6 km   Rechts abbiegen
   31.9 km   Links abbiegen
   32.5 km   Schräg rechts
   33.4 km   Geradeaus; Strasse überqueren
   33.4 km   Rechts abbiegen
   33.8 km   Links abbiegen
   34.0 km   Links abbiegen (follow 1.7 km)
   35.8 km   Schräg links
   35.9 km   Schräg rechts
   36.1 km   Links abbiegen
   36.3 km   Schräg rechts
   36.6 km   Schräg rechts
   36.6 km   Rechts abbiegen, Strasse überqueren
   36.7 km   Geradeaus weiterfahren (follow 1.5 km)
   38.1 km   Rechts abbiegen
   38.3 km   Geradeaus weiterfahrent; Strasse überqueren auf Radweg
   38.4 km   Schräg rechts (follow 2.7 km)
   41.2 km   Schräg links
   41.4 km   Schräg links
   41.6 km   Rechts abbiegen
   41.7 km   Schräg rechts
   41.8 km   Schräg rechts
   42.3 km   Rechts abbiegen
   42.6 km   Rechts abbiegen
   43.4 km   Geradeaus; Strasse überqueren (follow 1.8 km)
   45.2 km   Rechts abbiegen
   45.4 km   Links abbiegen
   45.7 km   Schräg links
   46.0 km   Schräg rechts
   46.6 km   Scharf rechts
   46.9 km   Scharf rechts (follow 3.6 km)
   50.5 km   Schräg rechts
   50.9 km   Links abbiegen
   51.0 km   Rechts abbiegen
   51.1 km   Links abbiegen
   51.4 km   Schräg links
   51.8 km   Geradeaus weiterfahren
   52.5 km   Links abbiegen
   52.6 km   Links abbiegen (follow 2.1 km)
   54.8 km   Links abbiegen, Brücke überqueren
   55.0 km   Rechts abbiegen
   55.9 km   Rechts abbiegen
   56.3 km   Geradeaus; Brücke überqueren
  ★ 57.0 km  [dock/stay] Mooring Amaliehaven
   57.2 km   Rechts abbiegen
   57.4 km   Scharf links
   57.6 km   Rechts abbiegen
   58.2 km   Rechts abbiegen
   58.7 km   Rechts abbiegen
   59.0 km   Am Kreisverkehr nehmen Sie die Ausfahrt 2 auf die Langelinie Allé
   59.1 km   Schräg rechts , Ende der Radtour
