KØGE - VIKING MUSEUM & VALLO (SCHLEIFE)    35.5 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Links abbiegen auf Carlsensvej
    0.4 km   Links abbiegen auf Toldbodvej
  ★ 0.8 km  [note] Køge mini-by  museum
    0.9 km   Rechts abbiegen auf Søndre Viaduktvej
    1.7 km   Links abbiegen auf Egøjevej
    2.2 km   Links abbiegen
    2.5 km   Links abbiegen auf Knapmagervej (follow 2.6 km)
    5.1 km   Rechts abbiegen
    5.1 km   Dem Straßenverlauf von Valløvej folgen (follow 3.0 km)
    8.1 km   Rechts abbiegen auf Slotsgade
    8.3 km   Wenden auf Slotsgade
  ★ 8.3 km  [monument] Vallø Castle — Do not ride in park!
    8.4 km   Rechts abbiegen auf Billesøvej
    8.6 km   Rechts abbiegen auf Billesøvej
    8.7 km   Rechts abbiegen auf Billesøvej
    8.9 km   Links abbiegen auf Vedskøllevej (follow 2.1 km)
   10.9 km   Rechts abbiegen auf Højskolevej
  ★ 11.1 km  [coffee] Toftegaard Trivhuscafe — Closed on Mondays
   11.2 km   Rechts abbiegen auf Vedskøllevej
   11.8 km   Links abbiegen
   12.3 km   Links abbiegen
   13.1 km   Links halten
   13.5 km   Rechts abbiegen
   13.6 km   Links abbiegen auf Mellemmarksvej
   13.8 km   Rechts abbiegen
   14.0 km   Links halten
   14.1 km   Rechts halten
   14.1 km   Leicht rechts abbiegen
   14.2 km   Links abbiegen
   15.0 km   Rechts abbiegen
   15.0 km   Scharf links abbiegen
  ★ 15.0 km  [restroom] toilets at gas station
   15.5 km   Links abbiegen auf Søllerupvej (follow 2.9 km)
   18.3 km   Rechts abbiegen auf Nordskovvej
   18.9 km   Scharf links abbiegen auf Lidemarksvej (follow 3.1 km)
   22.0 km   Links abbiegen (follow 1.4 km)
   23.3 km   Links abbiegen auf Lidemarksvej
   23.8 km   Rechts abbiegen auf Banestien, KRB (follow 1.4 km)
   25.2 km   Links abbiegen auf Banestien
   25.7 km   Links abbiegen
   25.8 km   Leicht rechts abbiegen (follow 1.2 km)
   27.0 km   Scharf links abbiegen auf Kastanjevej
   27.0 km   Rechts abbiegen
   27.1 km   Rechts abbiegen
  ★ 27.1 km  [shopping] supermarket
   27.1 km   Leicht rechts abbiegen auf Skovhusvænget
   27.4 km   Rechts halten (follow 2.2 km)
   29.6 km   Rechts abbiegen auf Ringstedvej, 150
   30.3 km   Links abbiegen
  ★ 30.4 km  [see] Vikingeborgen Borgring
   30.5 km   Links abbiegen auf Ringstedvej, 150 (follow 3.7 km)
   34.1 km   Dem Straßenverlauf von Blegdammen folgen
   34.5 km   Links abbiegen
   34.5 km   Rechts abbiegen
   34.7 km   Links abbiegen
   34.8 km   Rechts abbiegen auf Torvet
  ★ 34.8 km  [note] Torvet Square
  ★ 34.8 km  [see] Det gamle Hus - oldest house
   34.9 km   Rechts abbiegen auf Brogade
  ★ 34.9 km  [note] city hall
  ★ 34.9 km  [monument] St. Nicolai church
  ★ 34.9 km  [see] Køge museum
  ★ 34.9 km  [see] KØS museum for kunst
   34.9 km   Links abbiegen
   35.1 km   Links abbiegen auf Bag Haverne
   35.2 km   Rechts halten auf Kulturtorvet
   35.3 km   Rechts abbiegen auf Havnen
   35.4 km   Leicht links abbiegen auf Carlsensvej
   35.5 km   Links abbiegen auf Søndre Kajgade
  ★ 35.5 km  [note] Braunstein Brouwerij
  ★ 35.5 km  [dock/stay] Docking Køge
