KØGE - VIKING MUSEUM & VALLO (LOOP) (CCW)    46.3 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [note] Braunstein Brouwerij
    0.1 km   Rechts abbiegen auf Carlsensvej
    0.1 km   Leicht rechts abbiegen auf Havnen
    0.3 km   Rechts abbiegen auf Østre Banevej
    0.3 km   Rechts abbiegen
    0.3 km   Links abbiegen auf Kulturtorvet
    0.5 km   Leicht links abbiegen auf Brogade
    0.6 km   Rechts abbiegen auf Brogade
    0.6 km   Links abbiegen auf Torvet
  ★ 0.6 km  [note] city hall
  ★ 0.6 km  [see] Køge museum
  ★ 0.6 km  [see] KØS museum for kunst
  ★ 0.7 km  [monument] St. Nicolai church
  ★ 0.7 km  [see] Det gamle Hus - oldest house
  ★ 0.7 km  [note] Torvet Square
    0.7 km   Rechts abbiegen
    0.8 km   Rechts abbiegen
    1.0 km   Links abbiegen
    1.1 km   Rechts abbiegen auf Blegdammen
    1.3 km   Links halten auf Blegdammen
    1.4 km   Dem Straßenverlauf von Ringstedvej folgen (follow 3.7 km)
    5.1 km   Rechts abbiegen
  ★ 5.1 km  [see] Vikingeborgen Borgring
    5.2 km   Rechts abbiegen auf Ringstedvej (follow 2.6 km)
    7.9 km   Links abbiegen auf Skovhusvænget
    8.5 km   Links halten
    8.5 km   Links abbiegen auf Vemmedrupvej
  ★ 8.5 km  [shopping] supermarket
    8.6 km   Rechts abbiegen (follow 1.2 km)
    9.8 km   Leicht links abbiegen
    9.8 km   Rechts abbiegen auf Banestien
   10.3 km   Rechts abbiegen auf Banestien (follow 1.1 km)
   11.4 km   Links halten auf Banestien (follow 2.1 km)
   13.5 km   Rechts abbiegen auf Lidemarksvej (follow 3.1 km)
   16.6 km   Scharf rechts abbiegen auf Nordskovvej
   17.2 km   Links abbiegen auf Tågerødvej (follow 3.3 km)
   20.5 km   Rechts abbiegen auf Vordingborgvej
  ★ 20.5 km  [restroom] toilets at gas station
   20.9 km   Links abbiegen auf Møllebækvej
   21.5 km   Rechts abbiegen
   21.6 km   Links halten
   21.8 km   Links abbiegen auf Mellemmarksvej
   22.0 km   Rechts abbiegen
   22.1 km   Links abbiegen auf Tessebøllevej
   22.1 km   Im Kreisverkehr Ausfahrt 1 nehmen (follow 1.2 km)
   23.3 km   Rechts abbiegen
   23.8 km   Rechts abbiegen auf Vedskøllevej
   24.4 km   Links abbiegen auf Højskolevej
  ★ 24.5 km  [coffee] Toftegaard Trivhuscafe — Closed on Mondays
   24.7 km   Links abbiegen auf Vedskøllevej (follow 2.1 km)
   26.7 km   Rechts abbiegen auf Billesøvej
   27.0 km   Links abbiegen auf Billesøvej
   27.3 km   Links abbiegen auf Slotsgade
  ★ 27.4 km  [monument] Vallø Castle — Do not ride in park!
   27.4 km   Links abbiegen auf Slotsgade (follow 1.5 km)
   28.9 km   Links abbiegen auf Kirkehøjen
   29.0 km   Rechts abbiegen auf Kirkehøjen
   29.2 km   Links halten
   29.2 km   Links abbiegen
   29.5 km   Links halten (follow 1.1 km)
   30.6 km   Rechts abbiegen
   31.2 km   Links abbiegen auf Lendrumvej
   31.9 km   Dem Straßenverlauf folgen
   32.4 km   Rechts abbiegen auf Vindspinderivej
   32.4 km   Links abbiegen auf Vindspinderivej
   32.6 km   Links halten auf Vindspinderivej
   33.6 km   Scharf links abbiegen auf Strandvejen
   34.0 km   Rechts abbiegen auf Kystvejen (follow 6.0 km)
  ★ 35.3 km  [coffee] Cafe Skov & Strand
   40.0 km   Rechts abbiegen auf Stevnsvej (follow 1.3 km)
   41.3 km   Links halten auf Stevnsvej
   41.6 km   Rechts halten auf Stevnsvej
   41.6 km   Rechts abbiegen auf Strandvejen (follow 3.6 km)
   45.3 km   Rechts halten
   45.4 km   Leicht rechts abbiegen auf Strandvejen
  ★ 45.4 km  [note] Køge mini-by  museum
   45.8 km   Rechts abbiegen auf Carlsensvej
   46.0 km   Links abbiegen auf Carlsensvej
   46.2 km   Links abbiegen auf Søndre Kajgade
  ★ 46.3 km  [dock/stay] Docking Køge
