LEFKAS AL (LEFKADA-KARYA-NIDRI)    29.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [food] Restaurant Margarita
    0.1 km   Turn right onto Αλέξανδρου Παναγούλη
    0.2 km   At roundabout, take exit 4 onto Άγγελου Σικελιανού
    0.3 km   Turn sharp right onto Γουλιέλμου Δαίρπφελδ
  ★ 0.3 km  [caution] Pedestrian Area — Walking speed applies in the pedestrian zone!
    0.5 km   Turn left onto Πλατεία Εθνικής Αντιστάσεως
    1.0 km   Continue onto Ευσταθίου Ζάκκα
    1.5 km   Turn left
    1.5 km   Turn slight right onto Λευκάδας - Νυδρίου
    2.1 km   Turn right (follow 1.0 km)
    3.2 km   Turn right onto Λευκάδα - Λαζαράτα (follow 5.0 km)
  ★ 4.7 km  [see] Viewpoint
    8.2 km   Turn right
    8.5 km   Turn left onto Λευκάδα - Λαζαράτα (follow 1.0 km)
    9.5 km   Turn right
    9.7 km   Turn left
    9.8 km   Turn sharp left onto Λευκάδα - Λαζαράτα
   10.3 km   Turn left
   10.7 km   Turn right
   11.5 km   Turn right
   12.1 km   Turn sharp left onto Λαζαράτα - Καρυά (follow 1.1 km)
   13.2 km   Turn left
   13.3 km   Turn sharp right onto Λαζαράτα - Καρυά (follow 1.4 km)
  ★ 14.3 km  [monument] Karia Folklore Museum
  ★ 14.6 km  [food] Restaurant Pardalo Katsiki
  ★ 14.6 km  [parking] Parking for Bikes — Please lock your bike!
  ★ 14.6 km  [coffee] Café Rania — Coffee, Ice Cream and delicious home made sweets!
   14.6 km   Turn left
   14.7 km   Turn right
   14.7 km   Turn left
   14.9 km   Turn right
   14.9 km   Turn left onto Καρυά - Εγκλουβή
   15.1 km   Turn slight left onto Καρυά - Εγκλουβή
   15.6 km   Keep left onto Πλατύστομο - Καρυά (follow 1.5 km)
   17.1 km   Turn right onto Πλατύστομο - Βαυκερή (follow 3.4 km)
   20.5 km   Turn right
   20.8 km   Turn sharp right onto Βαυκερή - Νυδρί
   21.4 km   Turn right onto Βαυκερή - Νυδρί (follow 5.5 km)
  ★ 21.8 km  [caution] Caution on descent! — Partly steep with very narrow curves. The road surface is in poor condition.
  ★ 25.3 km  [see] Viewpoint
   26.9 km   Turn left onto Βαυκερή - Νυδρί
   27.5 km   Turn right onto Βαυκερή - Νυδρί (follow 1.1 km)
   28.7 km   Turn sharp right onto Βαυκερή - Νυδρί
  ★ 28.8 km  [caution] Crossing of main road — Mind the traffic! Cars drive very fast.
   29.4 km   Turn sharp right onto Λευκάδας - Νυδρίου
  ★ 29.4 km  [swimming] Nidri Beach
   29.4 km   Turn left onto Αγίας Κυριακής
  ★ 29.5 km  [coffee] Café Elidor
  ★ 29.5 km  [food] Restaurant Flisvos
  ★ 29.5 km  [atm] ATM
  ★ 29.5 km  [finish] End of the ride
