LEROS HIKE1 (XIROKAMPOS-PANAGIA KARAVOUDENA-ITALIAN BUILDING)    4.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [see] Xirokampos Beach
    0.1 km   Turn right
    0.3 km   Turn right onto Ξηρόκαμπος - Λακκί (follow 1.1 km)
    1.4 km   Turn right
  ★ 1.5 km  [note] Virgin Kavouradaina
    1.5 km   Turn sharp right onto Ξηρόκαμπος - Λακκί
    2.5 km   Turn left
    3.3 km   Turn right
    3.5 km   Make a U-turn
  ★ 3.5 km  [note] ITALIAN BUILDING
    3.6 km   Turn left
    4.4 km   Turn right
