LEROS LOOP (ISLANDS' SOUTH)    27.4 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Saraya Resort
    0.1 km   Turn right
    0.3 km   Turn left
    0.6 km   Turn right
    1.3 km   Turn slight left onto Λακκί - Άλινδα (follow 1.6 km)
    2.9 km   Turn left
    3.5 km   Turn left
    3.9 km   Turn left (follow 3.7 km)
    7.6 km   Turn sharp left
    7.8 km   Turn left
    8.3 km   Turn left
    8.7 km   Turn right
    8.7 km   Turn right
    9.0 km   Turn left
    9.3 km   Turn sharp left (follow 1.2 km)
   10.5 km   Turn left onto Λακκί - Άλινδα
   10.5 km   Turn left (follow 1.3 km)
   11.8 km   Turn slight left
  ★ 11.8 km  [note] Iera Moni Panagias Dakryousas
   11.9 km   Turn left
   12.8 km   Turn right
   12.9 km   Turn left onto Ξηρόκαμπος - Λακκί (follow 3.0 km)
   15.9 km   Turn right
   16.2 km   Turn right
   16.7 km   Turn left onto Ξηρόκαμπος - Λακκί (follow 3.5 km)
   20.2 km   Enter roundabout
   20.4 km   Turn right
   20.4 km   Turn right
   20.6 km   At roundabout, take exit 1
   21.1 km   Turn slight right (follow 4.5 km)
   25.6 km   Continue onto Διακλάδωση Γούρνας
   25.9 km   Turn right
   25.9 km   Turn right
   26.3 km   Turn left
   26.8 km   Turn left
   27.1 km   Turn right
   27.3 km   Turn left
