LA FERTE-MEAUX    66.7 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] barge La Ferté-sous-Jouarre
    0.0 km   Start Radtour
    0.2 km   Rechts abbiegen; Brücke überqueren
    0.3 km   Rechts abbiegen
    0.4 km   Links abbiegen
    0.6 km   Rechts abbiegen
    0.7 km   2.Ausfahrt im Kreisverkehr
    0.8 km   Links abbiegen
    1.6 km   Links abbiegen
    2.4 km   Rechts abbiegen
    2.6 km   Links abbiegen und dann Rechts abbiegen (follow 1.8 km)
    4.4 km   Geradeaus weiterfahren
    4.6 km   Schräg rechts
    4.8 km   Rechts abbiegen
    4.9 km   Schräg links
    5.2 km   Links abbiegen
    5.4 km   Rechts abbiegen
    5.5 km   Links abbiegen
    5.5 km   Schräg rechts
    5.8 km   Rechts abbiegen
  ★ 5.8 km  [convenience_store] cheese farm Ganot
    6.0 km   3.Ausfahrt im Kreisverkehr (follow 4.2 km)
   10.2 km   Schräg rechts
   10.4 km   Schräg links (follow 1.8 km)
   12.2 km   Schräg rechts (follow 2.3 km)
   14.6 km   Links abbiegen
   14.6 km   Rechts abbiegen (follow 1.2 km)
   15.8 km   Scharf rechts
  ★ 15.8 km  [note] Chateau Montceaux
   16.0 km   Schräg links
   16.1 km   Schräg links
   16.2 km   Links abbiegen und dann Rechts abbiegen
   16.2 km   Links abbiegen
   16.9 km   Rechts abbiegen
  ★ 17.3 km  [bar] Bar
   17.6 km   2.Ausfahrt im Kreisverkehr (follow 5.0 km)
   22.6 km   Links abbiegen
   22.7 km   Schräg links
   23.6 km   Links abbiegen , Rechts abbiegen (follow 2.1 km)
   25.7 km   Links abbiegen
   25.8 km   Rechts abbiegen
   25.9 km   Links abbiegen
   26.0 km   Rechts abbiegen
   26.2 km   Schräg links
   26.4 km   Links abbiegen
   26.4 km   Rechts abbiegen
   26.5 km   Schräg rechts
   26.6 km   Rechts abbiegen
  ★ 26.6 km  [bar] restaurant chateau Marysienne
  ★ 26.6 km  [stop] locks Isles des Medeuses
  ★ 26.6 km  [bar] bar
   27.0 km   Links abbiegen
  ★ 27.0 km  [note] village Mary sur Marne
   27.1 km   Schräg rechts
   27.3 km   Links abbiegen
   27.7 km   Schräg links
   27.8 km   Geradeaus weiterfahren
   28.0 km   Links abbiegen
  ★ 28.0 km  [bar] bar Lizy
   28.2 km   Schräg rechts
   28.4 km   Rechts abbiegen
   28.6 km   Links abbiegen
   28.7 km   Scharf links (follow 3.8 km)
   32.4 km   Rechts abbiegen
   33.1 km   Links abbiegen (follow 3.3 km)
   36.3 km   Links abbiegen (follow 5.6 km)
   41.9 km   Links abbiegen
   42.0 km   Rechts abbiegen (follow 3.1 km)
   45.1 km   Links abbiegen (follow 2.3 km)
   47.4 km   Rechts abbiegen (follow 1.9 km)
   49.3 km   Schräg rechts
   49.4 km   Rechts abbiegen
   49.7 km   Geradeaus weiterfahren (follow 4.0 km)
   53.7 km   Links abbiegen (follow 4.3 km)
   58.0 km   Schräg rechts
   58.1 km   Schräg rechts
   58.8 km   Rechts abbiegen
   58.9 km   Links abbiegen
   58.9 km   Scharf links
   59.0 km   Rechts abbiegen
   59.1 km   Rechts abbiegen
   59.6 km   1.Ausfahrt im Kreisverkehr (follow 3.5 km)
   63.1 km   Schräg links
   63.4 km   Geradeaus weiterfahren
   63.6 km   Scharf rechts
   64.2 km   Rechts abbiegen
   64.4 km   Links abbiegen (follow 2.1 km)
   66.6 km   Scharf rechts
   66.7 km   Ende der Radtour
  ★ 66.7 km  [dock/stay] barge Meaux
  ★ 66.7 km  [dock/stay] barge Meaux
