LA FERTE - CH THIERRY    58.2 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Start Radtour
  ★ 0.0 km  [dock/stay] barge La Ferté-sous-Jouarre
    0.6 km   Schräg links (follow 2.8 km)
    3.3 km   Schräg rechts (follow 4.7 km)
    8.1 km   Links abbiegen
  ★ 8.9 km  [bar] Bar
    9.0 km   Links abbiegen
    9.3 km   Rechts abbiegen
    9.7 km   Schräg rechts (follow 1.8 km)
   11.5 km   Links abbiegen
  ★ 11.5 km  [convenience_store] small supermarket
   11.8 km   Rechts abbiegen (follow 3.1 km)
  ★ 11.8 km  [bar] bar la Croix d'Or
   14.9 km   Schräg rechts (follow 4.1 km)
   19.0 km   Am Kreisverkehr nehmen Sie die Ausfahrt 1
   19.1 km   Schräg rechts
   19.4 km   Schräg links
   19.8 km   Schräg links
   19.9 km   Schräg links (follow 4.5 km)
   24.4 km   Rechts abbiegen
   24.6 km   Links abbiegen
   24.6 km   Schräg rechts
   24.8 km   Schräg links
   24.9 km   Rechts abbiegen
   25.0 km   Rechts abbiegen
   25.1 km   Links abbiegen (follow 3.8 km)
   28.9 km   Links abbiegen
   29.4 km   Rechts abbiegen (follow 2.8 km)
   32.1 km   Rechts abbiegen
   33.1 km   Links abbiegen
   33.6 km   Schräg rechts (follow 1.1 km)
   34.7 km   Geradeaus weiterfahren (follow 6.6 km)
  ★ 34.9 km  [convenience_store] Supermarket
  ★ 34.9 km  [note] Church
  ★ 36.3 km  [coffee] Moulin d’heurtville
  ★ 38.5 km  [note] Marigny old market hall
   41.4 km   Schräg links
   42.3 km   Schräg rechts
   42.5 km   Rechts abbiegen
   42.8 km   Links abbiegen (follow 1.1 km)
   43.9 km   Rechts abbiegen
   44.1 km   Kehren Sie auf die gleiche Weise zurück, um fortzufahren
  ★ 44.1 km  [note] Belleau war memorial
   44.3 km   Rechts abbiegen
   44.4 km   Schräg rechts
   44.9 km   Rechts abbiegen
   45.7 km   Wenden Sie
  ★ 45.7 km  [note] Belleau war signs
   46.5 km   Rechts abbiegen (follow 1.6 km)
   48.1 km   Schräg rechts
   48.4 km   Links abbiegen (follow 3.5 km)
  ★ 48.4 km  [coffee] Cafe de la Place in Bouresches
   51.9 km   Schräg links
   52.2 km   Geradeaus weiterfahren; Strasse überqueren
   53.1 km   Schräg rechts (follow 1.4 km)
   54.5 km   Am Kreisverkehr nehmen Sie die Ausfahrt 2 auf die Rue Jacques Fourrier
   54.7 km   Rechts abbiegen
   54.9 km   Links abbiegen
   55.6 km   Schräg rechts
   55.6 km   Rechts abbiegen
   55.8 km   Geradeaus weiterfahren
   56.2 km   Links abbiegen; Fluss auf der rechten Seite (follow 2.0 km)
  ★ 56.5 km  [note] Muddy path
   58.2 km   Ende der Radtour
  ★ 58.2 km  [dock/stay] barge Chateau Thierry
  ★ 58.2 km  [note] Museum Jean de la Fontaine
