LA FERTÉ - CHÂTEAU-THIERRY    58.0 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Start of ride
    0.6 km   Bear left on Boulevard du 8 Mai 1945 (follow 5.6 km)
    6.1 km   Turn left onto Rue Pierre Bahin
    6.4 km   Keep right onto Rue de l'Église
    6.6 km   Turn slight left onto Rue du Bourg, D 80 (follow 2.3 km)
    9.0 km   Turn left onto Route de Montreuil, D 16
    9.3 km   Turn right onto Chemin de Pisseloup
    9.6 km   Turn left onto Rue du Fort Henry
    9.7 km   Turn right onto Rue de Pisseloup, D 16 (follow 1.8 km)
   11.5 km   Turn left onto Avenue de Paris, D 1003
  ★ 11.5 km  [convenience_store] small supermarket
   11.8 km   Turn right onto Rue de Crouy, D 16
  ★ 11.8 km  [bar] bar la Croix d'Or
   11.9 km   Keep left onto Impasse du Marais Baudin (follow 3.0 km)
   14.9 km   Keep right onto Grande Rue, D 23 (follow 4.1 km)
   19.0 km   At roundabout, take exit 1 onto D 17
   19.0 km   Turn slight right onto Grande Rue, D 17
   19.4 km   Turn left onto Grande Rue, D 23
   19.9 km   Turn slight left onto D 23 (follow 4.5 km)
   24.4 km   Turn right onto Place du Marché, D 94
   24.6 km   Turn left onto Rue Raphaël
   24.6 km   Turn slight right onto Rue Raphaël
   24.8 km   Turn slight left onto Rue de la Récompense
   24.8 km   Turn right
   25.0 km   Turn right
   25.1 km   Turn left onto Rue du Bois Belleau, D 94 (follow 3.8 km)
   28.9 km   Turn left onto D 94
   29.4 km   Turn right onto D 9 (follow 2.8 km)
   32.1 km   Turn right onto Rue du Clignon
   33.1 km   Turn left onto D 17
   33.6 km   Turn slight right onto D 221 (follow 1.1 km)
   34.7 km   Continue onto Grande Rue, D 9 (follow 6.6 km)
  ★ 34.9 km  [convenience_store] Supermarket
  ★ 34.9 km  [note] Church
  ★ 36.3 km  [coffee] Moulin d’heurtville
   41.4 km   Bear left
   41.4 km   Turn sharp left onto D 9 (follow 2.3 km)
  ★ 43.0 km  [monument] German war memorial
   43.7 km   Turn right
   43.9 km   Return the same way to continue
  ★ 43.9 km  [monument] Belleau war memorial
   44.1 km   Turn right
   44.2 km   Bear right
   44.7 km   Turn right onto Chem. des Quatre Arpents
   45.5 km   Make a U-turn
  ★ 45.5 km  [monument] Belleau war signs
   46.3 km   Turn right onto Chem. de Givry (follow 1.6 km)
   47.9 km   Bear right onto Rue du Lieutenant J.G. Osborne
   48.2 km   Turn left (follow 3.5 km)
  ★ 48.2 km  [coffee] Bouresches,  Café de la Place
   51.7 km   Bear left (follow 1.2 km)
   52.9 km   Bear right on Rue Hector Papelard (follow 1.4 km)
   54.3 km   At roundabout, take exit 2 onto Rue Jacques Fourrier (follow 1.2 km)
   55.6 km   Turn slight left onto Avenue du Général de Gaulle, D 969
   56.4 km   At roundabout, take exit 2 onto Avenue d'Essômes
   56.6 km   At roundabout, take exit 1 (follow 1.5 km)
   58.0 km   Turn right
  ★ 58.0 km  [dock/stay] Docking Château-Thierry
  ★ 58.0 km  [see] Museum Jean de la Fontaine
