LAGNY - PARIS VIA MARNE    36.3 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] ligplaats Lagny
    0.0 km   Start of ride
    0.1 km   Bear right
    0.2 km   Turn right; cross bridge
    0.2 km   Turn left onto Rue de Marne
    0.3 km   Turn left onto Quai Bizeau (follow 4.4 km)
    4.7 km   Turn left ; cross canal then turn right
    5.3 km   Bear left
    5.6 km   Bear left; cross bridge; stay on left side of the road
    5.9 km   Turn sharp left
    5.9 km   Turn left
    6.0 km   Bear left
    6.6 km   Bear right
    6.7 km   Bear right
    7.6 km   Turn right; cross bridge
    8.2 km   Turn right and directly left
    8.3 km   Turn left
    9.1 km   Turn left
    9.5 km   Turn left to go to the castle and cafe
    9.6 km   Turn right onto Rue de Paris
   10.1 km   Turn right to castle
   10.3 km   Turn right onto Rue de Paris to continue ride
   10.3 km   Turn right
  ★ 10.3 km  [convenience_store] Boulangerie
  ★ 10.3 km  [bar] cafe , bar
  ★ 10.5 km  [note] Chateau de Champs sur Marne
   10.9 km   Turn right
   11.0 km   At roundabout take exit 2
   11.2 km   Turn right (follow 1.2 km)
  ★ 11.9 km  [note] Ib\ndien geen bezoek kasteel, kun je rechtdoor langs  water
   12.4 km   Turn left onto Promenade des Pâtis (follow 4.3 km)
  ★ 12.4 km  [note] Hier rechts voor koffie en bakker. Is wel omhoog !  Hoogte verschil 40 meter.
   16.6 km   Continue straight onto Quai de la Marne (follow 4.7 km)
  ★ 17.3 km  [bar] Bar le Pilotis met terras open van 12.00 - 14.00
   21.3 km   Bear right; stay along river (follow 2.3 km)
  ★ 21.5 km  [bar] Bar
   23.6 km   At roundabout, take exit 1 onto Quai du Viaduc (follow 2.7 km)
   26.4 km   Turn left onto Rue du Port
   26.6 km   Turn right; cross road and turn right again
   26.9 km   Cross bridge
   27.1 km   Cross road then turn left onto bike path
  ★ 27.1 km  [convenience_store] Boulangerie
  ★ 27.1 km  [bar] Café
   27.3 km   Bear right
  ★ 27.4 km  [bar] Café
   27.4 km   Cross road; continue straight
   27.9 km   Turn right
   28.0 km   Turn sharp left onto Quai de Bir-Hakeim
   28.1 km   Turn right
   28.6 km   Bear right onto Place de l'Écluse
   28.7 km   Turn sharp left
   28.7 km   Bear right (follow 1.7 km)
   30.4 km   Turn left onto Allée du Moulin des Corbeaux
   31.0 km   Bear right onto bike bath (follow 1.2 km)
   32.2 km   Turn left (follow 2.2 km)
   34.4 km   Bear right onto bike path (follow 1.8 km)
   36.3 km   Bear left onto Port de la Rapée
   36.3 km   End of ride
  ★ 36.3 km  [dock/stay] Quai de Bercy
