LAGNY (LOOP VIA CASTLES)    24.0 km    · signs & notes only ·

DIRECTIONS
  ★ 5.8 km  [see] Castle Guermantes
    7.3 km   Turn right
    8.1 km   Turn right
    8.7 km   Turn right
    8.9 km   Turn right
    9.2 km   Turn right
    9.3 km   Turn right
    9.4 km   Turn left (follow 1.4 km)
   10.8 km   Turn right
   10.8 km   Turn right
   11.4 km   Turn left
   11.5 km   Make a U-turn
  ★ 11.5 km  [park] Domaine Rentilly & Park
   11.5 km   Turn right onto Rue de l'Étang
   12.1 km   Turn right
   12.1 km   Turn slight left
   12.2 km   Turn left
   12.2 km   Turn right onto Avenue de l'Europe
   12.4 km   At roundabout, take exit 1 onto Avenue de l'Europe
   12.6 km   At roundabout, take exit 1 onto Avenue de l'Europe
   12.9 km   At roundabout, take exit 2 onto Rue Léon Blum
   13.5 km   Turn slight right onto Rue Gérard Philipe
   13.7 km   Turn right
   14.7 km   Turn right
   15.3 km   Turn right
   15.5 km   Turn left
   15.5 km   Turn right
   15.6 km   Turn right onto Promenade de la Chocolaterie
   16.0 km   Turn right onto Promenade de la Chocolaterie (follow 2.1 km)
  ★ 16.2 km  [coffee] café in Champs sur Marne
  ★ 16.5 km  [coffee] Café le Pilotis Noisy-le-Grand
   18.1 km   Turn right
   18.1 km   Turn left
  ★ 18.5 km  [coffee] café near the water
   18.7 km   Turn right onto Chemin de Halage
   19.2 km   Turn left onto Chemin de Halage
   19.3 km   Turn right (follow 4.3 km)
   23.6 km   Turn left
   23.6 km   Turn right onto Quai Bizeau
   23.7 km   Turn right onto Rue de Marne
   23.7 km   Turn right onto Pont Maunoury
   23.8 km   Turn left onto Quai Saint-Père
   23.9 km   Turn left onto Quai Saint-Père
