LINZ-GREIN    62.4 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Hotel Kolping
    0.2 km   Turn sharp right
    0.4 km   Turn slight right onto Stockhofstraße
    0.7 km   Turn slight right onto Herrenstraße
    1.1 km   Turn sharp left onto Landhausplatz
    1.1 km   Turn sharp right onto Klosterstraße
    1.5 km   Turn slight left
    1.8 km   Turn right
  ★ 1.9 km  [caution] Walk down
    2.0 km   Turn right onto Donauradweg
    2.0 km   Turn sharp left onto Heinrich-Gleißner Promenade
    2.9 km   Turn left
    3.0 km   Turn right
    3.2 km   Continue onto Donauradweg (follow 2.6 km)
    5.8 km   Turn slight right
    6.5 km   Turn left
    6.5 km   Turn right
  ★ 6.6 km  [note] Pleschinger See – Hütte am See
  ★ 6.7 km  [parking] VAN parking
  ★ 6.8 km  [restroom] Free toilet
    6.8 km   Turn right
    6.9 km   Turn left onto Donauradweg (follow 10.5 km)
   17.4 km   Turn left
   17.4 km   Turn left onto Donauradweg
   17.7 km   Turn right
   17.8 km   Turn left
  ★ 17.8 km  [caution] Bike tunnel
   17.8 km   Turn right (follow 1.4 km)
   19.3 km   Turn right onto Am Bahnhof
   19.9 km   Turn right onto Donauradweg
   20.2 km   Turn left onto Wimminger Straße
  ★ 20.3 km  [convenience_store] SPAR supermarket
   20.9 km   Turn slight right onto Koglberg
   21.4 km   Turn slight right
   21.5 km   Turn right onto Bachstraße
  ★ 22.4 km  [caution] Dangerous crossing
   22.5 km   Turn right onto Hauptstraße (follow 2.5 km)
  ★ 24.3 km  [caution] Start climbing
   25.0 km   Continue onto Linzer Straße
   25.4 km   Turn right onto Josef-Czerwenka-Straße
   25.6 km   Turn left onto Josef-Czerwenka-Straße
   26.2 km   Keep right onto Promenade
   26.4 km   Continue onto Schlossgasse
  ★ 26.4 km  [note] Driver stop
  ★ 26.6 km  [restroom] Free toilet
  ★ 26.6 km  [rest_stop] Picknick spot
  ★ 26.6 km  [coffee] Coffee Break - Mauthausen
  ★ 26.6 km  [bike_parking] bike parking
   26.7 km   Turn right
  ★ 26.7 km  [see] Renaissance houses
   26.8 km   Turn right
   26.8 km   Turn left (follow 1.4 km)
   28.2 km   Turn right onto Albern (follow 2.0 km)
   30.2 km   Keep right onto Donauradweg
   30.5 km   Turn right (follow 1.9 km)
   32.4 km   Turn right (follow 11.8 km)
  ★ 33.6 km  [see] Aussichtsturm NAARN
  ★ 33.7 km  [see] Fish bypass
  ★ 44.1 km  [coffee] Radstation Mitterkirchen
  ★ 44.1 km  [restroom] Free toilet
   44.2 km   Turn left (follow 2.2 km)
   46.4 km   Turn right
   46.9 km   Turn left
   47.4 km   Turn right onto Labing/​Machlandstr.
  ★ 48.0 km  [note] Cider stop
   48.2 km   Keep right onto Donauradweg (follow 1.4 km)
   49.6 km   Turn left to stay on Mettensdorf
   49.8 km   Turn left to stay on Mettensdorf
   49.9 km   Turn right to stay on Mettensdorf (follow 1.4 km)
   51.3 km   Continue onto Eizendorf
   51.7 km   Turn right
   52.1 km   Turn left (follow 1.0 km)
   53.1 km   Turn left (follow 2.7 km)
   55.8 km   Continue onto Dornach
   56.5 km   Turn right onto 1 (follow 4.2 km)
   60.6 km   Slight right onto Radweg Grein Donauufer (follow 1.1 km)
  ★ 61.6 km  [see] Fotostop Grein
   61.7 km   Continue onto Hafenstraße
  ★ 61.9 km  [caution] walk over bridge
   62.0 km   Turn right
  ★ 62.1 km  [see] Schloss Grein
   62.3 km   Turn left
   62.3 km   Turn left onto Donaulände
  ★ 62.4 km  [coffee] Schörgi icecream
   62.4 km   Turn right onto Kreuznerstraße
  ★ 62.4 km  [bike_parking] Park bikes inside
  ★ 62.4 km  [dock/stay] Goldenes Kreuz  Hotel and Driver stop
  ★ 62.4 km  [food] Dinner at Zur Traube Restaurant
  ★ 62.4 km  [see] Mqrktplatz
