LOHR-WERTHEIM    45.4 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Lohr
    0.1 km   Sla rechtsaf naar Osttangente
    0.3 km   Turn right
  ★ 0.3 km  [see] Snow White Castle
  ★ 0.4 km  [note] Lohr City Center — Shops, Restaurants and famous Muschelgasse, Fischergasse and Steinmúhlgasse.
  ★ 0.4 km  [bar] Keiler Brauhaus — Eat and Drink Beer&Schnitzel&Bratwurst in the Brewery
    0.4 km   Turn sharp right
    0.5 km   Turn right onto Osttangente
    0.6 km   Make a U-turn onto Osttangente
    0.7 km   Turn right
    1.4 km   Turn sharp left
    2.0 km   Turn right
    2.0 km   Turn right (follow 1.2 km)
    3.3 km   Sla linksaf naar Sendelbacher Str. (follow 2.5 km)
    5.7 km   Sla rechtsaf
    6.2 km   Sla rechtsaf naar St.-Jakobus-Straße
    6.3 km   Sla linksaf (follow 4.2 km)
   10.5 km   Weg vervolgen naar Mainuferstraße (follow 4.8 km)
   15.3 km   Sla rechtsaf
   15.3 km   Sla linksaf (follow 1.1 km)
  ★ 15.6 km  [coffee] Cafe Restaurant Mainland
   16.4 km   Sla rechtsaf (follow 1.9 km)
   18.3 km   Sla rechtsaf (follow 2.8 km)
   21.1 km   Sla linksaf naar Ob. Gasse
   21.2 km   Sla rechtsaf naar Obertorstraße
   21.3 km   Weg vervolgen naar Marktpl.
  ★ 21.3 km  [see] St Laurentius Church
  ★ 21.4 km  [coffee] Cafés in town
  ★ 21.5 km  [monument] Franck  House
   21.7 km   Sla rechtsaf
   21.8 km   Sla rechtsaf
  ★ 21.8 km  [coffee] Martinbrau Biergarten — Beer, Coffee, Food, Toilets
   21.8 km   Scherpe bocht naar links (follow 4.5 km)
   26.3 km   Sla rechtsaf
   26.4 km   Sla linksaf
   27.1 km   Flauwe bocht naar links (follow 2.5 km)
   29.5 km   Sla linksaf richting Remlinger Str.
   29.5 km   Weg vervolgen naar Remlinger Str.
   29.6 km   Sla rechtsaf naar Gerbergasse
  ★ 29.8 km  [coffee] Coffee
   30.4 km   Flauwe bocht naar links (follow 2.6 km)
   33.0 km   Sla rechtsaf
   33.4 km   Weg vervolgen naar Geiselbrunnweg (follow 1.8 km)
   35.2 km   Sla rechtsaf naar Kaisersäckerstraße
   35.4 km   Sla rechtsaf
   35.8 km   Sla rechtsaf (follow 1.8 km)
   37.6 km   Sla rechtsaf
   37.6 km   Sla linksaf
   38.5 km   Sla rechtsaf
   38.6 km   Sla rechtsaf (follow 3.5 km)
   42.1 km   Sla rechtsaf naar Würzburger Str. (follow 1.5 km)
   43.6 km   Sla rechtsaf
   43.6 km   Sla linksaf
   44.2 km   Sla rechtsaf naar Eichelsteige
   44.4 km   Sla linksaf naar Vaitsgasse
   44.5 km   Sla rechtsaf naar Rathausgasse
  ★ 44.6 km  [monument] Wertheim Castle — one of the oldest in Baden - Württemberg
   44.6 km   Sla linksaf naar Mühlenstraße
   44.7 km   Keer om bij Schulgasse
  ★ 44.7 km  [see] Glass Museum
   44.8 km   Sla linksaf om op Rathausgasse te blijven
   44.9 km   Sla rechtsaf om op Rathausgasse te blijven
   45.0 km   Sla rechtsaf naar Marktpl.
  ★ 45.0 km  [monument] Historic Market Square Wertheim
   45.1 km   Weg vervolgen naar Maingasse
  ★ 45.1 km  [coffee] Cafes Restaurants — Several cafes/Restaurants around the marktsquare.
   45.2 km   Sla linksaf naar Mainpl.
   45.3 km   Sla rechtsaf
  ★ 45.4 km  [start] Drop off Wertheim
